序号,关卡ID,怪物ID,次数,ai文件
444,200002,30010004,32,fightData/AI/EDay01_01/E2/R31
445,200002,30010004,33,fightData/AI/EDay01_01/E2/R32
446,200002,30010004,34,fightData/AI/EDay01_01/E2/R33
447,200002,30010004,35,fightData/AI/EDay01_01/E2/R34
448,200002,30010004,36,fightData/AI/EDay01_01/E2/R35
449,200002,30010004,37,fightData/AI/EDay01_01/E2/R36
450,200002,30010004,38,fightData/AI/EDay01_01/E2/R37
451,200002,30010004,39,fightData/AI/EDay01_01/E2/R42
452,200002,30010004,40,fightData/AI/EDay01_01/E2/R43
453,200002,30010004,41,fightData/AI/EDay01_01/E2/R44
454,200002,30010004,42,fightData/AI/EDay01_01/E2/R45
455,200002,30010005,1,fightData/AI/EDay01_01/E3/R0
456,200002,30010005,2,fightData/AI/EDay01_01/E3/R1
457,200002,30010005,3,fightData/AI/EDay01_01/E3/R2
458,200002,30010005,4,fightData/AI/EDay01_01/E3/R3
459,200002,30010005,5,fightData/AI/EDay01_01/E3/R4
460,200002,30010005,6,fightData/AI/EDay01_01/E3/R5
461,200002,30010005,7,fightData/AI/EDay01_01/E3/R6
462,200002,30010005,8,fightData/AI/EDay01_01/E3/R7
463,200002,30010005,9,fightData/AI/EDay01_01/E3/R8
464,200002,30010005,10,fightData/AI/EDay01_01/E3/R9
465,200002,30010005,11,fightData/AI/EDay01_01/E3/R10
466,200002,30010005,12,fightData/AI/EDay01_01/E3/R11
467,200002,30010005,13,fightData/AI/EDay01_01/E3/R12
468,200002,30010005,14,fightData/AI/EDay01_01/E3/R13
469,200002,30010005,15,fightData/AI/EDay01_01/E3/R14
470,200002,30010005,16,fightData/AI/EDay01_01/E3/R15
471,200002,30010005,17,fightData/AI/EDay01_01/E3/R16
472,200002,30010005,18,fightData/AI/EDay01_01/E3/R17
473,200002,30010005,19,fightData/AI/EDay01_01/E3/R18
474,200002,30010005,20,fightData/AI/EDay01_01/E3/R19
475,200002,30010005,21,fightData/AI/EDay01_01/E3/R20
476,200002,30010005,22,fightData/AI/EDay01_01/E3/R21
477,200002,30010005,23,fightData/AI/EDay01_01/E3/R22
478,200002,30010005,24,fightData/AI/EDay01_01/E3/R23
479,200002,30010005,25,fightData/AI/EDay01_01/E3/R24
480,200002,30010005,26,fightData/AI/EDay01_01/E3/R25
481,200002,30010005,27,fightData/AI/EDay01_01/E3/R26
482,200002,30010005,28,fightData/AI/EDay01_01/E3/R27
483,200002,30010005,29,fightData/AI/EDay01_01/E3/R28
484,200002,30010005,30,fightData/AI/EDay01_01/E3/R29
485,200002,30010005,31,fightData/AI/EDay01_01/E3/R30
486,200002,30010005,32,fightData/AI/EDay01_01/E3/R31
487,200002,30010005,33,fightData/AI/EDay01_01/E3/R32
488,200002,30010005,34,fightData/AI/EDay01_01/E3/R33
489,200002,30010005,35,fightData/AI/EDay01_01/E3/R34
490,200002,30010005,36,fightData/AI/EDay01_01/E3/R35
491,200002,30010005,37,fightData/AI/EDay01_01/E3/R36
492,200002,30010005,38,fightData/AI/EDay01_01/E3/R37
493,200002,30010005,39,fightData/AI/EDay01_01/E3/R42
494,200002,30010005,40,fightData/AI/EDay01_01/E3/R43
495,200002,30010005,41,fightData/AI/EDay01_01/E3/R44
496,200002,30010005,42,fightData/AI/EDay01_01/E3/R45
497,200003,30010002,1,fightData/AI/EDay01_01/R0
498,200003,30010002,2,fightData/AI/EDay01_01/R1
499,200003,30010002,3,fightData/AI/EDay01_01/R2
500,200003,30010002,4,fightData/AI/EDay01_01/R3
501,200003,30010002,5,fightData/AI/EDay01_01/R4
502,200003,30010002,6,fightData/AI/EDay01_01/R5
503,200003,30010002,7,fightData/AI/EDay01_01/R6
504,200003,30010002,8,fightData/AI/EDay01_01/R7
505,200003,30010002,9,fightData/AI/EDay01_01/R8
506,200003,30010002,10,fightData/AI/EDay01_01/R9
507,200003,30010002,11,fightData/AI/EDay01_01/R10
508,200003,30010002,12,fightData/AI/EDay01_01/R11
509,200003,30010002,13,fightData/AI/EDay01_01/R12
510,200003,30010002,14,fightData/AI/EDay01_01/R13
511,200003,30010002,15,fightData/AI/EDay01_01/R14
512,200003,30010002,16,fightData/AI/EDay01_01/R15
513,200003,30010002,17,fightData/AI/EDay01_01/R16
514,200003,30010002,18,fightData/AI/EDay01_01/R17
515,200003,30010002,19,fightData/AI/EDay01_01/R18
516,200003,30010002,20,fightData/AI/EDay01_01/R19
517,200003,30010002,21,fightData/AI/EDay01_01/R20
518,200003,30010002,22,fightData/AI/EDay01_01/R21
519,200003,30010002,23,fightData/AI/EDay01_01/R22
520,200003,30010002,24,fightData/AI/EDay01_01/R23
521,200003,30010002,25,fightData/AI/EDay01_01/R24
522,200003,30010002,26,fightData/AI/EDay01_01/R25
523,200003,30010002,27,fightData/AI/EDay01_01/R26
524,200003,30010002,28,fightData/AI/EDay01_01/R27
525,200003,30010002,29,fightData/AI/EDay01_01/R28
526,200003,30010002,30,fightData/AI/EDay01_01/R29
527,200003,30010002,31,fightData/AI/EDay01_01/R30
528,200003,30010002,32,fightData/AI/EDay01_01/R31
529,200003,30010002,33,fightData/AI/EDay01_01/R32
530,200003,30010002,34,fightData/AI/EDay01_01/R33
531,200003,30010002,35,fightData/AI/EDay01_01/R34
532,200003,30010002,36,fightData/AI/EDay01_01/R35
533,200003,30010002,37,fightData/AI/EDay01_01/R36
534,200003,30010002,38,fightData/AI/EDay01_01/R37
535,200003,30010002,39,fightData/AI/EDay01_01/R42
536,200003,30010002,40,fightData/AI/EDay01_01/R43
537,200003,30010002,41,fightData/AI/EDay01_01/R44
538,200003,30010002,42,fightData/AI/EDay01_01/R45
539,200003,30010006,1,fightData/AI/EDay01_01/R38
540,200003,30010006,2,fightData/AI/EDay01_01/R39
541,200003,30010006,3,fightData/AI/EDay01_01/R40
542,200003,30010006,4,fightData/AI/EDay01_01/R41
543,200003,30010003,1,fightData/AI/EDay01_01/E1/R0
544,200003,30010003,2,fightData/AI/EDay01_01/E1/R1
545,200003,30010003,3,fightData/AI/EDay01_01/E1/R2
546,200003,30010003,4,fightData/AI/EDay01_01/E1/R3
547,200003,30010003,5,fightData/AI/EDay01_01/E1/R4
548,200003,30010003,6,fightData/AI/EDay01_01/E1/R5
549,200003,30010003,7,fightData/AI/EDay01_01/E1/R6
550,200003,30010003,8,fightData/AI/EDay01_01/E1/R7
551,200003,30010003,9,fightData/AI/EDay01_01/E1/R8
552,200003,30010003,10,fightData/AI/EDay01_01/E1/R9
553,200003,30010003,11,fightData/AI/EDay01_01/E1/R10
554,200003,30010003,12,fightData/AI/EDay01_01/E1/R11
555,200003,30010003,13,fightData/AI/EDay01_01/E1/R12
556,200003,30010003,14,fightData/AI/EDay01_01/E1/R13
557,200003,30010003,15,fightData/AI/EDay01_01/E1/R14
558,200003,30010003,16,fightData/AI/EDay01_01/E1/R15
559,200003,30010003,17,fightData/AI/EDay01_01/E1/R16
560,200003,30010003,18,fightData/AI/EDay01_01/E1/R17
561,200003,30010003,19,fightData/AI/EDay01_01/E1/R18
562,200003,30010003,20,fightData/AI/EDay01_01/E1/R19
563,200003,30010003,21,fightData/AI/EDay01_01/E1/R20
564,200003,30010003,22,fightData/AI/EDay01_01/E1/R21
565,200003,30010003,23,fightData/AI/EDay01_01/E1/R22
566,200003,30010003,24,fightData/AI/EDay01_01/E1/R23
567,200003,30010003,25,fightData/AI/EDay01_01/E1/R24
568,200003,30010003,26,fightData/AI/EDay01_01/E1/R25
569,200003,30010003,27,fightData/AI/EDay01_01/E1/R26
570,200003,30010003,28,fightData/AI/EDay01_01/E1/R27
571,200003,30010003,29,fightData/AI/EDay01_01/E1/R28
572,200003,30010003,30,fightData/AI/EDay01_01/E1/R29
573,200003,30010003,31,fightData/AI/EDay01_01/E1/R30
574,200003,30010003,32,fightData/AI/EDay01_01/E1/R31
575,200003,30010003,33,fightData/AI/EDay01_01/E1/R32
576,200003,30010003,34,fightData/AI/EDay01_01/E1/R33
577,200003,30010003,35,fightData/AI/EDay01_01/E1/R34
578,200003,30010003,36,fightData/AI/EDay01_01/E1/R35
579,200003,30010003,37,fightData/AI/EDay01_01/E1/R36
580,200003,30010003,38,fightData/AI/EDay01_01/E1/R37
581,200003,30010003,39,fightData/AI/EDay01_01/E1/R42
582,200003,30010003,40,fightData/AI/EDay01_01/E1/R43
583,200003,30010003,41,fightData/AI/EDay01_01/E1/R44
584,200003,30010003,42,fightData/AI/EDay01_01/E1/R45
585,200003,30010004,1,fightData/AI/EDay01_01/E2/R0
586,200003,30010004,2,fightData/AI/EDay01_01/E2/R1
587,200003,30010004,3,fightData/AI/EDay01_01/E2/R2
588,200003,30010004,4,fightData/AI/EDay01_01/E2/R3
589,200003,30010004,5,fightData/AI/EDay01_01/E2/R4
590,200003,30010004,6,fightData/AI/EDay01_01/E2/R5
591,200003,30010004,7,fightData/AI/EDay01_01/E2/R6
592,200003,30010004,8,fightData/AI/EDay01_01/E2/R7
593,200003,30010004,9,fightData/AI/EDay01_01/E2/R8
594,200003,30010004,10,fightData/AI/EDay01_01/E2/R9
595,200003,30010004,11,fightData/AI/EDay01_01/E2/R10
596,200003,30010004,12,fightData/AI/EDay01_01/E2/R11
597,200003,30010004,13,fightData/AI/EDay01_01/E2/R12
598,200003,30010004,14,fightData/AI/EDay01_01/E2/R13
599,200003,30010004,15,fightData/AI/EDay01_01/E2/R14
600,200003,30010004,16,fightData/AI/EDay01_01/E2/R15
601,200003,30010004,17,fightData/AI/EDay01_01/E2/R16
602,200003,30010004,18,fightData/AI/EDay01_01/E2/R17
603,200003,30010004,19,fightData/AI/EDay01_01/E2/R18
604,200003,30010004,20,fightData/AI/EDay01_01/E2/R19
605,200003,30010004,21,fightData/AI/EDay01_01/E2/R20
606,200003,30010004,22,fightData/AI/EDay01_01/E2/R21
607,200003,30010004,23,fightData/AI/EDay01_01/E2/R22
608,200003,30010004,24,fightData/AI/EDay01_01/E2/R23
609,200003,30010004,25,fightData/AI/EDay01_01/E2/R24
610,200003,30010004,26,fightData/AI/EDay01_01/E2/R25
611,200003,30010004,27,fightData/AI/EDay01_01/E2/R26
612,200003,30010004,28,fightData/AI/EDay01_01/E2/R27
613,200003,30010004,29,fightData/AI/EDay01_01/E2/R28
614,200003,30010004,30,fightData/AI/EDay01_01/E2/R29
615,200003,30010004,31,fightData/AI/EDay01_01/E2/R30
616,200003,30010004,32,fightData/AI/EDay01_01/E2/R31
617,200003,30010004,33,fightData/AI/EDay01_01/E2/R32
618,200003,30010004,34,fightData/AI/EDay01_01/E2/R33
619,200003,30010004,35,fightData/AI/EDay01_01/E2/R34
620,200003,30010004,36,fightData/AI/EDay01_01/E2/R35
621,200003,30010004,37,fightData/AI/EDay01_01/E2/R36
622,200003,30010004,38,fightData/AI/EDay01_01/E2/R37
623,200003,30010004,39,fightData/AI/EDay01_01/E2/R42
624,200003,30010004,40,fightData/AI/EDay01_01/E2/R43
625,200003,30010004,41,fightData/AI/EDay01_01/E2/R44
626,200003,30010004,42,fightData/AI/EDay01_01/E2/R45
627,200003,30010005,1,fightData/AI/EDay01_01/E3/R0
628,200003,30010005,2,fightData/AI/EDay01_01/E3/R1
629,200003,30010005,3,fightData/AI/EDay01_01/E3/R2
630,200003,30010005,4,fightData/AI/EDay01_01/E3/R3
631,200003,30010005,5,fightData/AI/EDay01_01/E3/R4
632,200003,30010005,6,fightData/AI/EDay01_01/E3/R5
633,200003,30010005,7,fightData/AI/EDay01_01/E3/R6
634,200003,30010005,8,fightData/AI/EDay01_01/E3/R7
635,200003,30010005,9,fightData/AI/EDay01_01/E3/R8
636,200003,30010005,10,fightData/AI/EDay01_01/E3/R9
637,200003,30010005,11,fightData/AI/EDay01_01/E3/R10
638,200003,30010005,12,fightData/AI/EDay01_01/E3/R11
639,200003,30010005,13,fightData/AI/EDay01_01/E3/R12
640,200003,30010005,14,fightData/AI/EDay01_01/E3/R13
641,200003,30010005,15,fightData/AI/EDay01_01/E3/R14
642,200003,30010005,16,fightData/AI/EDay01_01/E3/R15
643,200003,30010005,17,fightData/AI/EDay01_01/E3/R16
644,200003,30010005,18,fightData/AI/EDay01_01/E3/R17
645,200003,30010005,19,fightData/AI/EDay01_01/E3/R18
646,200003,30010005,20,fightData/AI/EDay01_01/E3/R19
647,200003,30010005,21,fightData/AI/EDay01_01/E3/R20
648,200003,30010005,22,fightData/AI/EDay01_01/E3/R21
649,200003,30010005,23,fightData/AI/EDay01_01/E3/R22
650,200003,30010005,24,fightData/AI/EDay01_01/E3/R23
651,200003,30010005,25,fightData/AI/EDay01_01/E3/R24
652,200003,30010005,26,fightData/AI/EDay01_01/E3/R25
653,200003,30010005,27,fightData/AI/EDay01_01/E3/R26
654,200003,30010005,28,fightData/AI/EDay01_01/E3/R27
655,200003,30010005,29,fightData/AI/EDay01_01/E3/R28
656,200003,30010005,30,fightData/AI/EDay01_01/E3/R29
657,200003,30010005,31,fightData/AI/EDay01_01/E3/R30
658,200003,30010005,32,fightData/AI/EDay01_01/E3/R31
659,200003,30010005,33,fightData/AI/EDay01_01/E3/R32
660,200003,30010005,34,fightData/AI/EDay01_01/E3/R33
661,200003,30010005,35,fightData/AI/EDay01_01/E3/R34
662,200003,30010005,36,fightData/AI/EDay01_01/E3/R35
663,200003,30010005,37,fightData/AI/EDay01_01/E3/R36
664,200003,30010005,38,fightData/AI/EDay01_01/E3/R37
665,200003,30010005,39,fightData/AI/EDay01_01/E3/R42
666,200003,30010005,40,fightData/AI/EDay01_01/E3/R43
667,200003,30010005,41,fightData/AI/EDay01_01/E3/R44
668,200003,30010005,42,fightData/AI/EDay01_01/E3/R45
669,200004,30010002,1,fightData/AI/EDay01_01/R0
670,200004,30010002,2,fightData/AI/EDay01_01/R1
671,200004,30010002,3,fightData/AI/EDay01_01/R2
672,200004,30010002,4,fightData/AI/EDay01_01/R3
673,200004,30010002,5,fightData/AI/EDay01_01/R4
674,200004,30010002,6,fightData/AI/EDay01_01/R5
675,200004,30010002,7,fightData/AI/EDay01_01/R6
676,200004,30010002,8,fightData/AI/EDay01_01/R7
677,200004,30010002,9,fightData/AI/EDay01_01/R8
678,200004,30010002,10,fightData/AI/EDay01_01/R9
679,200004,30010002,11,fightData/AI/EDay01_01/R10
680,200004,30010002,12,fightData/AI/EDay01_01/R11
681,200004,30010002,13,fightData/AI/EDay01_01/R12
682,200004,30010002,14,fightData/AI/EDay01_01/R13
683,200004,30010002,15,fightData/AI/EDay01_01/R14
684,200004,30010002,16,fightData/AI/EDay01_01/R15
685,200004,30010002,17,fightData/AI/EDay01_01/R16
686,200004,30010002,18,fightData/AI/EDay01_01/R17
687,200004,30010002,19,fightData/AI/EDay01_01/R18
688,200004,30010002,20,fightData/AI/EDay01_01/R19
689,200004,30010002,21,fightData/AI/EDay01_01/R20
690,200004,30010002,22,fightData/AI/EDay01_01/R21
691,200004,30010002,23,fightData/AI/EDay01_01/R22
692,200004,30010002,24,fightData/AI/EDay01_01/R23
693,200004,30010002,25,fightData/AI/EDay01_01/R24
694,200004,30010002,26,fightData/AI/EDay01_01/R25
695,200004,30010002,27,fightData/AI/EDay01_01/R26
696,200004,30010002,28,fightData/AI/EDay01_01/R27
697,200004,30010002,29,fightData/AI/EDay01_01/R28
698,200004,30010002,30,fightData/AI/EDay01_01/R29
699,200004,30010002,31,fightData/AI/EDay01_01/R30
700,200004,30010002,32,fightData/AI/EDay01_01/R31
701,200004,30010002,33,fightData/AI/EDay01_01/R32
702,200004,30010002,34,fightData/AI/EDay01_01/R33
703,200004,30010002,35,fightData/AI/EDay01_01/R34
704,200004,30010002,36,fightData/AI/EDay01_01/R35
705,200004,30010002,37,fightData/AI/EDay01_01/R36
706,200004,30010002,38,fightData/AI/EDay01_01/R37
707,200004,30010002,39,fightData/AI/EDay01_01/R42
708,200004,30010002,40,fightData/AI/EDay01_01/R43
709,200004,30010002,41,fightData/AI/EDay01_01/R44
710,200004,30010002,42,fightData/AI/EDay01_01/R45
711,200004,30010006,1,fightData/AI/EDay01_01/R38
712,200004,30010006,2,fightData/AI/EDay01_01/R39
713,200004,30010006,3,fightData/AI/EDay01_01/R40
714,200004,30010006,4,fightData/AI/EDay01_01/R41
715,200004,30010003,1,fightData/AI/EDay01_01/E1/R0
716,200004,30010003,2,fightData/AI/EDay01_01/E1/R1
717,200004,30010003,3,fightData/AI/EDay01_01/E1/R2
718,200004,30010003,4,fightData/AI/EDay01_01/E1/R3
719,200004,30010003,5,fightData/AI/EDay01_01/E1/R4
720,200004,30010003,6,fightData/AI/EDay01_01/E1/R5
721,200004,30010003,7,fightData/AI/EDay01_01/E1/R6
722,200004,30010003,8,fightData/AI/EDay01_01/E1/R7
723,200004,30010003,9,fightData/AI/EDay01_01/E1/R8
724,200004,30010003,10,fightData/AI/EDay01_01/E1/R9
725,200004,30010003,11,fightData/AI/EDay01_01/E1/R10
726,200004,30010003,12,fightData/AI/EDay01_01/E1/R11
727,200004,30010003,13,fightData/AI/EDay01_01/E1/R12
728,200004,30010003,14,fightData/AI/EDay01_01/E1/R13
729,200004,30010003,15,fightData/AI/EDay01_01/E1/R14
730,200004,30010003,16,fightData/AI/EDay01_01/E1/R15
731,200004,30010003,17,fightData/AI/EDay01_01/E1/R16
732,200004,30010003,18,fightData/AI/EDay01_01/E1/R17
733,200004,30010003,19,fightData/AI/EDay01_01/E1/R18
734,200004,30010003,20,fightData/AI/EDay01_01/E1/R19
735,200004,30010003,21,fightData/AI/EDay01_01/E1/R20
736,200004,30010003,22,fightData/AI/EDay01_01/E1/R21
737,200004,30010003,23,fightData/AI/EDay01_01/E1/R22
738,200004,30010003,24,fightData/AI/EDay01_01/E1/R23
739,200004,30010003,25,fightData/AI/EDay01_01/E1/R24
740,200004,30010003,26,fightData/AI/EDay01_01/E1/R25
741,200004,30010003,27,fightData/AI/EDay01_01/E1/R26
742,200004,30010003,28,fightData/AI/EDay01_01/E1/R27
743,200004,30010003,29,fightData/AI/EDay01_01/E1/R28
744,200004,30010003,30,fightData/AI/EDay01_01/E1/R29
745,200004,30010003,31,fightData/AI/EDay01_01/E1/R30
746,200004,30010003,32,fightData/AI/EDay01_01/E1/R31
747,200004,30010003,33,fightData/AI/EDay01_01/E1/R32
748,200004,30010003,34,fightData/AI/EDay01_01/E1/R33
749,200004,30010003,35,fightData/AI/EDay01_01/E1/R34
750,200004,30010003,36,fightData/AI/EDay01_01/E1/R35
751,200004,30010003,37,fightData/AI/EDay01_01/E1/R36
752,200004,30010003,38,fightData/AI/EDay01_01/E1/R37
753,200004,30010003,39,fightData/AI/EDay01_01/E1/R42
754,200004,30010003,40,fightData/AI/EDay01_01/E1/R43
755,200004,30010003,41,fightData/AI/EDay01_01/E1/R44
756,200004,30010003,42,fightData/AI/EDay01_01/E1/R45
757,200004,30010004,1,fightData/AI/EDay01_01/E2/R0
758,200004,30010004,2,fightData/AI/EDay01_01/E2/R1
759,200004,30010004,3,fightData/AI/EDay01_01/E2/R2
760,200004,30010004,4,fightData/AI/EDay01_01/E2/R3
761,200004,30010004,5,fightData/AI/EDay01_01/E2/R4
762,200004,30010004,6,fightData/AI/EDay01_01/E2/R5
763,200004,30010004,7,fightData/AI/EDay01_01/E2/R6
764,200004,30010004,8,fightData/AI/EDay01_01/E2/R7
765,200004,30010004,9,fightData/AI/EDay01_01/E2/R8
766,200004,30010004,10,fightData/AI/EDay01_01/E2/R9
767,200004,30010004,11,fightData/AI/EDay01_01/E2/R10
768,200004,30010004,12,fightData/AI/EDay01_01/E2/R11
769,200004,30010004,13,fightData/AI/EDay01_01/E2/R12
770,200004,30010004,14,fightData/AI/EDay01_01/E2/R13
771,200004,30010004,15,fightData/AI/EDay01_01/E2/R14
772,200004,30010004,16,fightData/AI/EDay01_01/E2/R15
773,200004,30010004,17,fightData/AI/EDay01_01/E2/R16
774,200004,30010004,18,fightData/AI/EDay01_01/E2/R17
775,200004,30010004,19,fightData/AI/EDay01_01/E2/R18
776,200004,30010004,20,fightData/AI/EDay01_01/E2/R19
777,200004,30010004,21,fightData/AI/EDay01_01/E2/R20
778,200004,30010004,22,fightData/AI/EDay01_01/E2/R21
779,200004,30010004,23,fightData/AI/EDay01_01/E2/R22
780,200004,30010004,24,fightData/AI/EDay01_01/E2/R23
781,200004,30010004,25,fightData/AI/EDay01_01/E2/R24
782,200004,30010004,26,fightData/AI/EDay01_01/E2/R25
783,200004,30010004,27,fightData/AI/EDay01_01/E2/R26
784,200004,30010004,28,fightData/AI/EDay01_01/E2/R27
785,200004,30010004,29,fightData/AI/EDay01_01/E2/R28
786,200004,30010004,30,fightData/AI/EDay01_01/E2/R29
787,200004,30010004,31,fightData/AI/EDay01_01/E2/R30
788,200004,30010004,32,fightData/AI/EDay01_01/E2/R31
789,200004,30010004,33,fightData/AI/EDay01_01/E2/R32
790,200004,30010004,34,fightData/AI/EDay01_01/E2/R33
791,200004,30010004,35,fightData/AI/EDay01_01/E2/R34
792,200004,30010004,36,fightData/AI/EDay01_01/E2/R35
793,200004,30010004,37,fightData/AI/EDay01_01/E2/R36
794,200004,30010004,38,fightData/AI/EDay01_01/E2/R37
795,200004,30010004,39,fightData/AI/EDay01_01/E2/R42
796,200004,30010004,40,fightData/AI/EDay01_01/E2/R43
797,200004,30010004,41,fightData/AI/EDay01_01/E2/R44
798,200004,30010004,42,fightData/AI/EDay01_01/E2/R45
799,200004,30010005,1,fightData/AI/EDay01_01/E3/R0
800,200004,30010005,2,fightData/AI/EDay01_01/E3/R1
801,200004,30010005,3,fightData/AI/EDay01_01/E3/R2
802,200004,30010005,4,fightData/AI/EDay01_01/E3/R3
803,200004,30010005,5,fightData/AI/EDay01_01/E3/R4
804,200004,30010005,6,fightData/AI/EDay01_01/E3/R5
805,200004,30010005,7,fightData/AI/EDay01_01/E3/R6
806,200004,30010005,8,fightData/AI/EDay01_01/E3/R7
807,200004,30010005,9,fightData/AI/EDay01_01/E3/R8
808,200004,30010005,10,fightData/AI/EDay01_01/E3/R9
809,200004,30010005,11,fightData/AI/EDay01_01/E3/R10
810,200004,30010005,12,fightData/AI/EDay01_01/E3/R11
811,200004,30010005,13,fightData/AI/EDay01_01/E3/R12
812,200004,30010005,14,fightData/AI/EDay01_01/E3/R13
813,200004,30010005,15,fightData/AI/EDay01_01/E3/R14
814,200004,30010005,16,fightData/AI/EDay01_01/E3/R15
815,200004,30010005,17,fightData/AI/EDay01_01/E3/R16
816,200004,30010005,18,fightData/AI/EDay01_01/E3/R17
817,200004,30010005,19,fightData/AI/EDay01_01/E3/R18
818,200004,30010005,20,fightData/AI/EDay01_01/E3/R19
819,200004,30010005,21,fightData/AI/EDay01_01/E3/R20
820,200004,30010005,22,fightData/AI/EDay01_01/E3/R21
821,200004,30010005,23,fightData/AI/EDay01_01/E3/R22
822,200004,30010005,24,fightData/AI/EDay01_01/E3/R23
823,200004,30010005,25,fightData/AI/EDay01_01/E3/R24
824,200004,30010005,26,fightData/AI/EDay01_01/E3/R25
825,200004,30010005,27,fightData/AI/EDay01_01/E3/R26
826,200004,30010005,28,fightData/AI/EDay01_01/E3/R27
827,200004,30010005,29,fightData/AI/EDay01_01/E3/R28
828,200004,30010005,30,fightData/AI/EDay01_01/E3/R29
829,200004,30010005,31,fightData/AI/EDay01_01/E3/R30
830,200004,30010005,32,fightData/AI/EDay01_01/E3/R31
831,200004,30010005,33,fightData/AI/EDay01_01/E3/R32
832,200004,30010005,34,fightData/AI/EDay01_01/E3/R33
833,200004,30010005,35,fightData/AI/EDay01_01/E3/R34
834,200004,30010005,36,fightData/AI/EDay01_01/E3/R35
835,200004,30010005,37,fightData/AI/EDay01_01/E3/R36
836,200004,30010005,38,fightData/AI/EDay01_01/E3/R37
837,200004,30010005,39,fightData/AI/EDay01_01/E3/R42
838,200004,30010005,40,fightData/AI/EDay01_01/E3/R43
839,200004,30010005,41,fightData/AI/EDay01_01/E3/R44
840,200004,30010005,42,fightData/AI/EDay01_01/E3/R45
841,200005,30010002,1,fightData/AI/EDay01_01/R0
842,200005,30010002,2,fightData/AI/EDay01_01/R1
843,200005,30010002,3,fightData/AI/EDay01_01/R2
844,200005,30010002,4,fightData/AI/EDay01_01/R3
845,200005,30010002,5,fightData/AI/EDay01_01/R4
846,200005,30010002,6,fightData/AI/EDay01_01/R5
847,200005,30010002,7,fightData/AI/EDay01_01/R6
848,200005,30010002,8,fightData/AI/EDay01_01/R7
849,200005,30010002,9,fightData/AI/EDay01_01/R8
850,200005,30010002,10,fightData/AI/EDay01_01/R9
851,200005,30010002,11,fightData/AI/EDay01_01/R10
852,200005,30010002,12,fightData/AI/EDay01_01/R11
853,200005,30010002,13,fightData/AI/EDay01_01/R12
854,200005,30010002,14,fightData/AI/EDay01_01/R13
855,200005,30010002,15,fightData/AI/EDay01_01/R14
856,200005,30010002,16,fightData/AI/EDay01_01/R15
857,200005,30010002,17,fightData/AI/EDay01_01/R16
858,200005,30010002,18,fightData/AI/EDay01_01/R17
859,200005,30010002,19,fightData/AI/EDay01_01/R18
860,200005,30010002,20,fightData/AI/EDay01_01/R19
861,200005,30010002,21,fightData/AI/EDay01_01/R20
862,200005,30010002,22,fightData/AI/EDay01_01/R21
863,200005,30010002,23,fightData/AI/EDay01_01/R22
864,200005,30010002,24,fightData/AI/EDay01_01/R23
865,200005,30010002,25,fightData/AI/EDay01_01/R24
866,200005,30010002,26,fightData/AI/EDay01_01/R25
867,200005,30010002,27,fightData/AI/EDay01_01/R26
868,200005,30010002,28,fightData/AI/EDay01_01/R27
869,200005,30010002,29,fightData/AI/EDay01_01/R28
870,200005,30010002,30,fightData/AI/EDay01_01/R29
871,200005,30010002,31,fightData/AI/EDay01_01/R30
872,200005,30010002,32,fightData/AI/EDay01_01/R31
873,200005,30010002,33,fightData/AI/EDay01_01/R32
874,200005,30010002,34,fightData/AI/EDay01_01/R33
875,200005,30010002,35,fightData/AI/EDay01_01/R34
876,200005,30010002,36,fightData/AI/EDay01_01/R35
877,200005,30010002,37,fightData/AI/EDay01_01/R36
878,200005,30010002,38,fightData/AI/EDay01_01/R37
879,200005,30010002,39,fightData/AI/EDay01_01/R42
880,200005,30010002,40,fightData/AI/EDay01_01/R43
881,200005,30010002,41,fightData/AI/EDay01_01/R44
882,200005,30010002,42,fightData/AI/EDay01_01/R45
883,200005,30010006,1,fightData/AI/EDay01_01/R38
884,200005,30010006,2,fightData/AI/EDay01_01/R39
885,200005,30010006,3,fightData/AI/EDay01_01/R40
886,200005,30010006,4,fightData/AI/EDay01_01/R41
887,200005,30010003,1,fightData/AI/EDay01_01/E1/R0
888,200005,30010003,2,fightData/AI/EDay01_01/E1/R1
889,200005,30010003,3,fightData/AI/EDay01_01/E1/R2
890,200005,30010003,4,fightData/AI/EDay01_01/E1/R3
891,200005,30010003,5,fightData/AI/EDay01_01/E1/R4
892,200005,30010003,6,fightData/AI/EDay01_01/E1/R5
893,200005,30010003,7,fightData/AI/EDay01_01/E1/R6
894,200005,30010003,8,fightData/AI/EDay01_01/E1/R7
895,200005,30010003,9,fightData/AI/EDay01_01/E1/R8
896,200005,30010003,10,fightData/AI/EDay01_01/E1/R9
897,200005,30010003,11,fightData/AI/EDay01_01/E1/R10
898,200005,30010003,12,fightData/AI/EDay01_01/E1/R11
899,200005,30010003,13,fightData/AI/EDay01_01/E1/R12
900,200005,30010003,14,fightData/AI/EDay01_01/E1/R13
901,200005,30010003,15,fightData/AI/EDay01_01/E1/R14
902,200005,30010003,16,fightData/AI/EDay01_01/E1/R15
903,200005,30010003,17,fightData/AI/EDay01_01/E1/R16
904,200005,30010003,18,fightData/AI/EDay01_01/E1/R17
905,200005,30010003,19,fightData/AI/EDay01_01/E1/R18
906,200005,30010003,20,fightData/AI/EDay01_01/E1/R19
907,200005,30010003,21,fightData/AI/EDay01_01/E1/R20
