id,等级,所属枪型,消耗材料1,消耗材料2,消耗材料3,属性加成（战斗外）,属性加成（战斗内）,通用构筑点,切换技升级
562,62,5,4304001&1150,4304002&310,-1,2&39|2&39,0,0,-1
563,63,5,4304001&1185,4304002&315,-1,5&31|5&31,0,0,-1
564,64,5,4304001&1220,4304002&320,-1,1&127|1&127,0,0,-1
565,65,5,4304001&1255,4304002&325,-1,2&39|2&39,0,0,-1
566,66,5,4304001&1290,4304002&330,-1,5&31|5&31,0,0,-1
567,67,5,4304001&1325,4304002&335,-1,1&127|1&127,0,0,-1
568,68,5,4304001&1360,4304002&340,-1,2&39|2&39,0,0,-1
569,69,5,4304001&1395,4304002&345,-1,5&31|5&31,0,0,-1
570,70,5,4304001&1435,4304002&350,-1,1&127|1&127,0.084,0,-1
571,71,5,4304001&1475,4304002&355,-1,2&33|2&33,0,0,-1
572,72,5,4304001&1515,4304002&360,-1,5&34|5&34,0,0,-1
573,73,5,4304001&1555,4304002&365,-1,1&191|1&191,0,0,-1
574,74,5,4304001&1595,4304002&370,-1,2&33|2&33,0,0,-1
575,75,5,4304001&1635,4304002&375,-1,5&34|5&34,0,0,-1
576,76,5,4304001&1675,4304002&380,-1,1&191|1&191,0,0,-1
577,77,5,4304001&1715,4304002&385,4600004&81,2&33|2&33,0,0,2&600505
578,78,5,4304001&1755,4304002&390,-1,5&34|5&34,0,0,-1
579,79,5,4304001&1795,4304002&395,-1,1&191|1&191,0,0,-1
580,80,5,4304001&1835,4304002&400,-1,2&33|2&33,0.101,0,-1
601,1,6,4305001&5,4305002&5,4306001&10,1&57,0,1,1&600601
602,2,6,4305001&10,4305002&10,-1,2&17,0,0,-1
603,3,6,4305001&15,4305002&15,4306001&14,5&15,0,1,-1
604,4,6,4305001&20,4305002&20,-1,1&57,0,0,-1
605,5,6,4305001&25,4305002&25,4306001&18,2&17,0,1,-1
606,6,6,4305001&30,4305002&30,-1,5&15,0,0,-1
607,7,6,4305001&35,4305002&35,4306001&22,1&57,0,1,-1
608,8,6,4305001&40,4305002&40,-1,2&17,0,0,-1
609,9,6,4305001&45,4305002&45,4306001&26,5&15,0,1,-1
610,10,6,4305001&55,4305002&50,-1,1&57,0.017,0,-1
611,11,6,4305001&65,4305002&55,4306001&30,2&15,0,1,-1
612,12,6,4305001&75,4305002&60,-1,5&23,0,0,-1
613,13,6,4305001&85,4305002&65,4306001&34,1&115,0,1,-1
614,14,6,4305001&95,4305002&70,-1,2&15,0,0,-1
615,15,6,4305001&105,4305002&75,-1,5&23,0,0,-1
616,16,6,4305001&115,4305002&80,-1,1&115,0,0,-1
617,17,6,4305001&125,4305002&85,4600004&21,2&15,0,0,2&600602
618,18,6,4305001&135,4305002&90,-1,5&23,0,0,-1
619,19,6,4305001&145,4305002&95,4306001&46,1&115,0,1,-1
620,20,6,4305001&160,4305002&100,-1,2&15|2&15,0.021,0,-1
621,21,6,4305001&175,4305002&105,-1,5&12|5&12,0,0,-1
622,22,6,4305001&190,4305002&110,-1,1&76|1&76,0,0,-1
623,23,6,4305001&205,4305002&115,-1,2&17|2&17,0,0,-1
624,24,6,4305001&220,4305002&120,-1,5&12|5&12,0,0,-1
625,25,6,4305001&235,4305002&125,4306001&58,1&76|1&76,0,1,-1
626,26,6,4305001&250,4305002&130,-1,2&17|2&17,0,0,-1
627,27,6,4305001&265,4305002&135,-1,5&12|5&12,0,0,-1
628,28,6,4305001&280,4305002&140,-1,1&76|1&76,0,0,-1
629,29,6,4305001&295,4305002&145,-1,2&17|2&17,0,0,-1
630,30,6,4305001&315,4305002&150,-1,5&12|5&12,0.025,0,-1
631,31,6,4305001&335,4305002&155,4306001&70,1&72|1&72,0,1,-1
632,32,6,4305001&355,4305002&160,-1,2&21|2&21,0,0,-1
633,33,6,4305001&375,4305002&165,-1,5&19|5&19,0,0,-1
634,34,6,4305001&395,4305002&170,-1,1&72|1&72,0,0,-1
635,35,6,4305001&415,4305002&175,-1,2&21|2&21,0,0,-1
636,36,6,4305001&435,4305002&180,-1,5&19|5&19,0,0,-1
637,37,6,4305001&455,4305002&185,4600004&41,1&72|1&72,0,0,2&600603
638,38,6,4305001&475,4305002&190,-1,2&21|2&21,0,0,-1
639,39,6,4305001&495,4305002&195,-1,5&19|5&19,0,0,-1
640,40,6,4305001&520,4305002&200,-1,1&72|1&72,0.034,0,-1
641,41,6,4305001&545,4305002&205,-1,2&19|2&19,0,0,-1
642,42,6,4305001&570,4305002&210,-1,5&23|5&23,0,0,-1
643,43,6,4305001&595,4305002&215,-1,1&115|1&115,0,0,-1
644,44,6,4305001&620,4305002&220,-1,2&19|2&19,0,0,-1
645,45,6,4305001&645,4305002&225,-1,5&23|5&23,0,0,-1
646,46,6,4305001&670,4305002&230,-1,1&115|1&115,0,0,-1
647,47,6,4305001&695,4305002&235,-1,2&19|2&19,0,0,-1
648,48,6,4305001&720,4305002&240,-1,5&23|5&23,0,0,-1
649,49,6,4305001&745,4305002&245,-1,1&115|1&115,0,0,-1
650,50,6,4305001&775,4305002&250,-1,2&19|2&19,0.051,0,-1
651,51,6,4305001&805,4305002&255,-1,5&20|5&20,0,0,-1
652,52,6,4305001&835,4305002&260,-1,1&134|1&134,0,0,-1
653,53,6,4305001&865,4305002&265,-1,2&30|2&30,0,0,-1
654,54,6,4305001&895,4305002&270,-1,5&20|5&20,0,0,-1
655,55,6,4305001&925,4305002&275,-1,1&134|1&134,0,0,-1
656,56,6,4305001&955,4305002&280,-1,2&30|2&30,0,0,-1
657,57,6,4305001&985,4305002&285,4600004&61,5&20|5&20,0,0,2&600604
658,58,6,4305001&1015,4305002&290,-1,1&134|1&134,0,0,-1
659,59,6,4305001&1045,4305002&295,-1,2&30|2&30,0,0,-1
660,60,6,4305001&1080,4305002&300,-1,5&20|5&20,0.067,0,-1
661,61,6,4305001&1115,4305002&305,-1,1&115|1&115,0,0,-1
662,62,6,4305001&1150,4305002&310,-1,2&34|2&34,0,0,-1
663,63,6,4305001&1185,4305002&315,-1,5&31|5&31,0,0,-1
664,64,6,4305001&1220,4305002&320,-1,1&115|1&115,0,0,-1
665,65,6,4305001&1255,4305002&325,-1,2&34|2&34,0,0,-1
666,66,6,4305001&1290,4305002&330,-1,5&31|5&31,0,0,-1
667,67,6,4305001&1325,4305002&335,-1,1&115|1&115,0,0,-1
668,68,6,4305001&1360,4305002&340,-1,2&34|2&34,0,0,-1
669,69,6,4305001&1395,4305002&345,-1,5&31|5&31,0,0,-1
670,70,6,4305001&1435,4305002&350,-1,1&115|1&115,0.084,0,-1
671,71,6,4305001&1475,4305002&355,-1,2&29|2&29,0,0,-1
672,72,6,4305001&1515,4305002&360,-1,5&34|5&34,0,0,-1
673,73,6,4305001&1555,4305002&365,-1,1&172|1&172,0,0,-1
674,74,6,4305001&1595,4305002&370,-1,2&29|2&29,0,0,-1
675,75,6,4305001&1635,4305002&375,-1,5&34|5&34,0,0,-1
676,76,6,4305001&1675,4305002&380,-1,1&172|1&172,0,0,-1
677,77,6,4305001&1715,4305002&385,4600004&81,2&29|2&29,0,0,2&600605
678,78,6,4305001&1755,4305002&390,-1,5&34|5&34,0,0,-1
679,79,6,4305001&1795,4305002&395,-1,1&172|1&172,0,0,-1
680,80,6,4305001&1835,4305002&400,-1,2&29|2&29,0.101,0,-1
