ID,附带效果类型,UIIcon,Buff特效,吸血百分比,概率,叠加次数上限,效果持续时间,DOT伤害比系数,数字颜色,持续伤害击中特效,附带效果ICON,DOT伤害时间,时间变速,恢复生命百分比,增伤系数（倍率）,储备相关信息,分身相关信息,降低防御百分比,降低属性百分比,回能速度相关,攻击速度相关,强化普攻相关,属性增伤系数,基础攻击增加,减伤相关,增加防御,概率释放多次,增加属性攻击,主动技能强化1,全属性增伤,全属性抗性增加,增加属性抗性,吸魂相关配置
201703,8,source_uiComframeWork/frame_buff/Witch_Buff_105,-1,-1,100,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301703,8,source_uiComframeWork/frame_buff/Witch_Buff_105,-1,-1,100,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401703,8,source_uiComframeWork/frame_buff/Witch_Buff_105,-1,-1,100,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101802,8,source_uiComframeWork/frame_buff/Witch_Buff_105,-1,-1,100,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201802,8,source_uiComframeWork/frame_buff/Witch_Buff_105,-1,-1,100,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301802,8,source_uiComframeWork/frame_buff/Witch_Buff_105,-1,-1,100,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401802,8,source_uiComframeWork/frame_buff/Witch_Buff_105,-1,-1,100,1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101803,10,source_uiComframeWork/frame_buff/Witch_Buff_120,-1,-1,100,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201803,10,source_uiComframeWork/frame_buff/Witch_Buff_120,-1,-1,100,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301803,10,source_uiComframeWork/frame_buff/Witch_Buff_120,-1,-1,100,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401803,10,source_uiComframeWork/frame_buff/Witch_Buff_120,-1,-1,100,1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101902,12,source_uiComframeWork/frame_buff/Witch_Buff_3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50|3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201902,12,source_uiComframeWork/frame_buff/Witch_Buff_3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60|4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301902,12,source_uiComframeWork/frame_buff/Witch_Buff_3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70|5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401902,12,source_uiComframeWork/frame_buff/Witch_Buff_3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80|6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101903,11,source_icon/skill/101903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15|5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201903,11,source_icon/skill/101903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20|6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301903,11,source_icon/skill/101903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25|7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401903,11,source_icon/skill/101903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30|8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102002,6,source_icon/skill/102002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1|1|3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
202002,6,source_icon/skill/102002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1|1|4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
302002,6,source_icon/skill/102002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1|1|5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
402002,6,source_icon/skill/102002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1|1|6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102103,3,source_icon/skill/102103,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,5|0.5|0.5|0.5|1.5|0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
202103,3,source_icon/skill/102103,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,6|0.4|0.4|0.4|1.6|0.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
302103,3,source_icon/skill/102103,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,6|0.3|0.3|0.3|1.7|0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
402103,3,source_icon/skill/102103,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,7|0.2|0.2|0.2|1.8|0.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102202,32,source_icon/skill/102202,prefab_barrage/playerBarrage_1022/barrage_102202,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|1|1|2|6|0.5|5|3|source_uiComframeWork/frame_buff/Img_Buff_1
202202,32,source_icon/skill/102202,prefab_barrage/playerBarrage_1022/barrage_102202,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|1|1|2|6|1|6|4|source_uiComframeWork/frame_buff/Img_Buff_1
302202,32,source_icon/skill/102202,prefab_barrage/playerBarrage_1022/barrage_102202,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|1|1|2|6|1.5|7|5|source_uiComframeWork/frame_buff/Img_Buff_1
402202,32,source_icon/skill/102202,prefab_barrage/playerBarrage_1022/barrage_102202,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|1|1|2|6|2|8|6|source_uiComframeWork/frame_buff/Img_Buff_1
102203,33,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
202203,33,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
302203,33,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
402203,33,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
