ID,技能id,所属魔女ID,最大等级,释放类型,所属星级,弹幕文件,爆炸,技能CD,神火消耗类型,神火消耗,弹幕根数,单根弹幕伤害,真实伤害,攻击间隔,成长系数,技能效果,击中效果显示位置,技能展示用系数,dot展示用系数2,技能是否展示预览,出屏是否裁剪
203,102403,1024,20,10,2,witch/must/1024010300,-1,18,1,270000,1,22.52,0,0|1,15,-1,1,22.52,-1,1,0
204,102403,1024,20,10,3,witch/must/1024010300,-1,18,1,270000,1,22.52,0,0|1,15,102403.0,1,22.52,-1,1,0
205,102403,1024,20,10,4,witch/must/1024010400,-1,18,1,270000,2,14.638,0,0|1,15,102403.0,1,29.276,-1,1,0
206,102403,1024,20,10,5,witch/must/1024010400,-1,18,1,270000,2,14.638,0,0|1,15,102403|102405,1,29.276,-1,1,0
207,102403,1024,20,10,6,witch/must/1024010400,-1,18,1,270000,2,14.638,0,0|1,15,102403|102405,1,29.276,-1,1,0
208,102453,1024,20,11,6,witch/must/1024010400,-1,0,1,0,1,14.638,0,0|1,15,102403.0,1,14.638,-1,1,0
209,102404,1024,20,10,1,witch/must/102404,-1,18,1,270000,1,22.52,0,0|1,15,-1,1,22.52,-1,1,0
210,102501,1025,20,1,1,witch/barrage/1025011,10250100.0,0,1,0,1,4.6,0,0|1,3,-1,0,4.6,-1,1,0
211,102502,1025,20,13,1,witch/skill_xuli/1025,-1,10,1,0,41,0.263,0,6|41,15,-1,1,10.8,-1,1,0
212,102503,1025,20,10,1,witch/must/1025010600,-1,35,1,50000,23,0.401,0,8|0,15,-1,1,9.23,-1,1,0
213,102503,1025,20,10,2,witch/must/1025010600,-1,35,1,50000,23,0.401,0,8|0,15,-1,1,9.23,-1,1,0
214,102503,1025,20,10,3,witch/must/1025010600,-1,35,1,50000,23,0.401,0,8|0,15,102503.0,1,9.23,-1,1,0
215,102503,1025,20,10,4,witch/must/1025010600,-1,35,1,50000,23,0.401,0,8|0,15,102503|102504,1,9.23,-1,1,0
216,102503,1025,20,10,5,witch/must/1025010600,-1,35,1,50000,23,0.401,0,8|0,15,102503|102504|102553,1,9.23,-1,1,0
217,102503,1025,20,10,6,witch/must/1025010600,-1,35,1,50000,23,0.401,0,8|0,15,102503|102504|102553,1,9.23,-1,1,0
218,102553,1025,20,10,6,witch/must/1025010601,-1,35,1,50000,23,0,0,8|0,15,102506.0,1,15,-1,1,0
219,999999999,1026,20,1,1,witch/barrage/1026011,-1,0,1,0,2,0.5,0,0|1,3,-1,0,1,-1,1,0
220,102701,1027,20,1,1,witch/barrage/1027011,-1,0,1,0,3,0.333,0,0|1,3,-1,0,1,-1,1,0
221,102801,1028,20,1,1,witch/barrage/1028011,-1,0,1,0,2,0.5,0,0|1,3,100001.0,0,0.5,-1,1,1
222,102802,1028,20,13,1,witch/skill_xuli/1028,-1,10,1,0,8,1.25,0,0|1,15,-1,1,10,-1,1,0
223,102803,1028,20,10,1,witch/must/1028010300,-1,30,1,450000,14,1.596,0,20|0,15,-1,1,22.34,-1,1,0
224,102803,1028,20,10,2,witch/must/1028010300,-1,30,1,450000,14,1.596,0,20|0,15,-1,1,22.34,-1,1,0
225,102803,1028,20,10,3,witch/must/1028010300,-1,30,1,450000,14,1.596,0,20|0,15,102803.0,1,22.34,-1,1,0
226,102803,1028,20,10,4,witch/must/1028010300,-1,30,1,450000,14,1.596,0,20|0,15,102803|102804,1,22.34,-1,1,0
227,102803,1028,20,10,5,witch/must/1028010300,-1,30,1,450000,14,1.596,0,20|0,15,102803|102804,1,22.34,-1,1,0
228,102803,1028,20,10,6,witch/must/1028010400,-1,30,1,450000,16,1.815,0,20|0,15,102803|102804,1,29.042,-1,1,0
229,102901,1029,20,1,1,witch/barrage/1029011,-1,0,1,0,2,0.5,0,0|1,3,-1,0,1,-1,1,0
230,103001,1030,20,1,1,witch/barrage/1030011,-1,0,1,0,2,0.5,0,0|1,3,100001.0,0,0.5,-1,1,1
231,103002,1030,20,13,1,witch/skill_xuli/1030,-1,10,1,0,6,1.84,0,0|1,15,-1,1,11.04,-1,1,0
232,103003,1030,20,10,1,witch/must/1030010300,-1,15,1,230000,29,0.614,0,8|29,15,-1,1,17.8,-1,1,0
233,103003,1030,20,10,2,witch/must/1030010400,-1,15,1,230000,29,0.638,0,8|29,15,103002.0,1,23.14,-1,1,0
234,103003,1030,20,10,3,witch/must/1030010500,-1,15,1,230000,29,0.786,0,8|29,15,103003.0,1,28.480000000000004,-1,1,0
235,103003,1030,20,10,4,witch/must/1030010500,-1,15,1,230000,29,0.786,0,8|29,15,103003.0,1,28.480000000000004,-1,1,0
236,103003,1030,20,10,5,witch/must/1030010600,-1,15,1,230000,29,0.786,0,8|29,15,103003.0,1,28.480000000000004,-1,1,0
237,103003,1030,20,10,6,witch/must/1030010600,-1,15,1,230000,29,0.786,0,8|29,15,103005.0,1,28.480000000000004,-1,1,0
238,103053,1030,20,11,2,witch/must/1030010401,-1,0,1,0,18,0.257,0,0|1,15,-1,1,23.14,-1,1,0
239,103053,1030,20,11,3,witch/must/1030010501,-1,0,1,0,18,0.316,0,0|1,15,-1,1,28.480000000000004,-1,1,0
240,103053,1030,20,11,5,witch/must/1030010601,-1,0,1,0,18,0.316,0,0|1,15,-1,1,28.480000000000004,-1,1,0
241,103101,1031,20,1,1,witch/barrage/103100,-1,0,1,0,2,0.5,0,0|1,3,100001.0,0,0.5,-1,1,1
242,103102,1031,20,13,1,witch/skill_xuli/1031,-1,10,1,0,6,1.8,0,0|1,15,-1,1,1.8,-1,1,0
243,103103,1031,20,10,1,witch/must/10311,-1,15,1,230000,12,1.742,0,22|12,15,-1,1,20.9,-1,1,0
244,103103,1031,20,10,2,witch/must/10311,-1,15,1,230000,12,1.742,0,22|12,15,-1,1,20.9,-1,1,0
245,103103,1031,20,10,3,witch/must/10311,-1,15,1,230000,12,1.742,0,22|12,15,103103|1031031,1,20.9,-1,1,0
246,103103,1031,20,10,4,witch/must/10311,-1,15,1,230000,12,1.742,0,22|12,15,103104|1031041,1,20.9,-1,1,0
247,103103,1031,20,10,5,witch/must/10311,-1,15,1,230000,12,1.742,0,22|12,15,103104|1031041,1,20.9,-1,1,0
248,103103,1031,20,10,6,witch/must/10311,-1,15,1,230000,12,1.742,0,22|12,15,103106|1031061,1,20.9,-1,1,0
249,103201,1032,20,1,1,103201.0,-1,0,1,0,2,0.5,0,0|1,3,-1,0,1,-1,1,0
250,103301,1033,20,1,1,103301.0,-1,0,1,0,3,0.333,0,0|1,3,-1,0,1,-1,1,0
251,103401,1034,20,1,1,103401.0,-1,0,1,0,2,0.5,0,0|1,3,-1,0,1,-1,1,0
252,103501,1035,20,1,1,witch/barrage/1035011,-1,0,1,0,4,0.6,0,0|1,3,-1,0,0.6,-1,1,0
253,103502,1035,20,13,1,witch/skill_xuli/1035,-1,10,1,0,14,1.543,0,0|1,15,-1,1,21.6,-1,1,0
254,103503,1035,20,10,1,witch/must/1035010300,-1,20,1,300000,12,1.912,0,5|4,15,-1,1,22.94,-1,1,0
255,103503,1035,20,10,2,witch/must/1035010300,-1,20,1,300000,12,1.912,0,5|4,15,-1,1,22.94,-1,1,0
256,103503,1035,20,10,3,witch/must/1035010300,-1,20,1,300000,12,1.912,0,5|4,15,103503.0,1,22.94,-1,1,0
257,103503,1035,20,10,4,witch/must/1035010600,-1,20,1,300000,12,1.912,0,5|4,15,103503.0,1,22.94,-1,1,0
258,103503,1035,20,10,5,witch/must/1035010600,-1,20,1,300000,12,1.912,0,5|4,15,103505.0,1,22.94,-1,1,0
259,103503,1035,20,10,6,witch/must/1035010600,-1,20,1,300000,12,1.912,0,5|4,15,103505.0,1,22.94,-1,1,0
260,103553,1035,20,11,6,witch/must/1035010601,-1,0,1,0,36,0,0,0|1,15,-1,1,0,-1,1,0
261,103504,1035,20,10,1,witch/must/103504,-1,20,1,300000,4,5.735,0,5|4,15,-1,1,22.94,-1,1,0
262,103601,1036,20,1,1,witch/barrage/1036011,-1,0,1,0,2,0.5,0,0|1,3,-1,0,0.5,-1,1,1
263,103602,1036,20,13,1,witch/skill_xuli/1036,-1,9,1,0,25,0.36,0,0|1,15,-1,1,9,-1,1,0
264,103603,1036,20,10,1,witch/must/1036010300,-1,15,1,230000,3,6.143,0,10|4,15,-1,1,18.43,-1,1,0
265,103603,1036,20,10,2,witch/must/1036010300,-1,15,1,230000,3,6.143,0,10|4,15,-1,1,18.43,-1,1,0
266,103603,1036,20,10,3,witch/must/1036010300,-1,15,1,230000,3,6.143,0,10|4,15,103603.0,1,18.43,-1,1,0
267,103603,1036,20,10,4,witch/must/1036010400,-1,15,1,230000,23,0.962,0,0|1,15,103603.0,1,22.116,-1,1,0
268,103603,1036,20,10,5,witch/must/1036010400,-1,12,1,230000,23,0.962,0,0|1,15,103603.0,1,22.116,-1,1,0
269,103603,1036,20,10,6,witch/must/1036010400,-1,12,1,230000,23,0.962,0,0|1,15,103603.0,1,22.116,-1,1,0
270,103701,1037,20,1,1,103701.0,-1,0,1,0,-1,1,0,0|1,3,-1,0,1,-1,1,0
271,103801,1038,20,1,1,witch/barrage/1038011,-1,0,1,0,3,0.45,0,0|1,3,-1,0,0.45,-1,1,1
272,103802,1038,20,13,1,witch/skill_xuli/1038,-1,7,1,0,7,1,0,0|1,15,-1,1,7,-1,1,0
273,103803,1038,20,10,1,witch/must/1038010300,-1,15,2,2000,5,0.704,0,8|0,15,103801.0,1,3.52,-1,1,0
274,103803,1038,20,10,2,witch/must/1038010300,-1,15,2,2000,5,0.704,0,8|0,15,103801.0,1,3.52,-1,1,0
275,103803,1038,20,10,3,witch/must/1038010300,-1,15,2,1500,5,0.704,0,8|0,15,103801.0,1,3.52,-1,1,0
276,103803,1038,20,10,4,witch/must/1038010300,-1,15,2,1500,5,0.704,0,8|0,15,103801|103804,1,3.52,-1,1,0
277,103803,1038,20,10,5,witch/must/1038010300,-1,15,2,1500,5,0.704,0,8|0,15,103801|103804,1,3.52,-1,1,0
278,103803,1038,20,10,6,witch/must/1038010300,-1,15,2,1500,5,0.704,0,8|0,15,103801|103804|103806,1,3.52,-1,1,0
279,103901,1039,20,1,1,witch/barrage/1039011,-1,0,1,0,2,0.5,0,0|1,3,-1,0,0.5,-1,1,1
280,103902,1039,20,13,1,witch/skill_xuli/1039,-1,7,1,0,1,6.44,0,0|1,15,-1,1,6.44,-1,1,0
281,103903,1039,20,10,1,witch/must/1039010300,-1,12,1,180000,32,0.471,0,0|1,15,-1,1,15.06,-1,1,0
282,103903,1039,20,10,2,witch/must/1039010300,-1,12,1,180000,32,0.471,0,0|1,15,103902.0,1,15.06,-1,1,0
283,103903,1039,20,10,3,witch/must/1039010400,-1,12,1,180000,56,0.309,0,0|1,15,103902.0,1,17.319,-1,1,0
284,103903,1039,20,10,4,witch/must/1039010400,-1,12,1,180000,56,0.309,0,0|1,15,103902.0,1,17.319,-1,1,0
285,103903,1039,20,10,5,witch/must/1039010600,-1,12,1,180000,56,0.402,0,0|1,15,103902.0,1,22.5147,-1,1,0
286,103903,1039,20,10,6,witch/must/1039010600,-1,12,1,180000,56,0.402,0,0|1,15,103902.0,1,22.5147,-1,1,0
287,10390101,1039,20,1,1,witch/must/10390101,-1,0,1,0,2,0.5,0,0|1,3,-1,0,0.5,-1,1,0
288,10390301,1039,20,10,1,witch/must/10390301,-1,12,1,180000,32,0.471,0,0|1,15,-1,1,15.06,-1,1,0
289,104001,1040,20,1,1,104001.0,-1,0,1,0,-1,1,0,0|1,3,-1,0,1,-1,1,0
290,104101,1041,20,1,1,104101.0,-1,0,1,0,-1,1,0,0|1,3,-1,0,1,-1,1,0
291,104103,1041,20,10,1,104103.0,-1,12,1,180000,-1,10,0,0|1,15,-1,1,10,-1,1,0
292,104104,1041,20,1,1,104104.0,-1,0,1,0,-1,1,0,0|1,3,-1,0,1,-1,1,0
293,104201,1042,20,1,1,witch/barrage/1042011,10420100.0,0,1,0,1,4.6,0,0|1,3,-1,0,4.6,-1,1,0
294,104202,1042,20,13,1,witch/skill_xuli/1042,-1,10,1,0,41,0.244,0,6|41,15,-1,1,10,-1,1,0
295,104203,1042,20,10,1,witch/must/1042010300,-1,30,1,450000,34,0.657,0,9|0,15,-1,1,22.34,-1,1,0
296,104203,1042,20,10,2,witch/must/1042010300,-1,30,1,450000,34,0.657,0,9|0,15,-1,1,22.34,-1,1,0
297,104203,1042,20,10,3,witch/must/1042010300,-1,30,1,450000,34,0.657,0,9|0,15,104203.0,1,22.34,-1,1,0
298,104203,1042,20,10,4,witch/must/1042010300,-1,30,1,450000,34,0.657,0,9|0,15,104203|104204,1,22.34,-1,1,0
299,104203,1042,20,10,5,witch/must/1042010300,-1,30,1,450000,34,0.657,0,9|0,15,104203|104204,1,22.34,-1,1,0
300,104203,1042,20,10,6,witch/must/1042010300,-1,30,1,450000,34,0.657,0,9|0,15,104203|104204|104206,1,22.34,-1,1,0
301,104256,1042,20,10,6,witch/must/1042010600,104206.0,30,1,450000,6,0.931,0,0|1,15,-1,1,5.585,-1,1,0
302,104254,1042,20,11,6,witch/must/1042010600,-1,0,1,0,6,0.931,0,0|1,15,-1,1,5.585,-1,1,0
303,104255,1042,20,11,6,witch/must/1042010600,-1,0,1,0,6,0.931,0,0|1,15,-1,1,5.585,-1,1,0
304,104301,1043,20,1,1,104301.0,-1,0,1,0,5,0.2,0,0|1,3,-1,0,1,-1,1,0
305,104401,1044,20,1,1,witch/barrage/1044011,-1,0,1,0,1,0.7,0,8|0,3,-1,1,0.7,-1,1,0
306,104402,1044,20,13,1,witch/skill_xuli/1044,-1,7,1,0,4,1.89,0,4|6,15,-1,1,7.56,-1,1,0
307,104441,1044,20,1,1,witch/build/10440141,-1,0,1,0,2,1,0,6|0,3,-1,1,0.5,-1,1,0
308,104403,1044,20,10,1,witch/must/1044010300,-1,40,1,250000,43,0.586,0,6|0,15,-1,1,25.2,-1,1,0
309,104403,1044,20,10,2,witch/must/1044010300,-1,40,1,250000,43,0.586,0,6|0,15,-1,1,25.2,-1,1,0
310,104403,1044,20,10,3,witch/must/1044010300,-1,40,1,250000,43,0.586,0,6|0,15,104401|104403,1,25.2,-1,1,0
311,104403,1044,20,10,4,witch/must/1044010300,-1,30,1,250000,43,0.586,0,6|0,15,104401|104403,1,25.2,-1,1,0
312,104403,1044,20,10,5,witch/must/1044010300,-1,30,1,250000,43,0.586,0,6|0,15,104401|104403|104405,1,25.2,-1,1,0
313,104403,1044,20,10,6,witch/must/1044010300,-1,30,1,250000,43,0.586,0,6|0,15,104401|104403|104405,1,25.2,-1,1,0
314,104501,1045,20,1,1,witch/barrage/1045011,-1,0,1,0,1,0.7,0,8|0,3,-1,1,0.7,-1,1,0
315,104502,1045,20,13,1,witch/skill_xuli/1045,-1,7,1,0,2,3.5,0,0|1,15,-1,1,7,-1,1,0
316,104541,1045,20,1,1,witch/build/10450141,-1,0,1,0,2,1,0,8|0,3,-1,1,0.5,-1,1,0
317,104503,1045,20,10,1,witch/must/1045010300,-1,15,1,230000,29,0.636,0,4|0,15,-1,1,18.43,-1,1,0
318,104503,1045,20,10,2,witch/must/1045010300,-1,15,1,230000,29,0.636,0,4|0,15,-1,1,18.43,-1,1,0
319,104503,1045,20,10,3,witch/must/1045010300,-1,15,1,230000,29,0.636,0,4|0,15,104503.0,1,18.43,-1,1,0
320,104503,1045,20,10,4,witch/must/1045010600,-1,15,1,230000,64,0.389,0,4|0,15,104503.0,1,24.8805,-1,1,0
321,104503,1045,20,10,5,witch/must/1045010600,-1,15,1,230000,64,0.389,0,4|0,15,104503.0,1,24.8805,-1,1,0
322,104503,1045,20,10,6,witch/must/1045010600,-1,15,1,230000,64,0.389,0,4|0,15,104506.0,1,24.8805,-1,1,0
323,105001,1050,20,1,1,witch/barrage/1050011,-1,0,1,0,2,0.5,0,0|1,3,-1,0,0.5,-1,1,1
324,105002,1050,20,13,1,witch/skill_xuli/1050,-1,10,1,0,18,0.556,0,6|0,15,-1,1,10,-1,1,0
325,105003,1050,20,10,1,witch/must/10500,-1,20,2,2000,20,0.953,0,30|0,15,105001.0,1,19.05,-1,1,0
326,105003,1050,20,10,2,witch/must/10500,-1,20,2,2000,20,0.953,0,30|0,15,105001.0,1,19.05,-1,1,0
327,105003,1050,20,10,3,witch/must/10500,-1,20,2,2000,20,0.953,0,30|0,15,105001|105003,1,19.05,-1,1,0
328,105003,1050,20,10,4,witch/must/10500,-1,20,2,2000,20,0.953,0,30|0,15,105003|105004,1,19.05,-1,1,0
329,105003,1050,20,10,5,witch/must/10500,-1,20,2,2000,20,0.953,0,30|0,15,105003|105004,1,19.05,-1,1,0
330,105003,1050,20,10,6,witch/must/10500,-1,20,2,2000,20,0.953,0,30|0,15,105003|105004|105006,1,19.05,-1,1,0
331,600101,1,5,12,1,-1,-1,40,1,0,1,0,0,0|1,15,600101.0,1,10,-1,-1,0
332,600102,1,5,12,1,-1,-1,38,1,0,1,0,0,0|1,15,600102.0,1,10,-1,-1,0
333,600103,1,5,12,1,-1,-1,36,1,0,1,0,0,0|1,15,600103.0,1,10,-1,-1,0
334,600104,1,5,12,1,-1,-1,34,1,0,1,0,0,0|1,15,600104.0,1,10,-1,-1,0
335,600105,1,5,12,1,-1,-1,32,1,0,1,0,0,0|1,15,600105.0,1,10,-1,-1,0
336,600201,1,5,12,1,witch/change/01,-1,40,1,0,1,0,0,0|1,15,600201.0,1,10,-1,-1,0
337,600202,1,5,12,1,witch/change/01,-1,38,1,0,1,0,0,0|1,15,600202.0,1,10,-1,-1,0
338,600203,1,5,12,1,witch/change/01,-1,36,1,0,1,0,0,0|1,15,600203.0,1,10,-1,-1,0
339,600204,1,5,12,1,witch/change/01,-1,34,1,0,1,0,0,0|1,15,600204.0,1,10,-1,-1,0
340,600205,1,5,12,1,witch/change/01,-1,32,1,0,1,0,0,0|1,15,600205.0,1,10,-1,-1,0
341,600301,1,5,12,1,witch/change/06,-1,40,1,0,75,0.107,0.0321,2|0,15,-1,1,8,-1,-1,0
342,600302,1,5,12,1,witch/change/06,-1,38,1,0,75,0.113,0.03955,2|0,15,-1,1,8.5,-1,-1,0
343,600303,1,5,12,1,witch/change/06,-1,36,1,0,75,0.12,0.048,2|0,15,-1,1,9,-1,-1,0
344,600304,1,5,12,1,witch/change/06,-1,34,1,0,75,0.127,0.05715,2|0,15,-1,1,9.5,-1,-1,0
345,600305,1,5,12,1,witch/change/06,-1,32,1,0,75,0.133,0.0665,2|0,15,-1,1,10,-1,-1,0
346,600401,1,5,12,1,-1,-1,40,1,0,1,0,0,0|1,15,600401.0,1,10,-1,-1,0
347,600402,1,5,12,1,-1,-1,38,1,0,1,0,0,0|1,15,600402.0,1,10,-1,-1,0
348,600403,1,5,12,1,-1,-1,36,1,0,1,0,0,0|1,15,600403.0,1,10,-1,-1,0
349,600404,1,5,12,1,-1,-1,34,1,0,1,0,0,0|1,15,600404.0,1,10,-1,-1,0
350,600405,1,5,12,1,-1,-1,32,1,0,1,0,0,0|1,15,600405.0,1,10,-1,-1,0
351,600501,1,5,12,1,witch/change/05,-1,40,1,0,1,7,0,0|1,15,600501.0,1,7,-1,-1,0
352,600502,1,5,12,1,witch/change/05,-1,38,1,0,1,8,0,0|1,15,600502.0,1,8,-1,-1,0
353,600503,1,5,12,1,witch/change/05,-1,36,1,0,1,9,0,0|1,15,600503.0,1,9,-1,-1,0
354,600504,1,5,12,1,witch/change/05,-1,34,1,0,1,10,0,0|1,15,600504.0,1,10,-1,-1,0
355,600505,1,5,12,1,witch/change/05,-1,32,1,0,1,11,0,0|1,15,600505.0,1,11,-1,-1,0
356,600601,1,5,12,1,witch/change/02,-1,40,1,0,17,0.529,0,0|1,15,600601.0,1,9,-1,-1,0
357,600602,1,5,12,1,witch/change/02,-1,38,1,0,17,0.559,0,0|1,15,600602.0,1,9.5,-1,-1,0
358,600603,1,5,12,1,witch/change/02,-1,36,1,0,17,0.588,0,0|1,15,600603.0,1,10,-1,-1,0
359,600604,1,5,12,1,witch/change/02,-1,34,1,0,17,0.659,0,0|1,15,600604.0,1,11.2,-1,-1,0
360,600605,1,5,12,1,witch/change/02,-1,32,1,0,17,0.724,0,0|1,15,600605.0,1,12.3,-1,-1,0
361,882301,1,5,12,1,witch/build/882301,-1,0,1,0,1,0,0,0|1,15,882301.0,1,10,-1,-1,0
362,882302,1,5,12,1,witch/build/882301,-1,0,1,0,1,0,0,0|1,15,882302.0,1,10,-1,-1,0
363,882303,1,5,12,1,witch/build/882301,-1,0,1,0,1,0,0,0|1,15,882303.0,1,10,-1,-1,0
364,882304,1,5,12,1,witch/build/882301,-1,0,1,0,1,0,0,0|1,15,882304.0,1,10,-1,-1,0
365,4500390,0,20,10,1,witch/must/1025010601,-1,35,1,50000,23,0,0,8|0,15,4500390.0,1,15,-1,1,0
366,4500391,0,20,10,1,witch/must/1009010300,-1,10,1,0,30,0.8,0,0|1,15,-1,1,24,-1,1,0
367,4500392,0,20,10,1,witch/must/1025010601,-1,35,1,50000,23,0,0,8|0,15,4500690.0,1,1,-1,1,0
368,102601,1026,20,1,1,witch/barrage/102601,-1,0,1,0,4,0.6,0,0|1,3,-1,0,0.6,-1,1,0
369,102602,1026,20,13,1,witch/skill_xuli/1026,-1,10,1,0,14,1.543,0,30|2,15,-1,1,21.6,-1,1,0
370,102603,1026,20,10,1,witch/must/102603,-1,25,1,200000,37,0.912,0,0|1,15,-1,1,33.75,-1,1,0
371,102603,1026,20,10,2,witch/must/102603,-1,25,1,200000,37,0.912,0,0|1,15,-1,1,33.75,-1,1,0
372,102603,1026,20,10,3,witch/must/102603,-1,25,1,200000,37,1.368,0,0|1,15,-1,1,50.625,-1,1,0
373,102603,1026,20,10,4,witch/must/102603,-1,25,1,200000,37,1.368,0,0|1,15,102604.0,1,50.625,-1,1,0
374,102603,1026,20,10,5,witch/must/102603,-1,25,1,200000,37,1.824,0,0|1,15,102604.0,1,67.5,-1,1,0
375,102603,1026,20,10,6,witch/must/102603,-1,25,1,200000,37,1.824,0,0|1,15,102604.0,1,67.5,-1,1,0
