id,中配,日配
1009,event:/GameEffect/WitchSound/1010-skill_play,event:/GameEffect/WitchSound/JP/1010-skill_play_JP
1010,event:/GameEffect/WitchSound/1011-skill_play,event:/GameEffect/WitchSound/JP/1011-skill_play_JP
1011,event:/GameEffect/WitchSound/1012-skill_play,event:/GameEffect/WitchSound/JP/1012-skill_play_JP
1012,event:/GameEffect/WitchSound/1013-skill_play,event:/GameEffect/WitchSound/JP/1013-skill_play_JP
1013,event:/GameEffect/WitchSound/1014-skill_play,event:/GameEffect/WitchSound/JP/1014-skill_play_JP
1014,event:/GameEffect/WitchSound/1015-skill_play,event:/GameEffect/WitchSound/JP/1015-skill_play_JP
1015,event:/GameEffect/WitchSound/1016-skill_play,event:/GameEffect/WitchSound/JP/1016-skill_play_JP
1016,event:/GameEffect/WitchSound/1017-skill_play,event:/GameEffect/WitchSound/JP/1017-skill_play_JP
1017,event:/GameEffect/WitchSound/1018-skill_play,event:/GameEffect/WitchSound/JP/1018-skill_play_JP
1018,event:/GameEffect/WitchSound/1019-skill_play,event:/GameEffect/WitchSound/JP/1019-skill_play_JP
1019,event:/GameEffect/WitchSound/1020-skill_play,event:/GameEffect/WitchSound/JP/1020-skill_play_JP
1020,event:/GameEffect/WitchSound/1021-skill_play,event:/GameEffect/WitchSound/JP/1021-skill_play_JP
1021,event:/GameEffect/WitchSound/1022-skill_play,event:/GameEffect/WitchSound/JP/1022-skill_play_JP
1022,event:/GameEffect/WitchSound/1023-skill_play,event:/GameEffect/WitchSound/JP/1023-skill_play_JP
1023,event:/GameEffect/WitchSound/1024-skill_play,event:/GameEffect/WitchSound/JP/1024-skill_play_JP
1024,event:/GameEffect/WitchSound/1025-skill_play,event:/GameEffect/WitchSound/JP/1025-skill_play_JP
1025,event:/GameEffect/WitchSound/1028-skill_play,event:/GameEffect/WitchSound/JP/1028-skill_play_JP
1026,event:/GameEffect/WitchSound/1030-skill_play,event:/GameEffect/WitchSound/JP/1030-skill_play_JP
1027,event:/GameEffect/WitchSound/1031-skill_play,event:/GameEffect/WitchSound/JP/1031-skill_play_JP
1028,event:/GameEffect/WitchSound/1035-skill_play,event:/GameEffect/WitchSound/JP/1035-skill_play_JP
1029,event:/GameEffect/WitchSound/1036-skill_play,event:/GameEffect/WitchSound/JP/1036-skill_play_JP
1030,event:/GameEffect/WitchSound/1038-skill_play,event:/GameEffect/WitchSound/JP/1038-skill_play_JP
1031,event:/GameEffect/WitchSound/1039-skill_play,event:/GameEffect/WitchSound/JP/1039-skill_play_JP
1032,event:/GameEffect/WitchSound/1042-skill_play,event:/GameEffect/WitchSound/JP/1042-skill_play_JP
1033,event:/GameEffect/WitchSound/1044-skill_play,event:/GameEffect/WitchSound/JP/1044-skill_play_JP
1034,event:/GameEffect/WitchSound/1045-skill_play,event:/GameEffect/WitchSound/JP/1045-skill_play_JP
105001,event:/GameEffect/WitchSound/1050-skill_play,event:/GameEffect/WitchSound/JP/1050-skill_play_JP
1035,event:/GameEffect/WitchSound/1001-fade_play,event:/GameEffect/WitchSound/JP/1001-fade_play_JP
1036,event:/GameEffect/WitchSound/1002-fade_play,event:/GameEffect/WitchSound/JP/1002-fade_play_JP
1037,event:/GameEffect/WitchSound/1003-fade_play,event:/GameEffect/WitchSound/JP/1003-fade_play_JP
1038,event:/GameEffect/WitchSound/1004-fade_play,event:/GameEffect/WitchSound/JP/1004-fade_play_JP
1039,event:/GameEffect/WitchSound/1005-fade_play,event:/GameEffect/WitchSound/JP/1005-fade_play_JP
1040,event:/GameEffect/WitchSound/1006-fade_play,event:/GameEffect/WitchSound/JP/1006-fade_play_JP
1041,event:/GameEffect/WitchSound/1007-fade_play,event:/GameEffect/WitchSound/JP/1007-fade_play_JP
1042,event:/GameEffect/WitchSound/1008-fade_play,event:/GameEffect/WitchSound/JP/1008-fade_play_JP
1043,event:/GameEffect/WitchSound/1009-fade_play,event:/GameEffect/WitchSound/JP/1009-fade_play_JP
1044,event:/GameEffect/WitchSound/1010-fade_play,event:/GameEffect/WitchSound/JP/1010-fade_play_JP
1045,event:/GameEffect/WitchSound/1011-fade_play,event:/GameEffect/WitchSound/JP/1011-fade_play_JP
1046,event:/GameEffect/WitchSound/1012-fade_play,event:/GameEffect/WitchSound/JP/1012-fade_play_JP
1047,event:/GameEffect/WitchSound/1013-fade_play,event:/GameEffect/WitchSound/JP/1013-fade_play_JP
1048,event:/GameEffect/WitchSound/1014-fade_play,event:/GameEffect/WitchSound/JP/1014-fade_play_JP
1049,event:/GameEffect/WitchSound/1015-fade_play,event:/GameEffect/WitchSound/JP/1015-fade_play_JP
1050,event:/GameEffect/WitchSound/1016-fade_play,event:/GameEffect/WitchSound/JP/1016-fade_play_JP
1051,event:/GameEffect/WitchSound/1017-fade_play,event:/GameEffect/WitchSound/JP/1017-fade_play_JP
1052,event:/GameEffect/WitchSound/1018-fade_play,event:/GameEffect/WitchSound/JP/1018-fade_play_JP
1053,event:/GameEffect/WitchSound/1019-fade_play,event:/GameEffect/WitchSound/JP/1019-fade_play_JP
1054,event:/GameEffect/WitchSound/1020-fade_play,event:/GameEffect/WitchSound/JP/1020-fade_play_JP
1055,event:/GameEffect/WitchSound/1021-fade_play,event:/GameEffect/WitchSound/JP/1021-fade_play_JP
1056,event:/GameEffect/WitchSound/1022-fade_play,event:/GameEffect/WitchSound/JP/1022-fade_play_JP
1057,event:/GameEffect/WitchSound/1023-fade_play,event:/GameEffect/WitchSound/JP/1023-fade_play_JP
1058,event:/GameEffect/WitchSound/1024-fade_play,event:/GameEffect/WitchSound/JP/1024-fade_play_JP
1059,event:/GameEffect/WitchSound/1025-fade_play,event:/GameEffect/WitchSound/JP/1025-fade_play_JP
1060,event:/GameEffect/WitchSound/1028-fade_play,event:/GameEffect/WitchSound/JP/1028-fade_play_JP
1061,event:/GameEffect/WitchSound/1030-fade_play,event:/GameEffect/WitchSound/JP/1030-fade_play_JP
1062,event:/GameEffect/WitchSound/1031-fade_play,event:/GameEffect/WitchSound/JP/1031-fade_play_JP
1063,event:/GameEffect/WitchSound/1035-fade_play,event:/GameEffect/WitchSound/JP/1035-fade_play_JP
1064,event:/GameEffect/WitchSound/1036-fade_play,event:/GameEffect/WitchSound/JP/1036-fade_play_JP
1065,event:/GameEffect/WitchSound/1038-fade_play,event:/GameEffect/WitchSound/JP/1038-fade_play_JP
1066,event:/GameEffect/WitchSound/1039-fade_play,event:/GameEffect/WitchSound/JP/1039-fade_play_JP
1067,event:/GameEffect/WitchSound/1042-fade_play,event:/GameEffect/WitchSound/JP/1042-fade_play_JP
1068,event:/GameEffect/WitchSound/1044-fade_play,event:/GameEffect/WitchSound/JP/1044-fade_play_JP
1069,event:/GameEffect/WitchSound/1045-fade_play,event:/GameEffect/WitchSound/JP/1045-fade_play_JP
105002,event:/GameEffect/WitchSound/1050-fade_play,event:/GameEffect/WitchSound/JP/1050-fade_play_JP
1070,event:/GameEffect/WitchSound/1001-hit_play,event:/GameEffect/WitchSound/JP/1001-hit_play_JP
1071,event:/GameEffect/WitchSound/1002-hit_play,event:/GameEffect/WitchSound/JP/1002-hit_play_JP
1072,event:/GameEffect/WitchSound/1003-hit_play,event:/GameEffect/WitchSound/JP/1003-hit_play_JP
1073,event:/GameEffect/WitchSound/1004-hit_play,event:/GameEffect/WitchSound/JP/1004-hit_play_JP
1074,event:/GameEffect/WitchSound/1005-hit_play,event:/GameEffect/WitchSound/JP/1005-hit_play_JP
1075,event:/GameEffect/WitchSound/1006-hit_play,event:/GameEffect/WitchSound/JP/1006-hit_play_JP
1076,event:/GameEffect/WitchSound/1007-hit_play,event:/GameEffect/WitchSound/JP/1007-hit_play_JP
1077,event:/GameEffect/WitchSound/1008-hit_play,event:/GameEffect/WitchSound/JP/1008-hit_play_JP
1078,event:/GameEffect/WitchSound/1009-hit_play,event:/GameEffect/WitchSound/JP/1009-hit_play_JP
1079,event:/GameEffect/WitchSound/1010-hit_play,event:/GameEffect/WitchSound/JP/1010-hit_play_JP
1080,event:/GameEffect/WitchSound/1011-hit_play,event:/GameEffect/WitchSound/JP/1011-hit_play_JP
1081,event:/GameEffect/WitchSound/1012-hit_play,event:/GameEffect/WitchSound/JP/1012-hit_play_JP
1082,event:/GameEffect/WitchSound/1013-hit_play,event:/GameEffect/WitchSound/JP/1013-hit_play_JP
1083,event:/GameEffect/WitchSound/1014-hit_play,event:/GameEffect/WitchSound/JP/1014-hit_play_JP
1084,event:/GameEffect/WitchSound/1015-hit_play,event:/GameEffect/WitchSound/JP/1015-hit_play_JP
1085,event:/GameEffect/WitchSound/1016-hit_play,event:/GameEffect/WitchSound/JP/1016-hit_play_JP
1086,event:/GameEffect/WitchSound/1017-hit_play,event:/GameEffect/WitchSound/JP/1017-hit_play_JP
1087,event:/GameEffect/WitchSound/1018-hit_play,event:/GameEffect/WitchSound/JP/1018-hit_play_JP
1088,event:/GameEffect/WitchSound/1019-hit_play,event:/GameEffect/WitchSound/JP/1019-hit_play_JP
1089,event:/GameEffect/WitchSound/1020-hit_play,event:/GameEffect/WitchSound/JP/1020-hit_play_JP
1090,event:/GameEffect/WitchSound/1021-hit_play,event:/GameEffect/WitchSound/JP/1021-hit_play_JP
1091,event:/GameEffect/WitchSound/1022-hit_play,event:/GameEffect/WitchSound/JP/1022-hit_play_JP
1092,event:/GameEffect/WitchSound/1023-hit_play,event:/GameEffect/WitchSound/JP/1023-hit_play_JP
1093,event:/GameEffect/WitchSound/1024-hit_play,event:/GameEffect/WitchSound/JP/1024-hit_play_JP
1094,event:/GameEffect/WitchSound/1025-hit_play,event:/GameEffect/WitchSound/JP/1025-hit_play_JP
1095,event:/GameEffect/WitchSound/1028-hit_play,event:/GameEffect/WitchSound/JP/1028-hit_play_JP
1096,event:/GameEffect/WitchSound/1030-hit_play,event:/GameEffect/WitchSound/JP/1030-hit_play_JP
1097,event:/GameEffect/WitchSound/1031-hit_play,event:/GameEffect/WitchSound/JP/1031-hit_play_JP
1098,event:/GameEffect/WitchSound/1035-hit_play,event:/GameEffect/WitchSound/JP/1035-hit_play_JP
1099,event:/GameEffect/WitchSound/1036-hit_play,event:/GameEffect/WitchSound/JP/1036-hit_play_JP
1100,event:/GameEffect/WitchSound/1038-hit_play,event:/GameEffect/WitchSound/JP/1038-hit_play_JP
1101,event:/GameEffect/WitchSound/1039-hit_play,event:/GameEffect/WitchSound/JP/1039-hit_play_JP
1102,event:/GameEffect/WitchSound/1042-hit_play,event:/GameEffect/WitchSound/JP/1042-hit_play_JP
1103,event:/GameEffect/WitchSound/1044-hit_play,event:/GameEffect/WitchSound/JP/1044-hit_play_JP
1104,event:/GameEffect/WitchSound/1045-hit_play,event:/GameEffect/WitchSound/JP/1045-hit_play_JP
105003,event:/GameEffect/WitchSound/1050-hit_play,event:/GameEffect/WitchSound/JP/1050-hit_play_JP
1105,event:/GameEffect/WitchSound/1001-dead_play,event:/GameEffect/WitchSound/JP/1001-dead_play_JP
1106,event:/GameEffect/WitchSound/1002-dead_play,event:/GameEffect/WitchSound/JP/1002-dead_play_JP
1107,event:/GameEffect/WitchSound/1003-dead_play,event:/GameEffect/WitchSound/JP/1003-dead_play_JP
1108,event:/GameEffect/WitchSound/1004-dead_play,event:/GameEffect/WitchSound/JP/1004-dead_play_JP
1109,event:/GameEffect/WitchSound/1005-dead_play,event:/GameEffect/WitchSound/JP/1005-dead_play_JP
1110,event:/GameEffect/WitchSound/1006-dead_play,event:/GameEffect/WitchSound/JP/1006-dead_play_JP
1111,event:/GameEffect/WitchSound/1007-dead_play,event:/GameEffect/WitchSound/JP/1007-dead_play_JP
1112,event:/GameEffect/WitchSound/1008-dead_play,event:/GameEffect/WitchSound/JP/1008-dead_play_JP
1113,event:/GameEffect/WitchSound/1009-dead_play,event:/GameEffect/WitchSound/JP/1009-dead_play_JP
1114,event:/GameEffect/WitchSound/1010-dead_play,event:/GameEffect/WitchSound/JP/1010-dead_play_JP
1115,event:/GameEffect/WitchSound/1011-dead_play,event:/GameEffect/WitchSound/JP/1011-dead_play_JP
1116,event:/GameEffect/WitchSound/1012-dead_play,event:/GameEffect/WitchSound/JP/1012-dead_play_JP
1117,event:/GameEffect/WitchSound/1013-dead_play,event:/GameEffect/WitchSound/JP/1013-dead_play_JP
1118,event:/GameEffect/WitchSound/1014-dead_play,event:/GameEffect/WitchSound/JP/1014-dead_play_JP
1119,event:/GameEffect/WitchSound/1015-dead_play,event:/GameEffect/WitchSound/JP/1015-dead_play_JP
1120,event:/GameEffect/WitchSound/1016-dead_play,event:/GameEffect/WitchSound/JP/1016-dead_play_JP
1121,event:/GameEffect/WitchSound/1017-dead_play,event:/GameEffect/WitchSound/JP/1017-dead_play_JP
1122,event:/GameEffect/WitchSound/1018-dead_play,event:/GameEffect/WitchSound/JP/1018-dead_play_JP
1123,event:/GameEffect/WitchSound/1019-dead_play,event:/GameEffect/WitchSound/JP/1019-dead_play_JP
1124,event:/GameEffect/WitchSound/1020-dead_play,event:/GameEffect/WitchSound/JP/1020-dead_play_JP
1125,event:/GameEffect/WitchSound/1021-dead_play,event:/GameEffect/WitchSound/JP/1021-dead_play_JP
1126,event:/GameEffect/WitchSound/1022-dead_play,event:/GameEffect/WitchSound/JP/1022-dead_play_JP
1127,event:/GameEffect/WitchSound/1023-dead_play,event:/GameEffect/WitchSound/JP/1023-dead_play_JP
1128,event:/GameEffect/WitchSound/1024-dead_play,event:/GameEffect/WitchSound/JP/1024-dead_play_JP
1129,event:/GameEffect/WitchSound/1025-dead_play,event:/GameEffect/WitchSound/JP/1025-dead_play_JP
1130,event:/GameEffect/WitchSound/1028-dead_play,event:/GameEffect/WitchSound/JP/1028-dead_play_JP
1131,event:/GameEffect/WitchSound/1030-dead_play,event:/GameEffect/WitchSound/JP/1030-dead_play_JP
1132,event:/GameEffect/WitchSound/1031-dead_play,event:/GameEffect/WitchSound/JP/1031-dead_play_JP
1133,event:/GameEffect/WitchSound/1035-dead_play,event:/GameEffect/WitchSound/JP/1035-dead_play_JP
1134,event:/GameEffect/WitchSound/1036-dead_play,event:/GameEffect/WitchSound/JP/1036-dead_play_JP
1135,event:/GameEffect/WitchSound/1038-dead_play,event:/GameEffect/WitchSound/JP/1038-dead_play_JP
1136,event:/GameEffect/WitchSound/1039-dead_play,event:/GameEffect/WitchSound/JP/1039-dead_play_JP
1137,event:/GameEffect/WitchSound/1042-dead_play,event:/GameEffect/WitchSound/JP/1042-dead_play_JP
1138,event:/GameEffect/WitchSound/1044-dead_play,event:/GameEffect/WitchSound/JP/1044-dead_play_JP
1139,event:/GameEffect/WitchSound/1045-dead_play,event:/GameEffect/WitchSound/JP/1045-dead_play_JP
105004,event:/GameEffect/WitchSound/1050-dead_play,event:/GameEffect/WitchSound/JP/1050-dead_play_JP
1140,event:/GameEffect/WitchSound/1001-GetNewHero,event:/GameEffect/WitchSound/JP/1001-GetNewHero_JP
1141,event:/GameEffect/WitchSound/1002-GetNewHero,event:/GameEffect/WitchSound/JP/1002-GetNewHero_JP
1142,event:/GameEffect/WitchSound/1003-GetNewHero,event:/GameEffect/WitchSound/JP/1003-GetNewHero_JP
1143,event:/GameEffect/WitchSound/1004-GetNewHero,event:/GameEffect/WitchSound/JP/1004-GetNewHero_JP
1144,event:/GameEffect/WitchSound/1005-GetNewHero,event:/GameEffect/WitchSound/JP/1005-GetNewHero_JP
1145,event:/GameEffect/WitchSound/1006-GetNewHero,event:/GameEffect/WitchSound/JP/1006-GetNewHero_JP
1146,event:/GameEffect/WitchSound/1007-GetNewHero,event:/GameEffect/WitchSound/JP/1007-GetNewHero_JP
1147,event:/GameEffect/WitchSound/1008-GetNewHero,event:/GameEffect/WitchSound/JP/1008-GetNewHero_JP
1148,event:/GameEffect/WitchSound/1009-GetNewHero,event:/GameEffect/WitchSound/JP/1009-GetNewHero_JP
1149,event:/GameEffect/WitchSound/1010-GetNewHero,event:/GameEffect/WitchSound/JP/1010-GetNewHero_JP
1150,event:/GameEffect/WitchSound/1011-GetNewHero,event:/GameEffect/WitchSound/JP/1011-GetNewHero_JP
1151,event:/GameEffect/WitchSound/1012-GetNewHero,event:/GameEffect/WitchSound/JP/1012-GetNewHero_JP
1152,event:/GameEffect/WitchSound/1013-GetNewHero,event:/GameEffect/WitchSound/JP/1013-GetNewHero_JP
1153,event:/GameEffect/WitchSound/1014-GetNewHero,event:/GameEffect/WitchSound/JP/1014-GetNewHero_JP
1154,event:/GameEffect/WitchSound/1015-GetNewHero,event:/GameEffect/WitchSound/JP/1015-GetNewHero_JP
1155,event:/GameEffect/WitchSound/1016-GetNewHero,event:/GameEffect/WitchSound/JP/1016-GetNewHero_JP
1156,event:/GameEffect/WitchSound/1017-GetNewHero,event:/GameEffect/WitchSound/JP/1017-GetNewHero_JP
1157,event:/GameEffect/WitchSound/1018-GetNewHero,event:/GameEffect/WitchSound/JP/1018-GetNewHero_JP
1158,event:/GameEffect/WitchSound/1019-GetNewHero,event:/GameEffect/WitchSound/JP/1019-GetNewHero_JP
1159,event:/GameEffect/WitchSound/1020-GetNewHero,event:/GameEffect/WitchSound/JP/1020-GetNewHero_JP
1160,event:/GameEffect/WitchSound/1021-GetNewHero,event:/GameEffect/WitchSound/JP/1021-GetNewHero_JP
1161,event:/GameEffect/WitchSound/1022-GetNewHero,event:/GameEffect/WitchSound/JP/1022-GetNewHero_JP
1162,event:/GameEffect/WitchSound/1023-GetNewHero,event:/GameEffect/WitchSound/JP/1023-GetNewHero_JP
1163,event:/GameEffect/WitchSound/1024-GetNewHero,event:/GameEffect/WitchSound/JP/1024-GetNewHero_JP
1164,event:/GameEffect/WitchSound/1025-GetNewHero,event:/GameEffect/WitchSound/JP/1025-GetNewHero_JP
1165,event:/GameEffect/WitchSound/1028-GetNewHero,event:/GameEffect/WitchSound/JP/1028-GetNewHero_JP
1166,event:/GameEffect/WitchSound/1030-GetNewHero,event:/GameEffect/WitchSound/JP/1030-GetNewHero_JP
1167,event:/GameEffect/WitchSound/1031-GetNewHero,event:/GameEffect/WitchSound/JP/1031-GetNewHero_JP
1168,event:/GameEffect/WitchSound/1035-GetNewHero,event:/GameEffect/WitchSound/JP/1035-GetNewHero_JP
1169,event:/GameEffect/WitchSound/1036-GetNewHero,event:/GameEffect/WitchSound/JP/1036-GetNewHero_JP
1170,event:/GameEffect/WitchSound/1038-GetNewHero,event:/GameEffect/WitchSound/JP/1038-GetNewHero_JP
1171,event:/GameEffect/WitchSound/1039-GetNewHero,event:/GameEffect/WitchSound/JP/1039-GetNewHero_JP
1172,event:/GameEffect/WitchSound/1042-GetNewHero,event:/GameEffect/WitchSound/JP/1042-GetNewHero_JP
1173,event:/GameEffect/WitchSound/1044-GetNewHero,event:/GameEffect/WitchSound/JP/1044-GetNewHero_JP
1174,event:/GameEffect/WitchSound/1045-GetNewHero,event:/GameEffect/WitchSound/JP/1045-GetNewHero_JP
105005,event:/GameEffect/WitchSound/1050-GetNewHero,event:/GameEffect/WitchSound/JP/1050-GetNewHero_JP
1175,event:/FightEffect/witch_skill_barrage-100101-PlaySound,event:/FightEffect/witch_skill_barrage-100101-PlaySound
1176,event:/FightEffect/witch_skill_barrage-100101-PlaySound,event:/FightEffect/witch_skill_barrage-100101-PlaySound
1177,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound
1178,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound
1179,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound
1180,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound
1181,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound
1182,event:/FightEffect/witch_skill_mustXlsx-100103-10-6-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-10-6-PlaySound
1183,event:/FightEffect/witch_skill_barrage-100101-PlaySound,event:/FightEffect/witch_skill_barrage-100101-PlaySound
1184,event:/FightEffect/witch_skill_barrage-100101-PlaySound,event:/FightEffect/witch_skill_barrage-100101-PlaySound
1185,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound
1186,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound
1187,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound
1188,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound
1189,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound
1190,event:/FightEffect/witch_skill_mustXlsx-100103-10-6-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-10-6-PlaySound
1191,event:/FightEffect/witch_skill_barrage-100201-PlaySound,event:/FightEffect/witch_skill_barrage-100201-PlaySound
1192,event:/FightEffect/witch_skill_barrage-100201-PlaySound,event:/FightEffect/witch_skill_barrage-100201-PlaySound
1193,event:/FightEffect/witch_skill_mustXlsx-100203-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100203-PlaySound
1194,event:/FightEffect/witch_skill_mustXlsx-100203-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100203-PlaySound
1195,event:/FightEffect/witch_skill_mustXlsx-100203-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100203-PlaySound
1196,event:/FightEffect/witch_skill_mustXlsx-100203-10-4-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100203-10-4-PlaySound
1197,event:/FightEffect/witch_skill_mustXlsx-100203-10-5-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100203-10-5-PlaySound
1198,event:/FightEffect/witch_skill_mustXlsx-100203-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100203-PlaySound
1199,event:/FightEffect/witch_skill_mustXlsx-100203-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100203-PlaySound
1200,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_barrage-100301-PlaySound
1201,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_barrage-100301-PlaySound
1202,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1203,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1204,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1205,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1206,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1207,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1208,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_barrage-100301-PlaySound
1209,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_barrage-100301-PlaySound
1210,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1211,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1212,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1213,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1214,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1215,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1216,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_barrage-100301-PlaySound
1217,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_barrage-100301-PlaySound
1218,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1219,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1220,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1221,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1222,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1223,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1224,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_barrage-100301-PlaySound
1225,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_barrage-100301-PlaySound
1226,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1227,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1228,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1229,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1230,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1231,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound
1232,event:/FightEffect/witch_skill_barrage-100401-PlaySound,event:/FightEffect/witch_skill_barrage-100401-PlaySound
1233,event:/FightEffect/witch_skill_barrage-100401-PlaySound,event:/FightEffect/witch_skill_barrage-100401-PlaySound
1234,event:/FightEffect/witch_skill_mustXlsx-100403-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100403-PlaySound
1235,event:/FightEffect/witch_skill_mustXlsx-100403-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100403-PlaySound
1236,event:/FightEffect/witch_skill_mustXlsx-100403-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100403-PlaySound
1237,event:/FightEffect/witch_skill_mustXlsx-100403-10-4-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100403-10-4-PlaySound
1238,event:/FightEffect/witch_skill_mustXlsx-100403-10-5-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100403-10-5-PlaySound
1239,event:/FightEffect/witch_skill_mustXlsx-100403-10-6-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100403-10-6-PlaySound
1240,event:/FightEffect/witch_skill_mustXlsx-100404-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100404-PlaySound
1241,event:/FightEffect/witch_skill_barrage-100501-PlaySound,event:/FightEffect/witch_skill_barrage-100501-PlaySound
1242,event:/FightEffect/witch_skill_barrage-100501-PlaySound,event:/FightEffect/witch_skill_barrage-100501-PlaySound
1243,event:/FightEffect/witch_skill_mustXlsx-100503-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100503-PlaySound
