唯一id,关卡id,怪物id,波数,波数批次,第几个,掉落1,掉落2,掉落3,掉落4,掉落5
446,111001,0,9,1,1,20005&10000,-1,-1,-1,-1
447,111002,0,2,4,1,20001&10000,-1,-1,-1,-1
448,111002,0,3,4,1,20002&10000,-1,-1,-1,-1
449,111002,0,6,4,1,20001&10000,-1,-1,-1,-1
450,111003,0,1,4,1,20001&10000,-1,-1,-1,-1
451,111003,0,2,4,1,20002&10000,-1,-1,-1,-1
452,111003,0,5,4,1,20001&10000,-1,-1,-1,-1
453,111003,0,7,1,1,20005&10000,-1,-1,-1,-1
454,111004,0,2,4,1,20001&10000,-1,-1,-1,-1
455,111004,0,3,4,1,20002&10000,-1,-1,-1,-1
456,111004,0,6,4,1,20001&10000,-1,-1,-1,-1
457,111005,0,1,4,1,20001&10000,-1,-1,-1,-1
458,111005,0,2,4,1,20002&10000,-1,-1,-1,-1
459,111005,0,4,4,1,20001&10000,-1,-1,-1,-1
460,111005,0,8,1,1,20005&10000,-1,-1,-1,-1
461,111006,0,2,4,1,20001&10000,-1,-1,-1,-1
462,111006,0,3,4,1,20002&10000,-1,-1,-1,-1
463,111006,0,6,4,1,20001&10000,-1,-1,-1,-1
464,111007,0,1,4,1,20001&10000,-1,-1,-1,-1
465,111007,0,2,4,1,20002&10000,-1,-1,-1,-1
466,111007,0,5,4,1,20001&10000,-1,-1,-1,-1
467,111007,0,7,1,1,20005&10000,-1,-1,-1,-1
468,111008,0,2,2,1,20001&10000,-1,-1,-1,-1
469,111008,0,3,4,1,20002&10000,-1,-1,-1,-1
470,111008,0,6,4,1,20001&10000,-1,-1,-1,-1
471,111101,0,2,4,1,20001&10000,-1,-1,-1,-1
472,111101,0,3,4,1,20002&10000,-1,-1,-1,-1
473,111101,0,6,4,1,20001&10000,-1,-1,-1,-1
474,111101,0,9,1,1,20005&10000,-1,-1,-1,-1
475,111101,0,10,1,1,20005&10000,-1,-1,-1,-1
476,111102,0,2,4,1,20001&10000,-1,-1,-1,-1
477,111102,0,3,4,1,20002&10000,-1,-1,-1,-1
478,111102,0,6,4,1,20001&10000,-1,-1,-1,-1
479,111103,0,1,4,1,20001&10000,-1,-1,-1,-1
480,111103,0,2,4,1,20002&10000,-1,-1,-1,-1
481,111103,0,5,4,1,20001&10000,-1,-1,-1,-1
482,111103,0,8,1,1,20005&10000,-1,-1,-1,-1
483,111104,0,2,4,1,20001&10000,-1,-1,-1,-1
484,111104,0,3,4,1,20002&10000,-1,-1,-1,-1
485,111104,0,6,4,1,20001&10000,-1,-1,-1,-1
486,111105,0,1,4,1,20001&10000,-1,-1,-1,-1
487,111105,0,2,4,1,20002&10000,-1,-1,-1,-1
488,111105,0,5,4,1,20001&10000,-1,-1,-1,-1
489,111105,0,9,1,1,20005&10000,-1,-1,-1,-1
490,111106,0,2,4,1,20001&10000,-1,-1,-1,-1
491,111106,0,3,4,1,20002&10000,-1,-1,-1,-1
492,111106,0,6,4,1,20001&10000,-1,-1,-1,-1
493,111107,0,1,4,1,20001&10000,-1,-1,-1,-1
494,111107,0,2,4,1,20002&10000,-1,-1,-1,-1
495,111107,0,5,4,1,20001&10000,-1,-1,-1,-1
496,111107,0,8,1,1,20005&10000,-1,-1,-1,-1
497,111108,0,2,2,1,20001&10000,-1,-1,-1,-1
498,111108,0,3,4,1,20002&10000,-1,-1,-1,-1
499,111108,0,6,4,1,20001&10000,-1,-1,-1,-1
500,220001,10301002,1,2,0,21002&338|21001&376|20001&299,-1,-1,-1,-1
501,220002,10301002,1,2,0,21002&338|21001&376|20001&299,-1,-1,-1,-1
502,220003,10301002,1,2,0,21002&338|21001&376|20001&299,-1,-1,-1,-1
503,220004,10301002,1,2,0,21002&338|21001&376|20001&299,-1,-1,-1,-1
504,220005,10301002,1,2,0,21002&338|21001&376|20001&299,-1,-1,-1,-1
505,220006,10301002,1,2,0,21002&338|21001&376|20001&299,-1,-1,-1,-1
506,220007,10301002,1,2,0,21002&338|21001&376|20001&299,-1,-1,-1,-1
507,220008,10301002,1,2,0,21002&338|21001&376|20001&299,-1,-1,-1,-1
508,140201,0,2,77,1,20005&10000,-1,-1,-1,-1
509,140201,0,2,111,1,20005&10000,-1,-1,-1,-1
