步骤id,大组id,小组id,下一个大组,引导类型,介绍面板,触发条件,完成条件,所在场景,引导强制圈可去除,引导范围,引导范围偏移,目标界面UID,点击的UI名称,结算界面退出指向,手指偏移位置,UI层级Order,对话文字,对话形象Spine,提交节点,引导掉落,是否触发点击事件,跳转指定魔女,是否允许跳过
29010,2001,10,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/ChapterLayer/container/level_scrollview/viewport/content/item_1,0,-1,3300,10170126,0,0,0,1,0,1
30001,2101,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170127,0,0,0,1,0,1
30002,2101,2,0,1,-1,-1,-1,2,1,160&160,0&-45,0,prefab_canvas(Clone)/_layer/MainLayer/Home_BottomPanel/Home_ButtonFight,0,0&-39,3300,-1,0,0,0,1,0,1
30003,2101,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/info_types/show_type_2,0,-1,3300,10170129,0,0,0,1,0,1
30004,2101,4,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/ScrollView/Viewport/Content/item3,0,-1,3300,10170130,0,0,0,0,0,1
31001,2201,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170131,0,0,0,1,0,1
31002,2201,2,0,1,-1,-1,-1,2,1,160&160,0&-45,0,prefab_canvas(Clone)/_layer/MainLayer/Home_BottomPanel/Home_ButtonFight,0,-1,3300,-1,0,0,0,1,0,1
31003,2201,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/info_types/show_type_2,0,-1,3300,10170133,0,0,0,1,0,1
31005,2201,4,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/ScrollView/Viewport/Content/item4,0,-1,3300,10170134,0,0,0,0,0,1
32001,2301,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170135,0,0,0,1,0,1
32002,2301,2,0,1,-1,-1,-1,2,1,160&160,0&-45,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonFight,0,0&-39,3300,-1,0,0,0,1,0,1
32003,2301,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/obj_tog_bg/show_type_3,0,-1,3300,-1,0,0,0,1,0,1
32004,2301,4,0,1,-1,4&4,-1,2,1,1000&300,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/TableViewController/TableView/Content/cell_1,0,-1,3300,10170138,0,0,0,1,0,1
33001,2401,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,-1,0,0,0,1,0,1
33002,2401,2,0,1,-1,-1,-1,2,1,160&160,0&-45,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonFight,0,0&-39,3300,-1,0,0,0,1,0,1
33003,2401,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/obj_tog_bg/show_type_3,0,-1,3300,-1,0,0,0,1,0,1
33004,2401,4,0,1,-1,5&0.3,-1,2,1,1000&300,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/TableViewController/TableView/Content/cell_2,0,-1,3300,-1,0,0,0,1,0,1
34001,2501,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,-1,0,0,0,1,0,1
34002,2501,2,0,1,-1,-1,-1,2,1,160&160,0&-45,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonFight,0,0&-39,3300,-1,0,0,0,1,0,1
34003,2501,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/obj_tog_bg/show_type_3,0,-1,3300,-1,0,0,0,1,0,1
34004,2501,4,0,1,-1,5&0.4,-1,2,1,1000&300,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/TableViewController/TableView/Content/cell_3,0,-1,3300,-1,0,0,0,1,0,1
34005,2501,5,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BabelLayer/trans_container/truans_level_bg/item_bg/view_port/Content/level_item(Clone)/item_1/img_icon,0,-1,3300,10170144,0,0,0,1,0,1
34006,2501,6,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/EtherLevelLayer/trans_container/btn_scene_info,0,-1,3300,10170145,0,0,0,0,0,1
34007,2501,7,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/EtherLevelLayer/trans_container/trans_TableViewController/TableView/view_port/Content/cell_1/affix_item_bg/item_affix_1/img_bg,0,-1,3300,10170146,0,0,0,0,0,1
34008,2501,8,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/EtherLevelLayer/trans_container/btn_next,0,-1,3300,10170147,0,0,0,1,0,1
34009,2501,9,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/EtherLevelLayer/trans_container/hero_select_bg/rect_hero_select/info_self/heroitem_1,0,-1,3300,-1,0,0,0,1,0,1
34010,2501,10,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/EtherHeroSelectLayer/trans_container/bottom_bg/trans_criteria_2,0,-1,3300,10170149,0,0,0,0,0,1
34011,2501,11,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/EtherHeroSelectLayer/trans_container/trans_TableViewController/TableView/Content/cell_1/hero_item_1,0,0&-200,3300,-1,0,0,0,1,0,1
34012,2501,12,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/EtherHeroSelectLayer/trans_container/trans_TableViewController/TableView/Content/cell_1/hero_item_2,0,0&-200,3300,-1,0,0,0,1,0,1
34013,2501,13,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/EtherHeroSelectLayer/trans_container/bottom_bg/btn_ok,0,-1,3300,-1,0,0,0,1,0,1
34014,2501,14,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/EtherLevelLayer/trans_container/btn_details,0,-1,3300,10170153,0,0,0,0,0,1
35001,2601,1,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/DailyLevelFightLayer/info_suggest/img_atk_type1/btn_click,0,-1,3300,10170154,0,0,0,0,0,1
36001,2701,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170155,0,0,0,1,0,1
36002,2701,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonBuild,0,-1,3300,10170156,0,0,0,1,0,1
37001,2801,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/_component/RankSettleLayer/button_back,0,0&-500,3300,10170159,0,0,0,1,0,1
37002,2801,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/RankMainLayer/container/RankLayer/txt_score,0,300&-50,3300,10170160,0,0,0,0,0,1
37003,2801,3,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/RankMainLayer/container/RankLayer/button_season,0,-1,3300,10170161,0,0,0,1,0,1
38001,2901,1,0,3,tutorial_dir/source/Img_XinShouYingDao_ShiJieBoss,-1,-1,1,1,-1,-1,0,-1,0,-1,3300,-1,0,0,0,1,0,1
38006,2906,1,0,3,tutorial_dir/source/Img_XinShouYingDao_ShiJieBoss,-1,-1,1,1,-1,-1,0,-1,0,-1,3300,-1,0,0,0,1,0,1
39001,3001,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170167,0,0,0,1,0,1
39002,3001,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonBuild,0,-1,3300,10170168,0,0,0,1,0,1
39003,3001,3,0,1,-1,-1,-1,2,-1,-1,-1,0,prefab_canvas(Clone)/_layer/BuildMainLayer/container/build_item_bg/1/item/trans_img,0,-1,3300,-1,0,0,0,1,0,1
39004,3001,4,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BuildDotLayer/trans_container/trans_hero_item/trans_hero_item1/img_bg,0,-120&0,3300,10170199,0,0,0,1,0,1
39005,3001,5,0,1,-1,-1,-1,2,-1,-1,-1,0,prefab_canvas(Clone)/_layer/WitchSelectLayer/trans_container/TableViewController/TableView/Content/cell_1/hero_item_1/hero,0,-1,3300,10170200,0,0,0,1,0,1
39006,3001,6,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/WitchSelectLayer/trans_container/btn_send,0,-1,3300,-1,0,0,0,1,0,1
39007,3001,7,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BuildDotLayer/trans_container/trans_hero_item/trans_hero_item1/img_bg,0,-1,3300,10170201,0,0,0,0,0,1
39008,3001,8,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BuildDotLayer/trans_container/trans_point_bg/img_point_icon,0,-1,3300,10170202,0,0,0,1,0,1
39009,3001,9,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BuildDotLayer/trans_container/trans_build_dot/btn_add,0,-1,3300,10170203,0,0,0,1,0,1
39010,3001,10,0,1,-1,4&4,-1,2,-1,-1,-1,0,prefab_canvas(Clone)/_layer/BuildDotLayer/trans_container/trans_dot_info/cur_lv_des_bg,0,-1,3300,-1,0,0,0,1,0,1
300201,3002,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170169,0,0,0,1,0,1
300202,3002,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonBuild,0,-1,3300,10170170,0,0,0,1,0,1
300203,3002,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BuildMainLayer/container/build_item_bg/1/item/trans_img,0,-1,3300,-1,0,0,0,1,0,1
300204,3002,4,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BuildDotLayer/trans_container/trans_dot_info/btn_lv_up,0,-1,3300,-1,0,0,0,1,0,1
300205,3002,5,0,1,-1,-1,-1,2,-1,-1,-1,0,prefab_canvas(Clone)/_layer/BuildLvUpLayer/trans_container/trans_expend/btn_lv_up,0,-1,3300,-1,0,0,0,1,0,1
40001,4001,1,0,1,-1,5&0.4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/CGetTipsLayer/button_back,0,-1,3300,-1,0,0,0,1,0,1
40002,4001,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/MidNightMainLayer/container/btn_shop,0,-1,3300,-1,0,0,0,1,0,1
41001,4101,1,0,1,-1,-1,-1,2,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,-1,0,0,0,1,0,1
41002,4101,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonFortress,0,-1,3300,-1,0,0,0,1,0,1
41003,4101,3,0,1,-1,5&0.4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/ConcertBookLayer/node_hallMain/obj_empty/uibtn_gotoSelect,0,-1,3300,-1,0,0,0,1,0,1
41004,4101,4,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/ConcertBookLayer/node_book_container/bottom/obj_info_hero,0,-1,3300,10170179,0,0,0,1,0,1
41005,4101,5,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/ConcertBookLayer/node_book_container/bottom/obj_info_drop,0,-1,3300,10170180,0,0,0,1,0,1
41006,4101,6,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/ConcertBookLayer/node_book_container/bottom/uibtn_fight,0,-1,3300,-1,0,0,0,1,0,1
102201,1022,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,-1,0,1,0,1,0,0
102202,1022,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonWitch,0,-1,3300,10170009,0,0,0,1,1003,0
102203,1022,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/MainWitchLayer/container/info_level/button_lv,0,-1,3300,-1,0,0,0,1,0,0
102204,1022,4,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/_component/WitchNewLvUpLayer/container/info_item/item_1,0,-1,3300,10170011,0,0,0,1,0,0
102205,1022,5,0,1,-1,3&1306,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/_component/WitchNewLvUpLayer/button_back,0,0&-300,3300,10170012,0,1,0,1,0,0
102206,1022,6,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BackLayer/button_back,0,0&67,3300,-1,0,0,0,1,0,0
102301,1023,1,1024,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,-1,0,1,0,1,0,0
102401,1024,1,1025,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Obj_Buttons_1/Viewport/Content/Home_ButtonTask,0,-1,3300,10170189,0,0,0,1,1003,0
102402,1024,2,1025,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/TaskLayer/obj_tog_bg/show_type_3,0,-1,3300,-1,0,0,0,1,0,0
102403,1024,3,1025,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/TaskLayer/button_all,0,-1,3300,10170190,0,0,0,1,0,0
102404,1024,4,1025,1,-1,3&2406,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/CGetTipsLayer/button_back,0,0&-400,3300,-1,0,1,0,1,0,0
102405,1024,5,1025,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BackLayer/button_back,0,0&67,3300,-1,0,0,0,1,0,0
102501,1025,1,0,1,-1,5&0.4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonExplore,1,-1,3300,-1,0,0,0,1,0,0
102502,1025,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/LotteryLayer/content/lottery_new/button_click,1,-1,3300,-1,0,1,0,1,0,0
800101,8001,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_next,3,-1,3300,-1,0,0,0,1,0,0
800102,8001,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/LevelLayer/button_fight,0,-1,3300,-1,0,0,0,1,0,0
800201,8002,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_next,3,-1,3300,-1,0,0,0,1,0,0
800202,8002,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/LevelLayer/button_fight,0,-1,3300,-1,0,0,0,1,0,0
800301,8003,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,-1,0,1,0,1,0,0
800302,8003,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Obj_Buttons_1/Viewport/Content/Home_ButtonTask,0,-1,3300,-1,0,0,0,1,0,0
800303,8003,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/TaskLayer/obj_tog_bg/show_type_3,0,-1,3300,-1,0,0,0,1,0,0
800304,8003,4,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/TaskLayer/button_all,0,-1,3300,-1,0,0,0,1,0,0
800305,8003,5,0,1,-1,3&2406,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/CGetTipsLayer/button_back,0,0&-400,3300,-1,0,0,0,1,0,0
800306,8003,6,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BackLayer/button_back,0,0&67,3300,-1,0,0,0,1,0,0
800307,8003,7,0,1,-1,5&0.2,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonWitch,0,-1,3300,-1,0,0,0,1,1001,0
800308,8003,8,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/MainWitchLayer/container/main_buttons/button_skin,0,-1,3300,-1,0,0,0,1,0,0
800309,8003,9,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/WitchSkinLayer/parent/buttom_ui/skin/MGroup/2/img_icon,0,-1,3300,-1,0,0,0,1,0,0
800310,8003,10,0,1,-1,5&0.2,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/WitchSkinLayer/parent/corss_btn,0,-1,3300,-1,0,0,0,1,0,0
800401,8004,1,0,1,-1,-1,-1,2,1,-1,-1,0,-1,0,-1,3300,-1,0,1,0,1,0,0
