对话ID,回看头像id,名称,表情设置,字出现速度
32540,2000,安利丝,-1,0.01
32550,10010001,安娜,5,0.01
32560,2000004,小女孩,-1,0.01
32570,-1,-1,-1,0.01
32580,10010001,安娜,5,0.01
32590,10102020,恶魔,-1,0.01
32620,10010001,安娜,5,0.01
32630,10102020,恶魔,-1,0.01
32640,10010001,安娜,5,0.01
32650,10102020,恶魔,-1,0.01
32660,2000,安利丝,-1,0.01
32670,10010001,安娜,5,0.01
32680,2000,安利丝,-1,0.01
32690,10102020,恶魔,-1,0.01
32700,2000,安利丝,-1,0.01
32710,2000,安利丝,-1,0.01
32720,10010001,安娜,5,0.01
32730,10102020,恶魔,-1,0.01
32740,10010001,安娜,5,0.01
32750,10102020,恶魔,-1,0.01
32760,10010001,安娜,5,0.01
32770,10102020,恶魔,-1,0.01
32780,10010001,安娜,5,0.01
32790,10102020,恶魔,-1,0.01
32800,10010001,安娜,6,0.01
32810,10102020,恶魔,-1,0.01
32820,10010001,安娜,6,0.01
32830,10102020,恶魔,-1,0.01
32840,2000,安利丝,-1,0.01
32850,10102020,恶魔,-1,0.01
32860,10010001,安娜,8,0.01
32870,10040001,莎莉丝特,5,0.01
32880,1000,我,-1,0.01
32890,-1,-1,-1,0.01
32900,10102020,恶魔,-1,0.01
32910,10010001,安娜,8,0.01
32920,10102020,恶魔,-1,0.01
32930,10010001,安娜,5,0.01
32940,10010001,安娜,5,0.01
32950,10102020,恶魔,-1,0.01
32960,10010001,安娜,8,0.01
32970,10030001,希贝尔,4,0.01
32980,10102020,恶魔,-1,0.01
32990,10102020,恶魔,-1,0.01
33000,10040001,莎莉丝特,5,0.01
33010,10102020,邪术师·提比略,-1,0.01
33020,10102020,邪术师·提比略,-1,0.01
33030,10102020,邪术师·提比略,-1,0.01
33040,10102020,邪术师·提比略,-1,0.01
33050,10040001,莎莉丝特,5,0.01
33060,10010001,安娜,5,0.01
33070,10102020,邪术师·提比略,-1,0.01
33080,10040001,莎莉丝特,-1,0.01
33090,10060001,塞布丽娜,2,0.01
33100,10010001,安娜,5,0.01
33110,10102020,邪术师·提比略,-1,0.01
33120,10102020,邪术师·提比略,-1,0.01
33130,10030001,希贝尔,5,0.01
33140,10102020,邪术师·提比略,-1,0.01
33150,10030001,希贝尔,5,0.01
33160,10102020,邪术师·提比略,-1,0.01
33170,1000,我,-1,0.01
33180,10102020,邪术师·提比略,-1,0.01
33190,10010001,安娜,6,0.01
33200,10102020,邪术师·提比略,-1,0.01
33210,1000,我,-1,0.01
33220,-1,-1,-1,0.01
33230,10102020,邪术师·提比略,-1,0.01
33240,1000,我,-1,0.01
33250,10102020,邪术师·提比略,-1,0.01
33260,10102020,邪术师·提比略,-1,0.01
33280,1000,我,-1,0.01
33290,1000,我,-1,0.01
33300,1000,我,-1,0.01
33310,1000,我,-1,0.01
33320,10102020,邪术师·提比略,-1,0.01
33330,10050001,嘉萝琳,5,0.01
33340,10102020,邪术师·提比略,-1,0.01
33350,10040001,莎莉丝特,5,0.01
33360,10102020,邪术师·提比略,-1,0.01
33370,10102020,邪术师·提比略,-1,0.01
33380,10010001,安娜,14,0.01
33390,1000,我,-1,0.01
33400,10102020,邪术师·提比略,-1,0.01
33410,1000,我,-1,0.01
33420,10102020,邪术师·提比略,-1,0.01
33430,-1,-1,-1,0.01
33440,10102020,邪术师·提比略,-1,0.01
33450,-1,-1,-1,0.01
33460,10050001,嘉萝琳,4,0.01
33470,10040001,莎莉丝特,5,0.01
33480,10050001,嘉萝琳,3,0.01
33490,10040001,莎莉丝特,4,0.01
33500,10050001,嘉萝琳,3,0.01
33510,10010001,安娜,5,0.01
33520,10050001,嘉萝琳,-1,0.01
33530,10010001,安娜,5,0.01
33540,10050001,嘉萝琳,4,0.01
33550,10010001,安娜,3,0.01
33560,10050001,嘉萝琳,-1,0.01
33570,10050001,嘉萝琳,4,0.01
33580,1000,我,-1,0.01
33590,-1,-1,-1,0.01
33600,1000,我,-1,0.01
33610,1000,我,-1,0.01
33620,1000,我,-1,0.01
33630,-1,-1,-1,0.01
33640,1000,我,-1,0.01
33650,1000,我,-1,0.01
33660,10060001,塞布丽娜,-1,0.01
33670,10060001,塞布丽娜,-1,0.01
33680,-1,-1,-1,0.01
33690,-1,-1,-1,0.01
33700,1000,我,-1,0.01
33710,10030001,希贝尔,-1,0.01
33720,1000,我,-1,0.01
33730,-1,-1,-1,0.01
33740,2000004,安迪,-1,0.01
33741,-1,-1,-1,0.01
33750,1000,我,-1,0.01
33760,2000004,安迪,-1,0.01
33770,1000,我,-1,0.01
33780,-1,-1,-1,0.01
33790,2000004,回忆·安迪,-1,0.01
33800,2000004,回忆·安迪,-1,0.01
33810,-1,-1,-1,0.01
33820,-1,-1,-1,0.01
33830,-1,-1,-1,0.01
33840,10150001,白衣少女,3,0.01
33850,10010001,安娜,6,0.01
33860,10150001,白衣少女,3,0.01
33870,10010001,安娜,3,0.01
33880,10150001,白衣少女,3,0.01
33890,10040001,莎莉丝特,-1,0.01
33910,10150001,黛西,3,0.01
33920,10150001,黛西,3,0.01
33930,10040001,莎莉丝特,-1,0.01
33940,10030001,希贝尔,6,0.01
33950,10040001,莎莉丝特,7,0.01
33960,10040001,莎莉丝特,3,0.01
33970,10050001,嘉萝琳,3,0.01
33980,10060001,塞布丽娜,3,0.01
33990,10150001,黛西,3,0.01
34000,10150001,黛西,4,0.01
34010,10150001,黛西,3,0.01
34020,10150001,黛西,4,0.01
34030,10150001,黛西,4,0.01
34060,10150001,黛西,4,0.01
34070,10040001,莎莉丝特,3,0.01
34090,10050001,嘉萝琳,-1,0.01
34100,10150001,黛西,3,0.01
34110,10150001,黛西,3,0.01
34120,10040001,莎莉丝特,3,0.01
34130,10050001,嘉萝琳,4,0.01
34140,1000,我,-1,0.01
34150,10150001,黛西,3,0.01
34160,10150001,黛西,4,0.01
34170,10040001,莎莉丝特,4,0.01
34180,-1,-1,-1,0.01
34190,1000,我,-1,0.01
34200,-1,-1,-1,0.01
34210,-1,-1,-1,0.01
34230,1000,我,-1,0.01
34240,-1,-1,-1,0.01
34260,-1,-1,-1,0.01
34280,10010001,安娜,3,0.01
34310,1000,我,-1,0.01
34330,10010001,安娜,3,0.01
34340,1000,我,-1,0.01
34360,1000,我,-1,0.01
34380,10010001,安娜,3,0.01
34390,10010001,安娜,3,0.01
34410,-1,-1,-1,0.01
34420,1000,我,-1,0.01
34430,-1,-1,-1,0.01
34440,1000,我,-1,0.01
34450,1000,我,-1,0.01
34470,10010001,安娜,3,0.01
34480,1000,我,-1,0.01
34490,10010001,安娜,3,0.01
34500,10030001,希贝尔,2,0.01
34510,10010001,安娜,3,0.01
34520,10040001,莎莉丝特,-1,0.01
34530,10040001,莎莉丝特,-1,0.01
34540,10040001,莎莉丝特,-1,0.01
34550,1000,我,-1,0.01
34570,10040001,莎莉丝特,-1,0.01
34580,1000,我,-1,0.01
34590,10040001,莎莉丝特,-1,0.01
34610,1000,我,-1,0.01
34620,10010001,安娜,1,0.01
34630,10060001,塞布丽娜,-1,0.01
34640,10010001,安娜,1,0.01
34650,10060001,塞布丽娜,-1,0.01
34660,10010001,安娜,1,0.01
34670,10010001,安娜,1,0.01
34680,10010001,安娜,1,0.01
34690,-1,-1,-1,0.01
34691,10060001,塞布丽娜,-1,0.01
34692,-1,-1,-1,0.01
34693,10060001,塞布丽娜,1,0.01
34694,10040001,莎莉丝特,7,0.01
34695,1000,我,-1,0.01
34696,-1,-1,-1,0.01
34700,1000,我,-1,0.01
34710,10030001,希贝尔,2,0.01
34720,10030001,希贝尔,1,0.01
34730,-1,-1,-1,0.01
34750,-1,-1,-1,0.01
34770,-1,-1,-1,0.01
34790,-1,-1,-1,0.01
34810,-1,-1,-1,0.01
34830,10050001,嘉萝琳,3,0.01
34840,10040001,莎莉丝特,4,0.01
34850,10050001,嘉萝琳,3,0.01
34860,10050001,嘉萝琳,3,0.01
34870,10040001,莎莉丝特,4,0.01
34880,10050001,嘉萝琳,3,0.01
34890,10040001,莎莉丝特,4,0.01
34900,10050001,嘉萝琳,3,0.01
34910,1000,我,-1,0.01
34920,10040001,莎莉丝特,4,0.01
34930,1000,我,-1,0.01
34950,-1,-1,-1,0.01
34951,10030001,希贝尔,5,0.01
34960,10030001,希贝尔,4,0.01
34990,10040001,莎莉丝特,4,0.01
35010,10030001,希贝尔,6,0.01
35020,10040001,莎莉丝特,4,0.01
35050,1000,我,-1,0.01
35060,10060001,塞布丽娜,3,0.01
35061,10040001,莎莉丝特,4,0.01
35070,10050001,嘉萝琳,4,0.01
35080,-1,-1,-1,0.01
35090,-1,-1,-1,0.01
35100,-1,-1,-1,0.01
35110,-1,-1,-1,0.01
35130,-1,-1,-1,0.01
35140,10030001,希贝尔,4,0.01
35150,-1,-1,-1,0.01
35160,10040001,莎莉丝特,-1,0.01
35170,10030001,希贝尔,2,0.01
35180,10040001,莎莉丝特,7,0.01
35190,10030001,希贝尔,2,0.01
35210,10040001,莎莉丝特,-1,0.01
35220,-1,-1,-1,0.01
35230,10040001,莎莉丝特,-1,0.01
35240,10040001,莎莉丝特,7,0.01
35260,1000,我,-1,0.01
35280,1000,我,-1,0.01
35290,10040001,莎莉丝特,7,0.01
35300,10040001,莎莉丝特,7,0.01
35310,10040001,莎莉丝特,7,0.01
35320,10040001,莎莉丝特,7,0.01
35360,10030001,希贝尔,6,0.01
35370,10040001,莎莉丝特,7,0.01
35390,10030001,希贝尔,6,0.01
35400,10040001,莎莉丝特,7,0.01
35410,10040001,莎莉丝特,7,0.01
35420,10040001,莎莉丝特,7,0.01
35450,10030001,希贝尔,-1,0.01
35460,10040001,莎莉丝特,7,0.01
35470,10030001,希贝尔,6,0.01
35480,10040001,莎莉丝特,7,0.01
35490,10040001,莎莉丝特,7,0.01
35500,10030001,希贝尔,1,0.01
35510,10040001,莎莉丝特,7,0.01
35530,10030001,希贝尔,-1,0.01
35540,10040001,莎莉丝特,7,0.01
35560,10030001,希贝尔,6,0.01
35570,10040001,莎莉丝特,7,0.01
35590,10040001,莎莉丝特,7,0.01
35600,10030001,希贝尔,1,0.01
35620,10030001,希贝尔,1,0.01
35640,10040001,莎莉丝特,7,0.01
35650,10030001,希贝尔,1,0.01
35660,10040001,莎莉丝特,7,0.01
35670,10040001,莎莉丝特,7,0.01
35680,10040001,莎莉丝特,7,0.01
35710,10040001,莎莉丝特,7,0.01
35720,10030001,希贝尔,6,0.01
35740,10040001,莎莉丝特,7,0.01
35760,10040001,莎莉丝特,7,0.01
35770,10030001,希贝尔,1,0.01
35790,10030001,希贝尔,2,0.01
35800,1000,我,-1,0.01
35810,-1,-1,-1,0.01
35820,1000,我,-1,0.01
35830,10030001,希贝尔,6,0.01
35840,1000,我,-1,0.01
35850,10030001,希贝尔,6,0.01
35860,-1,-1,-1,0.01
35861,10030001,希贝尔,5,0.01
35870,1000,我,-1,0.01
35880,-1,-1,-1,0.01
36050,-1,-1,-1,0.01
36060,-1,-1,-1,0.01
36070,-1,-1,-1,0.01
36080,1000,我,-1,0.01
36081,-1,-1,-1,0.01
36090,-1,-1,-1,0.01
36100,10030001,希贝尔,5,0.01
36110,-1,-1,-1,0.01
36130,-1,-1,-1,0.01
36140,10030001,希贝尔,5,0.01
36150,-1,-1,-1,0.01
36160,10010001,安娜,7,0.01
36170,10030001,希贝尔,-1,0.01
36180,10010001,安娜,14,0.01
36190,10010001,安娜,14,0.01
36200,10030001,希贝尔,4,0.01
36210,2000,安利丝,-1,0.01
36220,10010001,安娜,14,0.01
36230,2000,安利丝,-1,0.01
36240,-1,-1,-1,0.01
36250,1000,我,-1,0.01
36260,-1,-1,-1,0.01
36270,-1,-1,-1,0.01
36290,10030001,希贝尔,1,0.01
36300,10030001,希贝尔,1,0.01
36320,10040001,莎莉丝特,7,0.01
36330,-1,-1,-1,0.01
36350,-1,-1,-1,0.01
36360,-1,-1,-1,0.01
36370,1000,我,-1,0.01
36380,10030001,希贝尔,-1,0.01
36390,1000,我,-1,0.01
36400,10030001,希贝尔,2,0.01
36410,10030001,希贝尔,2,0.01
36420,1000,我,-1,0.01
36430,1000,我,-1,0.01
36440,10030001,希贝尔,2,0.01
36450,1000,我,-1,0.01
36460,-1,-1,-1,0.01
36470,1000,我,-1,0.01
36480,1000,我,-1,0.01
36490,10060001,塞布丽娜,3,0.01
36500,1000,我,-1,0.01
36510,1000,我,-1,0.01
36520,-1,-1,-1,0.01
36530,10060001,塞布丽娜,-1,0.01
36540,-1,-1,-1,0.01
36541,-1,-1,-1,0.01
36550,-1,-1,-1,0.01
36551,-1,-1,-1,0.01
36560,10030001,希贝尔,1,0.01
36570,1000,我,-1,0.01
36580,10030001,希贝尔,1,0.01
36590,10440001,雅努西娅,-1,0.01
36600,-1,-1,-1,0.01
36610,10440001,雅努西娅,-1,0.01
36620,1000,我,-1,0.01
36630,10030001,希贝尔,2,0.01
36650,10030001,希贝尔,2,0.01
36660,10030001,希贝尔,2,0.01
36670,-1,-1,-1,0.01
36680,1000,我,-1,0.01
36690,-1,-1,-1,0.01
36700,1000,我,-1,0.01
36710,-1,-1,-1,0.01
36720,10440001,雅努西娅,-1,0.01
36730,-1,-1,-1,0.01
36740,1000,我,-1,0.01
36750,10010001,安娜,6,0.01
36760,10010001,安娜,6,0.01
36770,1000,我,-1,0.01
36780,10030001,希贝尔,2,0.01
36790,10030001,希贝尔,2,0.01
36800,10440001,雅努西娅,-1,0.01
36810,10440001,雅努西娅,-1,0.01
36811,-1,-1,-1,0.01
36820,1000,我,-1,0.01
36821,-1,-1,-1,0.01
36830,10040001,莎莉丝特,4,0.01
36850,1000,我,-1,0.01
36870,10440001,雅努西娅,-1,0.01
36880,-1,-1,-1,0.01
36890,-1,-1,-1,0.01
36900,-1,-1,-1,0.01
36910,-1,-1,-1,0.01
36911,-1,-1,-1,0.01
36912,-1,-1,-1,0.01
36913,-1,-1,-1,0.01
36920,10030001,希贝尔,6,0.01
36930,10040001,莎莉丝特,3,0.01
36940,10030001,希贝尔,6,0.01
36960,10040001,莎莉丝特,-1,0.01
36970,1000,我,-1,0.01
36980,10040001,莎莉丝特,-1,0.01
36990,1000,我,-1,0.01
37000,10040001,莎莉丝特,-1,0.01
37010,1000,我,-1,0.01
37020,-1,-1,-1,0.01
37030,10040001,莎莉丝特,3,0.01
37040,10030001,希贝尔,4,0.01
37050,10040001,莎莉丝特,3,0.01
37060,10040001,莎莉丝特,3,0.01
37070,10050001,嘉萝琳,-1,0.01
37080,10040001,莎莉丝特,-1,0.01
37100,10050001,嘉萝琳,-1,0.01
37120,10040001,莎莉丝特,-1,0.01
37130,10050001,嘉萝琳,-1,0.01
37160,10050001,嘉萝琳,-1,0.01
37170,10050001,嘉萝琳,-1,0.01
37190,10050001,嘉萝琳,-1,0.01
37200,10030001,希贝尔,4,0.01
37210,-1,-1,-1,0.01
37220,1000,我,-1,0.01
37230,-1,-1,-1,0.01
37240,1000,我,-1,0.01
37250,10030001,希贝尔,-1,0.01
37260,10050001,嘉萝琳,-1,0.01
37270,10030001,希贝尔,6,0.01
37280,-1,-1,-1,0.01
37290,10050001,嘉萝琳,-1,0.01
37300,10030001,希贝尔,1,0.01
37310,10030001,希贝尔,1,0.01
37320,10050001,嘉萝琳,-1,0.01
37330,10050001,嘉萝琳,-1,0.01
37340,-1,-1,-1,0.01
37350,-1,-1,-1,0.01
37360,10440001,雅努西娅,-1,0.01
37370,-1,-1,-1,0.01
37380,-1,-1,-1,0.01
37390,1000,我,-1,0.01
37400,10440001,雅努西娅,-1,0.01
37410,-1,-1,-1,0.01
37420,-1,-1,-1,0.01
37430,-1,-1,-1,0.01
37440,-1,-1,-1,0.01
37450,10010001,安娜,-1,0.01
37460,10010001,安娜,1,0.01
37470,10030001,希贝尔,1,0.01
37480,10010001,安娜,1,0.01
37490,2000,安利丝,-1,0.01
37491,2000,安利丝,-1,0.01
37500,10010001,安娜,8,0.01
37510,10010001,安娜,8,0.01
37520,2000,安利丝,-1,0.01
37530,10010001,安娜,7,0.01
37540,2000,安利丝,-1,0.01
37550,10040001,莎莉丝特,3,0.01
37560,-1,-1,-1,0.01
37561,-1,-1,-1,0.01
37570,10050001,嘉萝琳,3,0.01
37580,10010001,安娜,6,0.01
37590,-1,-1,-1,0.01
37600,10060001,塞布丽娜,2,0.01
37610,10060001,塞布丽娜,2,0.01
37620,-1,-1,-1,0.01
37630,-1,-1,-1,0.01
37640,10030001,希贝尔,6,0.01
37650,10030001,希贝尔,2,0.01
37660,-1,-1,-1,0.01
37670,10040001,莎莉丝特,3,0.01
37680,1000,我,-1,0.01
37690,1000,我,-1,0.01
37700,10040001,莎莉丝特,3,0.01
37710,1000,我,-1,0.01
37720,10040001,莎莉丝特,3,0.01
37730,10010001,安娜,6,0.01
37740,10010001,安娜,6,0.01
37750,10030001,希贝尔,2,0.01
37760,-1,-1,-1,0.01
37770,10010001,安娜,6,0.01
37780,10040001,莎莉丝特,3,0.01
37790,10030001,希贝尔,2,0.01
37800,10040001,莎莉丝特,3,0.01
37810,10040001,莎莉丝特,3,0.01
37820,-1,-1,-1,0.01
37830,10030001,希贝尔,6,0.01
37840,10030001,希贝尔,6,0.01
37850,10050001,嘉萝琳,-1,0.01
37860,10050001,嘉萝琳,-1,0.01
37870,1000,我,-1,0.01
37880,10050001,嘉萝琳,-1,0.01
37890,10050001,嘉萝琳,-1,0.01
37900,10030001,希贝尔,6,0.01
37910,10050001,嘉萝琳,-1,0.01
37920,10050001,嘉萝琳,-1,0.01
37980,10050001,嘉萝琳,-1,0.01
37990,10050001,嘉萝琳,3,0.01
38000,10030001,希贝尔,2,0.01
38010,10050001,嘉萝琳,3,0.01
38020,-1,-1,-1,0.01
38030,10040001,莎莉丝特,3,0.01
38040,10040001,莎莉丝特,3,0.01
38050,1000,我,-1,0.01
38060,1000,我,-1,0.01
38070,1000,我,-1,0.01
38080,1000,我,-1,0.01
38090,1000,我,-1,0.01
38100,10030001,希贝尔,4,0.01
38110,10050001,嘉萝琳,-1,0.01
38120,10060001,塞布丽娜,2,0.01
38130,10060001,塞布丽娜,4,0.01
38140,1000,我,-1,0.01
38150,1000,我,-1,0.01
38170,10060001,塞布丽娜,4,0.01
38180,1000,我,-1,0.01
38190,10050001,嘉萝琳,-1,0.01
38200,10050001,嘉萝琳,-1,0.01
38210,-1,-1,-1,0.01
38220,-1,-1,-1,0.01
38230,-1,-1,-1,0.01
38240,1000,-1,-1,0.01
38250,1000,-1,-1,0.01
38260,1000,-1,-1,0.01
38270,1000,-1,-1,0.01
38280,10060001,塞布丽娜,3,0.01
38290,10050001,嘉萝琳,5,0.01
38300,10060001,塞布丽娜,3,0.01
38310,10050001,嘉萝琳,4,0.01
38320,1000,我,-1,0.01
38330,-1,-1,-1,0.01
38340,-1,-1,-1,0.01
38350,-1,-1,-1,0.01
38360,-1,-1,-1,0.01
38380,10010001,安娜,6,0.01
38390,2000,安利丝,-1,0.01
38400,10030001,希贝尔,-1,0.01
38410,10010001,安娜,14,0.01
38420,10030001,希贝尔,4,0.01
38430,-1,-1,-1,0.01
38440,-1,-1,-1,0.01
38450,-1,-1,-1,0.01
38460,1000,我,-1,0.01
38470,10010001,安娜,6,0.01
38480,1000,我,-1,0.01
38490,10010001,安娜,6,0.01
38500,1000,我,-1,0.01
38510,10010001,安娜,6,0.01
38520,-1,-1,-1,0.01
38530,1000,我,-1,0.01
38540,-1,-1,-1,0.01
38550,1000,我,-1,0.01
38560,10010001,安娜,6,0.01
38570,1000,我,-1,0.01
38580,10010001,安娜,6,0.01
38581,-1,-1,-1,0.01
38590,1000,我,-1,0.01
38600,-1,-1,-1,0.01
38610,10050001,嘉萝琳,-1,0.01
38620,10040001,莎莉丝特,4,0.01
38630,10050001,嘉萝琳,3,0.01
38640,-1,-1,-1,0.01
38650,10030001,希贝尔,6,0.01
38660,-1,-1,-1,0.01
38670,10050001,嘉萝琳,3,0.01
38680,1000,我,-1,0.01
38690,10040001,莎莉丝特,3,0.01
38700,10040001,莎莉丝特,3,0.01
38710,1000,我,-1,0.01
38720,10040001,莎莉丝特,3,0.01
38740,10040001,莎莉丝特,3,0.01
38750,10040001,莎莉丝特,3,0.01
38780,10030001,希贝尔,-1,0.01
38800,10050001,嘉萝琳,-1,0.01
38820,10050001,嘉萝琳,-1,0.01
38830,10040001,莎莉丝特,4,0.01
38840,10050001,嘉萝琳,3,0.01
38850,10040001,莎莉丝特,3,0.01
38860,-1,-1,-1,0.01
38870,-1,-1,-1,0.01
38890,10050001,嘉萝琳,3,0.01
38900,10040001,莎莉丝特,4,0.01
38910,10040001,莎莉丝特,4,0.01
38920,10050001,嘉萝琳,3,0.01
38930,-1,-1,-1,0.01
38940,10030001,希贝尔,6,0.01
38950,10010001,安娜,15,0.01
38960,10030001,希贝尔,6,0.01
38970,-1,-1,-1,0.01
38980,1000,我,-1,0.01
38990,1000,我,-1,0.01
39000,-1,-1,-1,0.01
39010,1000,我,-1,0.01
39020,10050001,嘉萝琳,-1,0.01
39030,1000,我,-1,0.01
39040,-1,-1,-1,0.01
39050,-1,-1,-1,0.01
39060,-1,-1,-1,0.01
39070,10040001,莎莉丝特,4,0.01
39080,1000,我,-1,0.01
39090,10040001,莎莉丝特,4,0.01
39100,1000,我,-1,0.01
39110,-1,-1,-1,0.01
39120,-1,-1,-1,0.01
39130,10050001,嘉萝琳,4,0.01
39140,-1,-1,-1,0.01
39150,-1,-1,-1,0.01
39160,10040001,莎莉丝特,4,0.01
39170,-1,-1,-1,0.01
39180,-1,-1,-1,0.01
39190,10102030,？？？,-1,0.01
39200,-1,-1,-1,0.01
39210,-1,-1,-1,0.01
39220,10050001,嘉萝琳,3,0.01
39221,-1,-1,-1,0.01
39230,10102030,海因里希,4,0.01
39240,10040001,莎莉丝特,4,0.01
39250,10040001,莎莉丝特,4,0.01
39260,10050001,嘉萝琳,3,0.01
39270,-1,-1,-1,0.01
39280,10102030,海因里希,4,0.01
39290,10050001,嘉萝琳,3,0.01
39291,-1,-1,-1,0.01
39300,10050001,嘉萝琳,3,0.01
39310,10050001,嘉萝琳,4,0.01
39320,10102030,海因里希,4,0.01
39330,-1,-1,-1,0.01
39340,10102030,海因里希,4,0.01
39350,10030001,希贝尔,4,0.01
39360,10030001,希贝尔,5,0.01
39370,10102030,海因里希,5,0.01
39380,-1,-1,-1,0.01
39390,10102030,海因里希,5,0.01
39400,10102030,海因里希,5,0.01
39410,10050001,嘉萝琳,3,0.01
39420,10010001,安娜,5,0.01
39421,10010001,安娜,5,0.01
39422,10010001,安娜,5,0.01
39430,1000,我,-1,0.01
39431,1000,我,-1,0.01
39440,10102030,海因里希,4,0.01
39450,10050001,嘉萝琳,3,0.01
39460,10102030,海因里希,5,0.01
39470,1000,我,-1,0.01
39480,10050001,嘉萝琳,3,0.01
39490,-1,-1,-1,0.01
39500,10040001,莎莉丝特,5,0.01
39510,10010001,安娜,6,0.01
39520,10102030,海因里希,5,0.01
39521,-1,-1,-1,0.01
39530,10102030,海因里希,5,0.01
39540,10050001,嘉萝琳,3,0.01
39550,-1,-1,-1,0.01
39560,-1,-1,-1,0.01
39570,1000,我,-1,0.01
39580,10102030,海因里希,5,0.01
39590,10050001,嘉萝琳,3,0.01
39600,1000,我,-1,0.01
39610,10102030,海因里希,4,0.01
39630,10102030,海因里希,5,0.01
39640,10102030,海因里希,5,0.01
39660,10030001,希贝尔,5,0.01
39670,10102030,海因里希,5,0.01
39680,10050001,嘉萝琳,3,0.01
39690,10102030,海因里希,5,0.01
39700,10040001,莎莉丝特,5,0.01
39710,1000,我,-1,0.01
39720,10102030,海因里希,5,0.01
39730,10010001,安娜,6,0.01
39731,10030001,希贝尔,5,0.01
39740,-1,-1,-1,0.01
39750,-1,-1,-1,0.01
39760,-1,-1,-1,0.01
39770,10050001,嘉萝琳,2,0.01
39771,10050001,嘉萝琳,2,0.01
39780,-1,-1,-1,0.01
39790,-1,-1,-1,0.01
39930,-1,-1,-1,0.01
39940,-1,-1,-1,0.01
39950,2000,安利丝,-1,0.01
39960,1000,我,-1,0.01
39970,10040001,莎莉丝特,3,0.01
39980,-1,-1,-1,0.01
39990,1000,我,-1,0.01
40000,1000,我,-1,0.01
40010,10040001,莎莉丝特,3,0.01
40012,10050001,嘉萝琳,2,0.01
40013,10040001,莎莉丝特,3,0.01
40014,10050001,嘉萝琳,2,0.01
40015,1000,我,-1,0.01
40020,-1,-1,-1,0.01
40030,-1,-1,-1,0.01
40031,1000,我,-1,0.01
40032,10102030,海因里希,-1,0.01
40033,10050001,嘉萝琳,2,0.01
40034,10102030,海因里希,-1,0.01
40035,-1,-1,-1,0.01
40036,10102030,海因里希,-1,0.01
40037,10102030,海因里希,-1,0.01
40038,-1,-1,-1,0.01
40039,-1,-1,-1,0.01
40040,10010001,安娜,3,0.01
40041,1000,我,-1,0.01
40042,-1,-1,-1,0.01
40043,1000,我,-1,0.01
40044,-1,-1,-1,0.01
40045,1000,我,-1,0.01
40046,10102030,海因里希,-1,0.01
40047,10102030,海因里希,-1,0.01
40048,10050001,嘉萝琳,3,0.01
40049,10102030,海因里希,-1,0.01
40050,10050001,嘉萝琳,3,0.01
40051,10102030,海因里希,-1,0.01
40052,10102030,海因里希,-1,0.01
40053,-1,-1,-1,0.01
40054,10050001,嘉萝琳,2,0.01
40055,10040001,莎莉丝特,3,0.01
40056,1000,我,-1,0.01
40057,1000,我,-1,0.01
40058,1000,我,-1,0.01
74901,-1,-1,-1,0.01
74660,-1,-1,-1,0.01
74690,10010001,安娜,-1,0.01
74700,-1,-1,-1,0.01
74710,-1,-1,-1,0.01
74720,1000,我,-1,0.01
74730,-1,-1,-1,0.01
74750,-1,-1,-1,0.01
74760,-1,-1,-1,0.01
74770,1000,我,-1,0.01
74780,1000,我,-1,0.01
74790,-1,-1,-1,0.01
74800,10050001,嘉萝琳,2,0.01
74810,-1,-1,-1,0.01
74820,1000,我,-1,0.01
74830,10050001,嘉萝琳,3,0.01
74850,10030001,希贝尔,4,0.01
74860,10030001,希贝尔,4,0.01
74870,10010001,安娜,3,0.01
74871,-1,-1,-1,0.01
74880,-1,-1,-1,0.01
74890,-1,-1,-1,0.01
74900,1000,我,-1,0.01
74910,10040001,莎莉丝特,5,0.01
74920,10040001,莎莉丝特,5,0.01
74930,2000,安利丝,-1,0.01
74931,2000,安利丝,-1,0.01
74940,10040001,莎莉丝特,-1,0.01
74960,10050001,嘉萝琳,-1,0.01
74980,10040001,莎莉丝特,4,0.01
74990,10050001,嘉萝琳,-1,0.01
75000,10050001,嘉萝琳,4,0.01
75010,10040001,莎莉丝特,4,0.01
75030,10050001,嘉萝琳,-1,0.01
75050,10050001,嘉萝琳,-1,0.01
75070,10050001,嘉萝琳,4,0.01
75110,10040001,莎莉丝特,7,0.01
75120,10050001,嘉萝琳,-1,0.01
75150,10060001,塞布丽娜,1,0.01
75160,10060001,塞布丽娜,1,0.01
75170,1000,我,-1,0.01
75171,10060001,塞布丽娜,-1,0.01
75172,10010001,安娜,7,0.01
75173,10010001,安娜,1,0.01
75174,10440001,雅努西娅,-1,0.01
75175,2000,安利丝,-1,0.01
75176,10030001,希贝尔,4,0.01
75180,1000,我,-1,0.01
75190,10010001,安娜,6,0.01
75200,1000,我,-1,0.01
75210,10010001,安娜,7,0.01
75220,2000,安利丝,-1,0.01
75221,10010001,安娜,8,0.01
75222,2000,安利丝,-1,0.01
75230,1000,我,-1,0.01
75241,1000,我,-1,0.01
75242,10010001,安娜,15,0.01
75243,2000,安利丝,-1,0.01
75244,2000,安利丝,-1,0.01
75245,10010001,安娜,14,0.01
75246,1000,我,-1,0.01
75247,2000,安利丝,-1,0.01
75249,10010001,安娜,14,0.01
75330,-1,-1,-1,0.01
75340,10040001,莎莉丝特,5,0.01
