升级消耗id,组id,等级,消耗货币,材料1&数量,材料2&数量,材料3&数量,策划专用（货币系数）
32101102,321011,2,1000001&16000,4000103&10,4000106&5,0,10
32101103,321011,3,1000001&24000,4000203&6,4000106&6,4000104&3,10
32101104,321011,4,1000001&32000,4000203&10,4000206&5,0,10
32101105,321011,5,1000001&40000,4000203&14,4000206&7,0,10
32101106,321011,6,1000001&48000,4000303&10,4000206&9,4000204&5,10
32101107,321011,7,1000001&56000,4000303&14,4000206&11,4000204&6,10
32101108,321011,8,1000001&64000,4000303&18,4000306&9,0,10
32101109,321011,9,1000001&72000,4000303&22,4000306&11,0,10
32101110,321011,10,1000001&80000,4000303&26,4000306&13,4000304&7,10
32101201,321012,1,1000001&8000,4000103&6,0,0,10
32101202,321012,2,1000001&16000,4000103&10,4000106&5,0,10
32101203,321012,3,1000001&24000,4000203&6,4000106&6,4000104&3,10
32101204,321012,4,1000001&32000,4000203&10,4000206&5,0,10
32101205,321012,5,1000001&40000,4000203&14,4000206&7,0,10
32101206,321012,6,1000001&48000,4000303&10,4000206&9,4000204&5,10
32101207,321012,7,1000001&56000,4000303&14,4000206&11,4000204&6,10
32101208,321012,8,1000001&64000,4000303&18,4000306&9,0,10
32101209,321012,9,1000001&72000,4000303&22,4000306&11,0,10
32101210,321012,10,1000001&80000,4000303&26,4000306&13,4000304&7,10
32101501,321015,1,1000001&8000,4000103&6,0,0,10
32101502,321015,2,1000001&16000,4000103&10,4000106&5,0,10
32101503,321015,3,1000001&24000,4000203&6,4000106&6,4000104&3,10
32101504,321015,4,1000001&32000,4000203&10,4000206&5,0,10
32101505,321015,5,1000001&40000,4000203&14,4000206&7,0,10
32101506,321015,6,1000001&48000,4000303&10,4000206&9,4000204&5,10
32101507,321015,7,1000001&56000,4000303&14,4000206&11,4000204&6,10
32101508,321015,8,1000001&64000,4000303&18,4000306&9,0,10
32101509,321015,9,1000001&72000,4000303&22,4000306&11,0,10
32101510,321015,10,1000001&80000,4000303&26,4000306&13,4000304&7,10
32102101,321021,1,1000001&8000,4000203&6,0,0,10
32102102,321021,2,1000001&16000,4000203&10,4000206&5,0,10
32102103,321021,3,1000001&24000,4000303&6,4000206&6,4000205&3,10
32102104,321021,4,1000001&32000,4000303&10,4000306&5,0,10
32102105,321021,5,1000001&40000,4000303&14,4000306&7,0,10
32102106,321021,6,1000001&48000,4000303&18,4000306&9,4000305&5,10
32102107,321021,7,1000001&56000,4000303&22,4000306&11,4000305&6,10
32102108,321021,8,1000001&64000,4000403&10,4000306&13,4000305&7,10
32102109,321021,9,1000001&72000,4000403&14,4000306&15,4000305&8,10
32102110,321021,10,1000001&80000,4000403&18,4000306&17,4000305&9,10
32102201,321022,1,1000001&8000,4000203&6,0,0,10
32102202,321022,2,1000001&16000,4000203&10,4000206&5,0,10
32102203,321022,3,1000001&24000,4000303&6,4000206&6,4000205&3,10
32102204,321022,4,1000001&32000,4000303&10,4000306&5,0,10
32102205,321022,5,1000001&40000,4000303&14,4000306&7,0,10
32102206,321022,6,1000001&48000,4000303&18,4000306&9,4000305&5,10
32102207,321022,7,1000001&56000,4000303&22,4000306&11,4000305&6,10
32102208,321022,8,1000001&64000,4000403&10,4000306&13,4000305&7,10
32102209,321022,9,1000001&72000,4000403&14,4000306&15,4000305&8,10
32102210,321022,10,1000001&80000,4000403&18,4000306&17,4000305&9,10
32102501,321025,1,1000001&8000,4000203&6,0,0,10
32102502,321025,2,1000001&16000,4000203&10,4000206&5,0,10
32102503,321025,3,1000001&24000,4000303&6,4000206&6,4000205&3,10
32102504,321025,4,1000001&32000,4000303&10,4000306&5,0,10
32102505,321025,5,1000001&40000,4000303&14,4000306&7,0,10
32102506,321025,6,1000001&48000,4000303&18,4000306&9,4000305&5,10
32102507,321025,7,1000001&56000,4000303&22,4000306&11,4000305&6,10
32102508,321025,8,1000001&64000,4000403&10,4000306&13,4000305&7,10
32102509,321025,9,1000001&72000,4000403&14,4000306&15,4000305&8,10
32102510,321025,10,1000001&80000,4000403&18,4000306&17,4000305&9,10
33151101,331511,1,1000001&12000,4000203&6,4000206&3,0,15
33151102,331511,2,1000001&24000,4000203&10,4000206&5,0,15
33151103,331511,3,1000001&36000,4000203&14,4000206&7,4000204&4,15
33151104,331511,4,1000001&48000,4000303&8,4000206&9,4000204&5,15
33151105,331511,5,1000001&60000,4000303&12,4000306&6,0,15
33151106,331511,6,1000001&72000,4000303&16,4000306&8,0,15
33151107,331511,7,1000001&84000,4000303&20,4000306&10,4000304&5,15
33151108,331511,8,1000001&96000,4000303&24,4000306&12,4000304&6,15
33151109,331511,9,1000001&108000,4000403&10,4000306&14,4000304&7,15
33151110,331511,10,1000001&120000,4000403&14,4000406&7,0,15
33151111,331511,11,1000001&132000,4000403&18,4000406&9,0,15
33151112,331511,12,1000001&144000,4000403&22,4000406&11,0,15
33151113,331511,13,1000001&156000,4000403&26,4000406&13,4000404&7,15
33151114,331511,14,1000001&168000,4000403&30,4000406&15,4000404&8,15
33151115,331511,15,1000001&180000,4000403&34,4000406&17,4000404&9,15
33151201,331512,1,1000001&12000,4000203&6,4000206&3,0,15
33151202,331512,2,1000001&24000,4000203&10,4000206&5,0,15
33151203,331512,3,1000001&36000,4000203&14,4000206&7,4000204&4,15
33151204,331512,4,1000001&48000,4000303&8,4000206&9,4000204&5,15
33151205,331512,5,1000001&60000,4000303&12,4000306&6,0,15
33151206,331512,6,1000001&72000,4000303&16,4000306&8,0,15
33151207,331512,7,1000001&84000,4000303&20,4000306&10,4000304&5,15
33151208,331512,8,1000001&96000,4000303&24,4000306&12,4000304&6,15
33151209,331512,9,1000001&108000,4000403&10,4000306&14,4000304&7,15
33151210,331512,10,1000001&120000,4000403&14,4000406&7,0,15
33151211,331512,11,1000001&132000,4000403&18,4000406&9,0,15
33151212,331512,12,1000001&144000,4000403&22,4000406&11,0,15
33151213,331512,13,1000001&156000,4000403&26,4000406&13,4000404&7,15
33151214,331512,14,1000001&168000,4000403&30,4000406&15,4000404&8,15
33151215,331512,15,1000001&180000,4000403&34,4000406&17,4000404&9,15
33151501,331515,1,1000001&12000,4000203&6,4000206&3,0,15
33151502,331515,2,1000001&24000,4000203&10,4000206&5,0,15
33151503,331515,3,1000001&36000,4000203&14,4000206&7,4000204&4,15
33151504,331515,4,1000001&48000,4000303&8,4000206&9,4000204&5,15
33151505,331515,5,1000001&60000,4000303&12,4000306&6,0,15
33151506,331515,6,1000001&72000,4000303&16,4000306&8,0,15
33151507,331515,7,1000001&84000,4000303&20,4000306&10,4000304&5,15
33151508,331515,8,1000001&96000,4000303&24,4000306&12,4000304&6,15
33151509,331515,9,1000001&108000,4000403&10,4000306&14,4000304&7,15
33151510,331515,10,1000001&120000,4000403&14,4000406&7,0,15
33151511,331515,11,1000001&132000,4000403&18,4000406&9,0,15
33151512,331515,12,1000001&144000,4000403&22,4000406&11,0,15
33151513,331515,13,1000001&156000,4000403&26,4000406&13,4000404&7,15
33151514,331515,14,1000001&168000,4000403&30,4000406&15,4000404&8,15
33151515,331515,15,1000001&180000,4000403&34,4000406&17,4000404&9,15
33152101,331521,1,1000001&12000,4000303&4,0,0,15
33152102,331521,2,1000001&24000,4000303&8,4000306&4,0,15
33152103,331521,3,1000001&36000,4000303&12,4000306&6,4000305&3,15
33152104,331521,4,1000001&48000,4000303&16,4000306&8,4000305&4,15
33152105,331521,5,1000001&60000,4000303&20,4000306&10,4000305&5,15
33152106,331521,6,1000001&72000,4000303&24,4000306&12,4000305&6,15
33152107,331521,7,1000001&84000,4000303&28,4000306&14,4000305&7,15
33152108,331521,8,1000001&96000,4000403&8,4000306&16,4000305&8,15
33152109,331521,9,1000001&108000,4000403&12,4000406&6,0,15
33152110,331521,10,1000001&120000,4000403&16,4000406&8,0,15
33152111,331521,11,1000001&132000,4000403&20,4000406&10,4000405&5,15
33152112,331521,12,1000001&144000,4000403&24,4000406&12,4000405&6,15
33152113,331521,13,1000001&156000,4000403&28,4000406&14,4000405&7,15
33152114,331521,14,1000001&168000,4000403&32,4000406&16,4000405&8,15
33152115,331521,15,1000001&180000,4000403&36,4000406&18,4000405&9,15
33152201,331522,1,1000001&12000,4000303&4,0,0,15
33152202,331522,2,1000001&24000,4000303&8,4000306&4,0,15
33152203,331522,3,1000001&36000,4000303&12,4000306&6,4000305&3,15
33152204,331522,4,1000001&48000,4000303&16,4000306&8,4000305&4,15
33152205,331522,5,1000001&60000,4000303&20,4000306&10,4000305&5,15
33152206,331522,6,1000001&72000,4000303&24,4000306&12,4000305&6,15
33152207,331522,7,1000001&84000,4000303&28,4000306&14,4000305&7,15
33152208,331522,8,1000001&96000,4000403&8,4000306&16,4000305&8,15
33152209,331522,9,1000001&108000,4000403&12,4000406&6,0,15
33152210,331522,10,1000001&120000,4000403&16,4000406&8,0,15
33152211,331522,11,1000001&132000,4000403&20,4000406&10,4000405&5,15
33152212,331522,12,1000001&144000,4000403&24,4000406&12,4000405&6,15
33152213,331522,13,1000001&156000,4000403&28,4000406&14,4000405&7,15
33152214,331522,14,1000001&168000,4000403&32,4000406&16,4000405&8,15
33152215,331522,15,1000001&180000,4000403&36,4000406&18,4000405&9,15
33152501,331525,1,1000001&12000,4000303&4,0,0,15
33152502,331525,2,1000001&24000,4000303&8,4000306&4,0,15
33152503,331525,3,1000001&36000,4000303&12,4000306&6,4000305&3,15
33152504,331525,4,1000001&48000,4000303&16,4000306&8,4000305&4,15
33152505,331525,5,1000001&60000,4000303&20,4000306&10,4000305&5,15
33152506,331525,6,1000001&72000,4000303&24,4000306&12,4000305&6,15
33152507,331525,7,1000001&84000,4000303&28,4000306&14,4000305&7,15
33152508,331525,8,1000001&96000,4000403&8,4000306&16,4000305&8,15
33152509,331525,9,1000001&108000,4000403&12,4000406&6,0,15
33152510,331525,10,1000001&120000,4000403&16,4000406&8,0,15
33152511,331525,11,1000001&132000,4000403&20,4000406&10,4000405&5,15
33152512,331525,12,1000001&144000,4000403&24,4000406&12,4000405&6,15
33152513,331525,13,1000001&156000,4000403&28,4000406&14,4000405&7,15
33152514,331525,14,1000001&168000,4000403&32,4000406&16,4000405&8,15
33152515,331525,15,1000001&180000,4000403&36,4000406&18,4000405&9,15
33152701,331527,1,1000001&12000,4000403&1,0,0,15
33152702,331527,2,1000001&24000,4000403&6,4000406&3,0,15
33152703,331527,3,1000001&36000,4000403&10,4000406&5,4000404&3,15
33152704,331527,4,1000001&48000,4000403&14,4000406&7,4000404&4,15
33152705,331527,5,1000001&60000,4000403&18,4000406&9,4000404&5,15
33152801,331528,1,1000001&12000,4000403&1,0,0,15
33152802,331528,2,1000001&24000,4000403&6,4000406&3,0,15
33152803,331528,3,1000001&36000,4000403&10,4000406&5,4000405&3,15
33152804,331528,4,1000001&48000,4000403&14,4000406&7,4000405&4,15
33152805,331528,5,1000001&60000,4000403&18,4000406&9,4000405&5,15
1001010201,10010102,1,1000001&8000,4000201&6,0,0,10
1001010202,10010102,2,1000001&16000,4000201&10,4000204&5,0,10
1001010203,10010102,3,1000001&24000,4000301&8,4000204&7,4000205&4,10
1001010204,10010102,4,1000001&32000,4000301&12,4000304&6,0,10
1001010205,10010102,5,1000001&40000,4000301&16,4000304&8,4000305&4,10
1001010301,10010103,1,1000001&12000,4000401&1,0,0,15
1001010302,10010103,2,1000001&24000,4000301&6,4000304&3,0,15
1001010303,10010103,3,1000001&36000,4000301&10,4000304&5,4000305&3,15
1001010304,10010103,4,1000001&48000,4000301&14,4000304&7,4000305&4,15
1001010305,10010103,5,1000001&60000,4000401&8,4000304&9,4000305&5,15
1001010306,10010103,6,1000001&72000,4000401&12,4000404&6,0,15
1001010307,10010103,7,1000001&84000,4000401&16,4000404&8,4000405&4,15
1001010308,10010103,8,1000001&96000,4000401&20,4000404&10,4000405&5,15
1001010309,10010103,9,1000001&108000,4000401&24,4000404&12,4000406&6,15
1001010310,10010103,10,1000001&120000,4000401&28,4000404&14,4000406&7,15
1001020201,10010202,1,1000001&8000,4000201&6,0,0,10
1001020202,10010202,2,1000001&16000,4000201&10,4000204&5,0,10
1001020203,10010202,3,1000001&24000,4000301&8,4000204&7,4000205&4,10
1001020204,10010202,4,1000001&32000,4000301&12,4000304&6,0,10
1001020205,10010202,5,1000001&40000,4000301&16,4000304&8,4000305&4,10
1001020301,10010203,1,1000001&12000,4000401&1,0,0,15
1001020302,10010203,2,1000001&24000,4000301&6,4000304&3,0,15
1001020303,10010203,3,1000001&36000,4000301&10,4000304&5,4000305&3,15
1001020304,10010203,4,1000001&48000,4000301&14,4000304&7,4000305&4,15
1001020305,10010203,5,1000001&60000,4000401&8,4000304&9,4000305&5,15
1001020306,10010203,6,1000001&72000,4000401&12,4000404&6,0,15
1001020307,10010203,7,1000001&84000,4000401&16,4000404&8,4000405&4,15
1001020308,10010203,8,1000001&96000,4000401&20,4000404&10,4000405&5,15
1001020309,10010203,9,1000001&108000,4000401&24,4000404&12,4000406&6,15
1001020310,10010203,10,1000001&120000,4000401&28,4000404&14,4000406&7,15
1001030201,10010302,1,1000001&8000,4000201&6,0,0,10
1001030202,10010302,2,1000001&16000,4000201&10,4000204&5,0,10
1001030203,10010302,3,1000001&24000,4000301&8,4000204&7,4000205&4,10
1001030204,10010302,4,1000001&32000,4000301&12,4000304&6,0,10
1001030205,10010302,5,1000001&40000,4000301&16,4000304&8,4000305&4,10
1001030301,10010303,1,1000001&12000,4000401&1,0,0,15
1001030302,10010303,2,1000001&24000,4000301&6,4000304&3,0,15
1001030303,10010303,3,1000001&36000,4000301&10,4000304&5,4000305&3,15
1001030304,10010303,4,1000001&48000,4000301&14,4000304&7,4000305&4,15
1001030305,10010303,5,1000001&60000,4000401&8,4000304&9,4000305&5,15
1001030306,10010303,6,1000001&72000,4000401&12,4000404&6,0,15
1001030307,10010303,7,1000001&84000,4000401&16,4000404&8,4000405&4,15
1001030308,10010303,8,1000001&96000,4000401&20,4000404&10,4000405&5,15
1001030309,10010303,9,1000001&108000,4000401&24,4000404&12,4000406&6,15
1001030310,10010303,10,1000001&120000,4000401&28,4000404&14,4000406&7,15
2001010201,20010102,1,1000001&8000,4000202&6,0,0,10
2001010202,20010102,2,1000001&16000,4000202&10,4000205&5,0,10
2001010203,20010102,3,1000001&24000,4000302&8,4000205&7,4000206&4,10
2001010204,20010102,4,1000001&32000,4000302&12,4000305&6,0,10
2001010205,20010102,5,1000001&40000,4000302&16,4000305&8,4000306&4,10
2001010301,20010103,1,1000001&12000,4000402&1,0,0,15
2001010302,20010103,2,1000001&24000,4000302&6,4000305&3,0,15
2001010303,20010103,3,1000001&36000,4000302&10,4000305&5,4000306&3,15
2001010304,20010103,4,1000001&48000,4000302&14,4000305&7,4000306&4,15
2001010305,20010103,5,1000001&60000,4000402&8,4000305&9,4000306&5,15
2001010306,20010103,6,1000001&72000,4000402&12,4000405&6,0,15
2001010307,20010103,7,1000001&84000,4000402&16,4000405&8,4000406&4,15
2001010308,20010103,8,1000001&96000,4000402&20,4000405&10,4000406&5,15
2001010309,20010103,9,1000001&108000,4000402&24,4000405&12,4000404&6,15
2001010310,20010103,10,1000001&120000,4000402&28,4000405&14,4000404&7,15
2001020201,20010202,1,1000001&8000,4000202&6,0,0,10
2001020202,20010202,2,1000001&16000,4000202&10,4000205&5,0,10
2001020203,20010202,3,1000001&24000,4000302&8,4000205&7,4000206&4,10
2001020204,20010202,4,1000001&32000,4000302&12,4000305&6,0,10
2001020205,20010202,5,1000001&40000,4000302&16,4000305&8,4000306&4,10
2001020301,20010203,1,1000001&12000,4000402&1,0,0,15
2001020302,20010203,2,1000001&24000,4000302&6,4000305&3,0,15
2001020303,20010203,3,1000001&36000,4000302&10,4000305&5,4000306&3,15
2001020304,20010203,4,1000001&48000,4000302&14,4000305&7,4000306&4,15
2001020305,20010203,5,1000001&60000,4000402&8,4000305&9,4000306&5,15
2001020306,20010203,6,1000001&72000,4000402&12,4000405&6,0,15
2001020307,20010203,7,1000001&84000,4000402&16,4000405&8,4000406&4,15
2001020308,20010203,8,1000001&96000,4000402&20,4000405&10,4000406&5,15
2001020309,20010203,9,1000001&108000,4000402&24,4000405&12,4000404&6,15
2001020310,20010203,10,1000001&120000,4000402&28,4000405&14,4000404&7,15
2001030201,20010302,1,1000001&8000,4000202&6,0,0,10
2001030202,20010302,2,1000001&16000,4000202&10,4000205&5,0,10
2001030203,20010302,3,1000001&24000,4000302&8,4000205&7,4000206&4,10
2001030204,20010302,4,1000001&32000,4000302&12,4000305&6,0,10
2001030205,20010302,5,1000001&40000,4000302&16,4000305&8,4000306&4,10
2001030301,20010303,1,1000001&12000,4000402&1,0,0,15
2001030302,20010303,2,1000001&24000,4000302&6,4000305&3,0,15
2001030303,20010303,3,1000001&36000,4000302&10,4000305&5,4000306&3,15
2001030304,20010303,4,1000001&48000,4000302&14,4000305&7,4000306&4,15
2001030305,20010303,5,1000001&60000,4000402&8,4000305&9,4000306&5,15
2001030306,20010303,6,1000001&72000,4000402&12,4000405&6,0,15
2001030307,20010303,7,1000001&84000,4000402&16,4000405&8,4000406&4,15
2001030308,20010303,8,1000001&96000,4000402&20,4000405&10,4000406&5,15
2001030309,20010303,9,1000001&108000,4000402&24,4000405&12,4000404&6,15
2001030310,20010303,10,1000001&120000,4000402&28,4000405&14,4000404&7,15
3001010201,30010102,1,1000001&8000,4000203&6,0,0,10
3001010202,30010102,2,1000001&16000,4000203&10,4000206&5,0,10
3001010203,30010102,3,1000001&24000,4000303&8,4000206&7,4000204&4,10
3001010204,30010102,4,1000001&32000,4000303&12,4000306&6,0,10
3001010205,30010102,5,1000001&40000,4000303&16,4000306&8,4000304&4,10
3001010301,30010103,1,1000001&12000,4000403&1,0,0,15
3001010302,30010103,2,1000001&24000,4000303&6,4000306&3,0,15
3001010303,30010103,3,1000001&36000,4000303&10,4000306&5,4000304&3,15
3001010304,30010103,4,1000001&48000,4000303&14,4000306&7,4000304&4,15
3001010305,30010103,5,1000001&60000,4000403&8,4000306&9,4000304&5,15
3001010306,30010103,6,1000001&72000,4000403&12,4000406&6,0,15
3001010307,30010103,7,1000001&84000,4000403&16,4000406&8,4000404&4,15
3001010308,30010103,8,1000001&96000,4000403&20,4000406&10,4000404&5,15
3001010309,30010103,9,1000001&108000,4000403&24,4000406&12,4000405&6,15
3001010310,30010103,10,1000001&120000,4000403&28,4000406&14,4000405&7,15
3001020201,30010202,1,1000001&8000,4000203&6,0,0,10
3001020202,30010202,2,1000001&16000,4000203&10,4000206&5,0,10
3001020203,30010202,3,1000001&24000,4000303&8,4000206&7,4000204&4,10
3001020204,30010202,4,1000001&32000,4000303&12,4000306&6,0,10
3001020205,30010202,5,1000001&40000,4000303&16,4000306&8,4000304&4,10
3001020301,30010203,1,1000001&12000,4000403&1,0,0,15
3001020302,30010203,2,1000001&24000,4000303&6,4000306&3,0,15
3001020303,30010203,3,1000001&36000,4000303&10,4000306&5,4000304&3,15
3001020304,30010203,4,1000001&48000,4000303&14,4000306&7,4000304&4,15
3001020305,30010203,5,1000001&60000,4000403&8,4000306&9,4000304&5,15
3001020306,30010203,6,1000001&72000,4000403&12,4000406&6,0,15
3001020307,30010203,7,1000001&84000,4000403&16,4000406&8,4000404&4,15
3001020308,30010203,8,1000001&96000,4000403&20,4000406&10,4000404&5,15
3001020309,30010203,9,1000001&108000,4000403&24,4000406&12,4000405&6,15
3001020310,30010203,10,1000001&120000,4000403&28,4000406&14,4000405&7,15
3001030201,30010302,1,1000001&8000,4000203&6,0,0,10
3001030202,30010302,2,1000001&16000,4000203&10,4000206&5,0,10
3001030203,30010302,3,1000001&24000,4000303&8,4000206&7,4000204&4,10
3001030204,30010302,4,1000001&32000,4000303&12,4000306&6,0,10
3001030205,30010302,5,1000001&40000,4000303&16,4000306&8,4000304&4,10
3001030301,30010303,1,1000001&12000,4000403&1,0,0,15
3001030302,30010303,2,1000001&24000,4000303&6,4000306&3,0,15
3001030303,30010303,3,1000001&36000,4000303&10,4000306&5,4000304&3,15
3001030304,30010303,4,1000001&48000,4000303&14,4000306&7,4000304&4,15
3001030305,30010303,5,1000001&60000,4000403&8,4000306&9,4000304&5,15
3001030306,30010303,6,1000001&72000,4000403&12,4000406&6,0,15
3001030307,30010303,7,1000001&84000,4000403&16,4000406&8,4000404&4,15
3001030308,30010303,8,1000001&96000,4000403&20,4000406&10,4000404&5,15
3001030309,30010303,9,1000001&108000,4000403&24,4000406&12,4000405&6,15
3001030310,30010303,10,1000001&120000,4000403&28,4000406&14,4000405&7,15
