附加效果id,属性BUFF,回血,改变技能,分身相关信息,Debuff,Dot,特殊技能额外效果,弹幕替代式,范围性技能,电流,蜜糖领域,清弹后效果强化,力场
402703,-1,-1,-1,-1,5&2&100&5&2&0.5&1&1,-1,-1,-1,-1,-1,-1,-1,-1
502703,-1,-1,-1,-1,5&2&100&5&2&0.5&1&1,-1,-1,-1,-1,-1,-1,-1,-1
602703,-1,-1,-1,-1,5&2&100&5&2&0.5&1&1,-1,-1,-1,-1,-1,-1,-1,-1
702703,-1,-1,-1,-1,5&2&100&5&2&0.5&1&1,-1,-1,-1,-1,-1,-1,-1,-1
802703,-1,-1,-1,-1,5&2&100&5&2&0.5&1&1,-1,-1,-1,-1,-1,-1,-1,-1
102803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|5001|3,-1
202803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|5001|3,-1
302803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|5001|3,-1
402803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|5001|3,-1
502803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|5001|3,-1
602803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|5001|3,-1
702803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|5001|3,-1
802803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|5001|3,-1
102903,-1,-1,-1,-1,-1,-1,-1,-1,2&10&50&1&1006&1&1&125&1|102902&202902&302902&402902,-1,-1,-1,-1
202903,-1,-1,-1,-1,-1,-1,-1,-1,2&10&50&1&1006&1&1&125&1|102902&202902&302902&402902,-1,-1,-1,-1
302903,-1,-1,-1,-1,-1,-1,-1,-1,2&10&50&1&1006&1&1&125&1|102902&202902&302902&402902,-1,-1,-1,-1
402903,-1,-1,-1,-1,-1,-1,-1,-1,2&10&50&1&1006&1&1&125&1|102902&202902&302902&402902,-1,-1,-1,-1
502903,-1,-1,-1,-1,-1,-1,-1,-1,2&10&50&1&1006&1&1&125&1|102902&202902&302902&402902,-1,-1,-1,-1
602903,-1,-1,-1,-1,-1,-1,-1,-1,2&10&50&1&1006&1&1&125&1|102902&202902&302902&402902,-1,-1,-1,-1
702903,-1,-1,-1,-1,-1,-1,-1,-1,2&10&50&1&1006&1&1&125&1|102902&202902&302902&402902,-1,-1,-1,-1
802903,-1,-1,-1,-1,-1,-1,-1,-1,2&10&50&1&1006&1&1&125&1|102902&202902&302902&402902,-1,-1,-1,-1
103103,-1,-1,-1,-1,-1,-1,-1,-1,3&1&2&1&30&5&3&3&1&100|3&prefab_barrage/playerBarrage_1031/barrage_103103_1,-1,-1,-1,-1
203103,-1,-1,-1,-1,-1,-1,-1,-1,3&1&2&1&30&5&3&3&1&100|3&prefab_barrage/playerBarrage_1031/barrage_103103_1,-1,-1,-1,-1
303103,-1,-1,-1,-1,-1,-1,-1,-1,3&1&2&1&30&5&3&3&1&100|3&prefab_barrage/playerBarrage_1031/barrage_103103_1,-1,-1,-1,-1
403103,-1,-1,-1,-1,-1,-1,-1,-1,3&1&2&1&30&5&3&3&1&100|3&prefab_barrage/playerBarrage_1031/barrage_103103_1,-1,-1,-1,-1
503103,-1,-1,-1,-1,-1,-1,-1,-1,3&1&2&1&30&5&3&3&1&100|3&prefab_barrage/playerBarrage_1031/barrage_103103_1,-1,-1,-1,-1
603103,-1,-1,-1,-1,-1,-1,-1,-1,3&1&2&1&30&5&3&3&1&100|3&prefab_barrage/playerBarrage_1031/barrage_103103_1,-1,-1,-1,-1
703103,-1,-1,-1,-1,-1,-1,-1,-1,3&1&2&1&30&5&3&3&1&100|3&prefab_barrage/playerBarrage_1031/barrage_103103_1,-1,-1,-1,-1
803103,-1,-1,-1,-1,-1,-1,-1,-1,3&1&2&1&30&5&3&3&1&100|3&prefab_barrage/playerBarrage_1031/barrage_103103_1,-1,-1,-1,-1
103203,-1,-1,-1,-1,-1,-1,-1,-1,1&70&1&3&5,-1,-1,-1,-1
203203,-1,-1,-1,-1,-1,-1,-1,-1,1&70&1&3&5,-1,-1,-1,-1
303203,-1,-1,-1,-1,-1,-1,-1,-1,1&70&1&3&5,-1,-1,-1,-1
403203,-1,-1,-1,-1,-1,-1,-1,-1,1&70&1&3&5,-1,-1,-1,-1
503203,-1,-1,-1,-1,-1,-1,-1,-1,1&70&1&3&5,-1,-1,-1,-1
603203,-1,-1,-1,-1,-1,-1,-1,-1,1&70&1&3&5,-1,-1,-1,-1
703203,-1,-1,-1,-1,-1,-1,-1,-1,1&70&1&3&5,-1,-1,-1,-1
803203,-1,-1,-1,-1,-1,-1,-1,-1,1&70&1&3&5,-1,-1,-1,-1
103302,-1,-1,-1,-1,-1,-1,-1,10330201&10330202|103303&203303&303303&403303,-1,-1,-1,-1,-1
203302,-1,-1,-1,-1,-1,-1,-1,10330201&10330202&10330203&10330204|103303&203303&303303&403303,-1,-1,-1,-1,-1
303302,-1,-1,-1,-1,-1,-1,-1,10330201&10330202&10330203&10330204&10330205&10330206|103303&203303&303303&403303,-1,-1,-1,-1,-1
403302,-1,-1,-1,-1,-1,-1,-1,10330201&10330202&10330203&10330204&10330205&10330206|103303&203303&303303&403303,-1,-1,-1,-1,-1
503302,-1,-1,-1,-1,-1,-1,-1,10330201&10330202&10330203&10330204&10330205&10330206|103303&203303&303303&403303,-1,-1,-1,-1,-1
603302,-1,-1,-1,-1,-1,-1,-1,10330201&10330202&10330203&10330204&10330205&10330206|103303&203303&303303&403303,-1,-1,-1,-1,-1
703302,-1,-1,-1,-1,-1,-1,-1,10330201&10330202&10330203&10330204&10330205&10330206|103303&203303&303303&403303,-1,-1,-1,-1,-1
803302,-1,-1,-1,-1,-1,-1,-1,10330201&10330202&10330203&10330204&10330205&10330206|103303&203303&303303&403303,-1,-1,-1,-1,-1
103502,5&2&500&5&1&3&4&100,-1,5|3&103504#203504#303504#403504#503504#603504#703504#803504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
203502,5&2&550&5&1&3&4&100,-1,5|3&103504#203504#303504#403504#503504#603504#703504#803504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
303502,5&2&600&5&1&3&4&100,-1,5|3&103504#203504#303504#403504#503504#603504#703504#803504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
403502,5&2&650&5&1&3&4&100,-1,5|3&103504#203504#303504#403504#503504#603504#703504#803504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
503502,5&2&700&5&1&3&4&100,-1,5|3&103504#203504#303504#403504#503504#603504#703504#803504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
603502,5&2&800&5&1&3&4&100,-1,5|3&103504#203504#303504#403504#503504#603504#703504#803504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
703502,5&2&900&5&1&3&4&100,-1,5|3&103504#203504#303504#403504#503504#603504#703504#803504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
803502,5&2&1000&5&1&3&4&100,-1,5|3&103504#203504#303504#403504#503504#603504#703504#803504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103802,2&2&200&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
203802,2&2&250&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
303802,2&2&300&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
403802,2&2&350&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
503802,2&2&400&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
603802,2&2&500&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
703802,2&2&600&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
803802,2&2&700&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103803,-1,-1,-1,-1,-1,2&100&6&22&1&4001&1&19,-1,-1,-1,-1,-1,-1,-1
203803,-1,-1,-1,-1,-1,2&100&6&22&1&4001&1&19,-1,-1,-1,-1,-1,-1,-1
303803,-1,-1,-1,-1,-1,2&100&6&22&1&4001&1&19,-1,-1,-1,-1,-1,-1,-1
403803,-1,-1,-1,-1,-1,2&100&6&22&1&4001&1&19,-1,-1,-1,-1,-1,-1,-1
503803,-1,-1,-1,-1,-1,2&100&6&22&1&4001&1&19,-1,-1,-1,-1,-1,-1,-1
603803,-1,-1,-1,-1,-1,2&100&6&22&1&4001&1&19,-1,-1,-1,-1,-1,-1,-1
703803,-1,-1,-1,-1,-1,2&100&6&22&1&4001&1&19,-1,-1,-1,-1,-1,-1,-1
803803,-1,-1,-1,-1,-1,2&100&6&22&1&4001&1&19,-1,-1,-1,-1,-1,-1,-1
103902,2&2&100&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
203902,2&2&150&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
303902,2&2&200&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
403902,2&2&250&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
503902,2&2&300&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
603902,2&2&350&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
703902,2&2&400&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
803902,2&2&500&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104002,-1,-1,-1,-1,-1,2&100&5&50&3&1006&5&1,-1,-1,-1,-1,-1,-1,-1
204002,-1,-1,-1,-1,-1,2&100&6&60&3&1006&6&1,-1,-1,-1,-1,-1,-1,-1
304002,-1,-1,-1,-1,-1,2&100&7&70&3&1006&7&1,-1,-1,-1,-1,-1,-1,-1
404002,-1,-1,-1,-1,-1,2&100&8&80&3&1006&8&1,-1,-1,-1,-1,-1,-1,-1
504002,-1,-1,-1,-1,-1,2&100&8&80&3&1006&8&1,-1,-1,-1,-1,-1,-1,-1
604002,-1,-1,-1,-1,-1,2&100&8&80&3&1006&8&1,-1,-1,-1,-1,-1,-1,-1
704002,-1,-1,-1,-1,-1,2&100&8&80&3&1006&8&1,-1,-1,-1,-1,-1,-1,-1
804002,-1,-1,-1,-1,-1,2&100&8&80&3&1006&8&1,-1,-1,-1,-1,-1,-1,-1
104003,-1,-1,-1,-1,4&1&5&1,-1,-1,-1,4|5,-1,-1,-1,-1
204003,-1,-1,-1,-1,4&1&5&1,-1,-1,-1,4|5,-1,-1,-1,-1
304003,-1,-1,-1,-1,4&1&5&1,-1,-1,-1,4|5,-1,-1,-1,-1
404003,-1,-1,-1,-1,4&1&5&1,-1,-1,-1,4|5,-1,-1,-1,-1
504003,-1,-1,-1,-1,4&1&5&1,-1,-1,-1,4|5,-1,-1,-1,-1
604003,-1,-1,-1,-1,4&1&5&1,-1,-1,-1,4|5,-1,-1,-1,-1
704003,-1,-1,-1,-1,4&1&5&1,-1,-1,-1,4|5,-1,-1,-1,-1
804003,-1,-1,-1,-1,4&1&5&1,-1,-1,-1,4|5,-1,-1,-1,-1
104103,-1,-1,5|3&104104#204104#304104#404104#504104#604104#704104#804104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
204103,-1,-1,5|3&104104#204104#304104#404104#504104#604104#704104#804104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
304103,-1,-1,5|3&104104#204104#304104#404104#504104#604104#704104#804104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
404103,-1,-1,5|3&104104#204104#304104#404104#504104#604104#704104#804104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
504103,-1,-1,5|3&104104#204104#304104#404104#504104#604104#704104#804104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
604103,-1,-1,5|3&104104#204104#304104#404104#504104#604104#704104#804104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
704103,-1,-1,5|3&104104#204104#304104#404104#504104#604104#704104#804104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
804103,-1,-1,5|3&104104#204104#304104#404104#504104#604104#704104#804104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104202,20&2&200&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
204202,20&2&230&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
304202,20&2&260&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
404202,20&2&290&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
504202,20&2&320&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
604202,20&2&350&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
704202,20&2&400&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
804202,20&2&450&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104302,2&1&35&5&1&3&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
204302,2&1&40&5&1&3&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
304302,2&1&45&5&1&3&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
404302,2&1&50&5&1&3&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
504302,2&1&50&5&1&3&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
604302,2&1&50&5&1&3&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
704302,2&1&50&5&1&3&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
804302,2&1&50&5&1&3&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|2|1|10|999999999|1|3|1|70
204402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|2|1|12|999999999|1|3|1|67
304402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|2|1|14|999999999|1|3|1|64
404402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|2|1|16|999999999|1|3|1|61
504402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|2|1|18|999999999|1|3|1|58
604402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|2|1|20|999999999|1|3|1|55
704402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|2|1|22|999999999|1|3|1|52
804402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|2|1|24|999999999|1|3|1|49
104502,2&1&5&7&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
204502,2&1&6&7&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
304502,2&1&7&7&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
404502,2&1&8&7&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
504502,2&1&9&7&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
604502,2&1&10&7&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
704502,2&1&11&7&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
804502,2&1&12&7&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104503,2&1&10&5&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
204503,2&1&12&5&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
304503,2&1&14&5&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
404503,2&1&16&5&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
504503,2&1&18&5&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
604503,2&1&20&5&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
704503,2&1&22&5&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
804503,2&1&25&5&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
