ID,组id,技能等级,下一级技能(0为不能升级),最大等级,释放类型,技能基础伤害百分比,施法音效,受击音效
id,groupID,Skilllevel,NextSkill,MaxLevel,playType,HurtRate,PlaySound,HitSound
number,number,number,number,number,array_|,number,string,string
3001030301,30010303,1,3001030302,10,2|3001030301,2.64,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030302,30010303,2,3001030303,10,2|3001030302,2.66,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030303,30010303,3,3001030304,10,2|3001030303,2.68,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030304,30010303,4,3001030305,10,2|3001030304,2.7,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030305,30010303,5,3001030306,10,2|3001030305,2.72,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030306,30010303,6,3001030307,10,2|3001030306,2.67,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030307,30010303,7,3001030308,10,2|3001030307,2.66,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030308,30010303,8,3001030309,10,2|3001030308,2.68,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030309,30010303,9,3001030310,10,2|3001030309,2.7,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030310,30010303,10,0,10,2|3001030310,2.72,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
