ID,被动类型,属性BUFF（类型1生效）,额外伤害（类型12生效）,免伤护盾BUFF（类型11生效）,最终伤害提升（类型10生效）,属性转换（类型8生效）,免死BUFF（类型2生效）,无敌BUFF（类型3生效）,回血（类型4生效）,回血（类型9生效）,BOSS击杀时间增加（类型5有效）,刷新球（类型6有效）,神火减少消耗（类型7有效）,被动技能描述,星级,品质,Debuff（类型13）,魔女技能增强（类型14）,防御特殊增幅（类型15）,暴击特殊增幅（类型16）,是否效果唯一
101704,1,20&1&3&999999999&1&3&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360166,4.0,-1,-1,-1,-1,-1,-1
101705,1,20&1&5&999999999&1&3&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360167,5.0,SSR,-1,-1,-1,-1,-1
101706,1,20&1&8&999999999&1&3&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360168,6.0,-1,-1,-1,-1,-1,-1
101801,1,2&1&1&999999999&1&8&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360169,1.0,R,-1,-1,-1,-1,-1
101802,1,2&1&2&999999999&1&8&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360170,2.0,-1,-1,-1,-1,-1,-1
101803,1,2&1&2&999999999&1&8&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360171,3.0,SR,-1,-1,-1,-1,-1
101804,1,2&1&4&999999999&1&8&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360172,4.0,-1,-1,-1,-1,-1,-1
101805,1,2&1&6&999999999&1&8&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360173,5.0,SSR,-1,-1,-1,-1,-1
101806,1,2&1&8&999999999&1&8&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360174,6.0,-1,-1,-1,-1,-1,-1
101901,1,15&2&3&999999999&1&1&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360175,1.0,-1,-1,-1,-1,-1,-1
101902,1,15&2&5&999999999&1&1&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360176,2.0,SR,-1,-1,-1,-1,-1
101903,1,15&2&1&999999999&1&1&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360177,3.0,-1,-1,-1,-1,-1,-1
101904,1,15&2&2&999999999&1&1&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360178,4.0,SSR,-1,-1,-1,-1,-1
101905,1,15&2&3&999999999&1&1&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360179,5.0,-1,-1,-1,-1,-1,-1
101906,1,15&2&5&999999999&1&1&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360180,6.0,UR,-1,-1,-1,-1,-1
102001,1,2&2&80&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360181,1.0,R,-1,-1,-1,-1,-1
102002,1,2&2&120&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360182,2.0,-1,-1,-1,-1,-1,-1
102003,1,2&2&100&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360183,3.0,SR,-1,-1,-1,-1,-1
102004,1,2&2&200&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360184,4.0,-1,-1,-1,-1,-1,-1
102005,1,2&2&350&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360185,5.0,SSR,-1,-1,-1,-1,-1
102006,1,2&2&500&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360186,6.0,-1,-1,-1,-1,-1,-1
102101,4,-1,-1,-1,-1,-1,-1,-1,1&15&1&1&3&100,-1,-1,-1,-1,10360187,1.0,-1,-1,-1,-1,-1,-1
102102,4,-1,-1,-1,-1,-1,-1,-1,1&20&1&1&3&100,-1,-1,-1,-1,10360188,2.0,-1,-1,-1,-1,-1,-1
102103,4,-1,-1,-1,-1,-1,-1,-1,1&20&1&1&3&100,-1,-1,-1,-1,10360189,3.0,SSR,-1,-1,-1,-1,-1
102104,4,-1,-1,-1,-1,-1,-1,-1,1&30&1&1&3&100,-1,-1,-1,-1,10360190,4.0,-1,-1,-1,-1,-1,-1
102105,4,-1,-1,-1,-1,-1,-1,-1,1&40&1&1&3&100,-1,-1,-1,-1,10360191,5.0,UR,-1,-1,-1,-1,-1
102106,4,-1,-1,-1,-1,-1,-1,-1,1&50&1&1&3&100,-1,-1,-1,-1,10360192,6.0,-1,-1,-1,-1,-1,-1
102201,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360193,1.0,-1,-1,3|8,-1,-1,-1
102202,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360194,2.0,-1,-1,3|10,-1,-1,-1
102203,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360195,3.0,SSR,-1,3|5,-1,-1,-1
102204,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360196,4.0,-1,-1,3|10,-1,-1,-1
102205,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360197,5.0,UR,-1,3|15,-1,-1,-1
102206,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360198,6.0,-1,-1,3|20,-1,-1,-1
102301,1,2&1&3&10&1&4&1#16&3&1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360199,1.0,-1,-1,-1,-1,-1,-1
102302,1,2&1&5&10&1&4&1#16&3&1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360200,2.0,-1,-1,-1,-1,-1,-1
102303,1,2&1&30&10&1&4&1#16&3&1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360201,3.0,SSR,-1,-1,-1,-1,-1
102304,1,2&1&50&10&1&4&1#16&3&1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360202,4.0,-1,-1,-1,-1,-1,-1
102305,1,2&1&70&10&1&4&1#16&3&1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360203,5.0,UR,-1,-1,-1,-1,-1
102306,1,2&1&100&10&1&4&1#16&3&1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360204,6.0,-1,-1,-1,-1,-1,-1
102401,1,21&2&25&999999999&1&3&7#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360205,1.0,-1,-1,-1,-1,-1,-1
102402,1,21&2&50&999999999&1&3&7#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360206,2.0,-1,-1,-1,-1,-1,-1
102403,1,21&2&150&999999999&1&3&7#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360207,3.0,SSR,-1,-1,-1,-1,-1
102404,1,21&2&300&999999999&1&3&7#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360208,4.0,-1,-1,-1,-1,-1,-1
102405,1,21&2&450&999999999&1&3&7#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360209,5.0,UR,-1,-1,-1,-1,-1
102406,1,21&2&600&999999999&1&3&7#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360210,6.0,-1,-1,-1,-1,-1,-1
102501,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360211,1.0,-1,-1,1|0.5,-1,-1,-1
102502,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360212,2.0,-1,-1,1|1,-1,-1,-1
102503,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360213,3.0,SSR,-1,1|1.5,-1,-1,-1
102504,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360214,4.0,-1,-1,1|1.8,-1,-1,-1
102505,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360215,5.0,UR,-1,1|2.1,-1,-1,-1
102506,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360216,6.0,-1,-1,1|2.5,-1,-1,-1
102801,1,1&1&1&999999999&1&4&2#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360217,1.0,-1,-1,-1,-1,-1,-1
102802,1,1&1&3&999999999&1&4&2#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360218,2.0,SR,-1,-1,-1,-1,-1
102803,1,1&1&3&999999999&1&4&2#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360219,3.0,-1,-1,-1,-1,-1,-1
102804,1,1&1&8&999999999&1&4&2#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360220,4.0,SSR,-1,-1,-1,-1,-1
102805,1,1&1&13&999999999&1&4&2#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360221,5.0,-1,-1,-1,-1,-1,-1
102806,1,1&1&18&999999999&1&4&2#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360222,6.0,UR,-1,-1,-1,-1,-1
103001,1,5&1&4&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360223,1.0,-1,-1,-1,-1,-1,-1
103002,1,5&1&4.5&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360224,2.0,SR,-1,-1,-1,-1,-1
103003,1,5&1&5&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360225,3.0,-1,-1,-1,-1,-1,-1
103004,1,5&1&10&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360226,4.0,SSR,-1,-1,-1,-1,-1
103005,1,5&1&15&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360227,5.0,-1,-1,-1,-1,-1,-1
103006,1,5&1&20&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360228,6.0,UR,-1,-1,-1,-1,-1
103501,1,5&1&5&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360229,1.0,-1,-1,-1,-1,-1,-1
103502,1,5&1&7&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360230,2.0,-1,-1,-1,-1,-1,-1
103503,1,5&1&10&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360231,3.0,SSR,-1,-1,-1,-1,-1
103504,1,5&1&15&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360232,4.0,-1,-1,-1,-1,-1,-1
103505,1,5&1&20&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360233,5.0,UR,-1,-1,-1,-1,-1
103506,1,5&1&25&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360234,6.0,-1,-1,-1,-1,-1,-1
103601,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360235,1.0,-1,2|2|1|3|5|1|100|20,-1,-1,-1,-1
103602,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360236,2.0,SR,2|2|1|5|5|1|100|20,-1,-1,-1,-1
103603,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360237,3.0,-1,2|2|1|3|5|1|100|20,-1,-1,-1,-1
103604,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360238,4.0,SSR,2|2|1|7|5|1|100|20,-1,-1,-1,-1
103605,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360239,5.0,-1,2|2|1|11|5|1|100|20,-1,-1,-1,-1
103606,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360240,6.0,UR,2|2|1|15|5|1|100|20,-1,-1,-1,-1
103801,1,2&2&120&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360241,1.0,-1,-1,-1,-1,-1,-1
103802,1,2&2&150&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360242,2.0,SR,-1,-1,-1,-1,-1
103803,1,2&2&150&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360243,3.0,-1,-1,-1,-1,-1,-1
103804,1,2&2&300&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360244,4.0,SSR,-1,-1,-1,-1,-1
103805,1,2&2&450&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360245,5.0,-1,-1,-1,-1,-1,-1
103806,1,2&2&600&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360246,6.0,UR,-1,-1,-1,-1,-1
103901,1,23&2&0.05&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360247,1.0,R,-1,-1,-1,-1,-1
103902,1,23&2&0.1&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360248,2.0,-1,-1,-1,-1,-1,-1
103903,1,23&2&0.05&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360249,3.0,SR,-1,-1,-1,-1,-1
103904,1,23&2&0.1&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360250,4.0,-1,-1,-1,-1,-1,-1
103905,1,23&2&0.2&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360251,5.0,SSR,-1,-1,-1,-1,-1
103906,1,23&2&0.3&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360252,6.0,-1,-1,-1,-1,-1,-1
104201,1,5&1&10&10&1&4&4#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360253,1.0,-1,-1,-1,-1,-1,-1
104202,1,5&1&15&10&1&4&4#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360254,2.0,SR,-1,-1,-1,-1,-1
104203,1,5&1&15&10&1&4&4#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360255,3.0,-1,-1,-1,-1,-1,-1
104204,1,5&1&30&10&1&4&4#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360256,4.0,SSR,-1,-1,-1,-1,-1
104205,1,5&1&45&10&1&4&4#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360257,5.0,-1,-1,-1,-1,-1,-1
104206,1,5&1&60&10&1&4&4#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360258,6.0,UR,-1,-1,-1,-1,-1
104401,1,15&2&1&999999999&1&3&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360259,1.0,-1,-1,-1,-1,-1,-1
104402,1,15&2&5&999999999&1&3&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360260,2.0,-1,-1,-1,-1,-1,-1
104403,1,15&2&3&999999999&1&3&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360261,3.0,SSR,-1,-1,-1,-1,-1
104404,1,15&2&5&999999999&1&3&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360262,4.0,-1,-1,-1,-1,-1,-1
104405,1,15&2&7&999999999&1&3&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360263,5.0,UR,-1,-1,-1,-1,-1
104406,1,15&2&9&999999999&1&3&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360264,6.0,-1,-1,-1,-1,-1,-1
104501,1,6&2&1&999999999&1&4&5#6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360265,1.0,-1,-1,-1,-1,-1,-1
104502,1,6&2&1.5&999999999&1&4&5#6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360266,2.0,SR,-1,-1,-1,-1,-1
104503,1,6&2&1.5&999999999&1&4&5#6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360267,3.0,-1,-1,-1,-1,-1,-1
104504,1,6&2&2&999999999&1&4&5#6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360268,4.0,SSR,-1,-1,-1,-1,-1
104505,1,6&2&2.5&999999999&1&4&5#6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360269,5.0,-1,-1,-1,-1,-1,-1
104506,1,6&2&3&999999999&1&4&5#6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360270,6.0,UR,-1,-1,-1,-1,-1
100100201,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360271,2.0,SR,2|5|1|5|3|1|3|15,-1,-1,-1,-1
100100202,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360272,3.0,-1,2|5|1|7|3|1|3|15,-1,-1,-1,-1
100100203,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360273,4.0,SSR,2|5|1|9|3|1|3|15,-1,-1,-1,-1
100100204,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360274,5.0,-1,2|5|1|12|3|1|3|15,-1,-1,-1,-1
100100205,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360275,6.0,UR,2|5|1|15|3|1|3|15,-1,-1,-1,-1
100100401,12,-1,4&12&3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360276,2.0,SR,-1,-1,-1,-1,-1
100100402,12,-1,4&14&3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360277,3.0,-1,-1,-1,-1,-1,-1
100100403,12,-1,4&16&3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360278,4.0,SSR,-1,-1,-1,-1,-1
100100404,12,-1,4&18&3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360279,5.0,-1,-1,-1,-1,-1,-1
100100405,12,-1,4&20&3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360280,6.0,UR,-1,-1,-1,-1,-1
100100501,1,24&2&0.01&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360281,-1,-1,-1,-1,-1,-1,-1
100100502,1,24&2&0.015&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360282,-1,-1,-1,-1,-1,-1,-1
100100503,1,24&2&0.02&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360283,-1,-1,-1,-1,-1,-1,-1
100100504,1,24&2&0.025&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360284,-1,-1,-1,-1,-1,-1,-1
100100505,1,24&2&0.03&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360285,-1,-1,-1,-1,-1,-1,-1
100100601,10,-1,-1,-1,2&10,-1,-1,-1,-1,-1,-1,-1,-1,10360286,-1,-1,-1,-1,-1,-1,-1
100100602,10,-1,-1,-1,2&13,-1,-1,-1,-1,-1,-1,-1,-1,10360287,-1,-1,-1,-1,-1,-1,-1
100100603,10,-1,-1,-1,2&16,-1,-1,-1,-1,-1,-1,-1,-1,10360288,-1,-1,-1,-1,-1,-1,-1
100100604,10,-1,-1,-1,2&20,-1,-1,-1,-1,-1,-1,-1,-1,10360289,-1,-1,-1,-1,-1,-1,-1
100100605,10,-1,-1,-1,2&15,-1,-1,-1,-1,-1,-1,-1,-1,10360290,-1,-1,-1,-1,-1,-1,-1
100100701,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360291,-1,-1,-1,-1,-1,-1,-1
100100702,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360292,-1,-1,-1,-1,-1,-1,-1
100100703,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360293,-1,-1,-1,-1,-1,-1,-1
100100704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360294,-1,-1,-1,-1,-1,-1,-1
100100705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360295,-1,-1,-1,-1,-1,-1,-1
100100801,1,24&2&0.02&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360296,-1,-1,-1,-1,-1,-1,-1
100100802,1,24&2&0.03&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360297,-1,-1,-1,-1,-1,-1,-1
100100803,1,24&2&0.04&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360298,-1,-1,-1,-1,-1,-1,-1
100100804,1,24&2&0.05&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360299,-1,-1,-1,-1,-1,-1,-1
100100805,1,24&2&0.06&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360300,-1,-1,-1,-1,-1,-1,-1
100100901,1,20&1&3&15&1&1&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360301,-1,-1,-1,-1,-1,-1,-1
100100902,1,20&1&4&20&1&1&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360302,-1,-1,-1,-1,-1,-1,-1
100100903,1,20&1&5&25&1&1&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360303,-1,-1,-1,-1,-1,-1,-1
100100904,1,20&1&6&30&1&1&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360304,-1,-1,-1,-1,-1,-1,-1
100100905,1,20&1&8&35&1&1&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360305,-1,-1,-1,-1,-1,-1,-1
100300201,1,5&1&20&5&1&3&4#9&100,20&1&3&15&1&1&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360306,2.0,SR,-1,-1,-1,-1,-1
100300202,1,5&1&25&5&1&3&4#9&100,20&1&4&20&1&1&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360307,3.0,-1,-1,-1,-1,-1,-1
100300203,1,5&1&30&5&1&3&4#9&100,20&1&5&25&1&1&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360308,4.0,SSR,-1,-1,-1,-1,-1
100300204,1,5&1&35&5&1&3&4#9&100,20&1&6&30&1&1&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360309,5.0,-1,-1,-1,-1,-1,-1
100300205,1,5&1&40&5&1&3&4#9&100,20&1&8&35&1&1&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360310,6.0,UR,-1,-1,-1,-1,-1
100300401,4,-1,-1,-1,-1,-1,-1,-1,1&10&1&1&3&100,-1,-1,-1,-1,10360311,-1,-1,-1,-1,-1,-1,-1
100300402,4,-1,-1,-1,-1,-1,-1,-1,1&15&1&1&3&100,-1,-1,-1,-1,10360312,-1,-1,-1,-1,-1,-1,-1
100300403,4,-1,-1,-1,-1,-1,-1,-1,1&20&1&1&3&100,-1,-1,-1,-1,10360313,-1,-1,-1,-1,-1,-1,-1
100300404,4,-1,-1,-1,-1,-1,-1,-1,1&30&1&1&3&100,-1,-1,-1,-1,10360314,-1,-1,-1,-1,-1,-1,-1
100300405,4,-1,-1,-1,-1,-1,-1,-1,1&40&1&1&3&100,-1,-1,-1,-1,10360315,-1,-1,-1,-1,-1,-1,-1
100300501,10,-1,-1,-1,1&12&2&30,-1,-1,-1,-1,-1,-1,-1,-1,10360316,-1,-1,-1,-1,-1,-1,-1
100300502,10,-1,-1,-1,1&15&2&30,-1,-1,-1,-1,-1,-1,-1,-1,10360317,-1,-1,-1,-1,-1,-1,-1
100300503,10,-1,-1,-1,1&18&2&30,-1,-1,-1,-1,-1,-1,-1,-1,10360318,-1,-1,-1,-1,-1,-1,-1
100300504,10,-1,-1,-1,1&21&2&30,-1,-1,-1,-1,-1,-1,-1,-1,10360319,-1,-1,-1,-1,-1,-1,-1
100300505,10,-1,-1,-1,1&24&2&30,-1,-1,-1,-1,-1,-1,-1,-1,10360320,-1,-1,-1,-1,-1,-1,-1
100300601,1,24&2&0.02&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360321,-1,-1,-1,-1,-1,-1,-1
100300602,1,24&2&0.04&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360322,-1,-1,-1,-1,-1,-1,-1
100300603,1,24&2&0.06&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360323,-1,-1,-1,-1,-1,-1,-1
100300604,1,24&2&0.08&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360324,-1,-1,-1,-1,-1,-1,-1
100300605,1,24&2&0.1&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360325,-1,-1,-1,-1,-1,-1,-1
100300701,1,15&2&10&999999999&1&3&9#11&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360326,-1,-1,-1,-1,-1,-1,-1
100300702,1,15&2&13&999999999&1&3&9#11&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360327,-1,-1,-1,-1,-1,-1,-1
100300703,1,15&2&17&999999999&1&3&9#11&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360328,-1,-1,-1,-1,-1,-1,-1
100300704,1,15&2&21&999999999&1&3&9#11&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360329,-1,-1,-1,-1,-1,-1,-1
100300705,1,15&2&25&999999999&1&3&9#11&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360330,-1,-1,-1,-1,-1,-1,-1
100300801,1,24&2&0.02&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360331,-1,-1,-1,-1,-1,-1,-1
100300802,1,24&2&0.03&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360332,-1,-1,-1,-1,-1,-1,-1
100300803,1,24&2&0.04&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360333,-1,-1,-1,-1,-1,-1,-1
100300804,1,24&2&0.05&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360334,-1,-1,-1,-1,-1,-1,-1
100300805,1,24&2&0.06&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360335,-1,-1,-1,-1,-1,-1,-1
100300901,1,1&1&5&999999999&1&1&2#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360336,-1,-1,-1,-1,-1,-1,-1
