id,文字描述,名次,段位,日奖励（深渊币）,周奖励（奖杯数）
13044,10520644,44,13,4&1000008&1367,-70
13045,10520645,45,13,4&1000008&1365,-74
13046,10520646,46,13,4&1000008&1363,-78
13047,10520647,47,13,4&1000008&1361,-82
13048,10520648,48,13,4&1000008&1359,-86
13049,10520649,49,13,4&1000008&1357,-90
13050,10520650,50,13,4&1000008&1355,-94
14001,10520651,1,14,4&1000008&1553,80
14002,10520652,2,14,4&1000008&1551,75
14003,10520653,3,14,4&1000008&1549,70
14004,10520654,4,14,4&1000008&1547,65
14005,10520655,5,14,4&1000008&1545,60
14006,10520656,6,14,4&1000008&1543,55
14007,10520657,7,14,4&1000008&1541,50
14008,10520658,8,14,4&1000008&1539,45
14009,10520659,9,14,4&1000008&1537,40
14010,10520660,10,14,4&1000008&1535,35
14011,10520661,11,14,4&1000008&1533,30
14012,10520662,12,14,4&1000008&1531,25
14013,10520663,13,14,4&1000008&1529,20
14014,10520664,14,14,4&1000008&1527,15
14015,10520665,15,14,4&1000008&1525,10
14016,10520666,16,14,4&1000008&1523,5
14017,10520667,17,14,4&1000008&1521,0
14018,10520668,18,14,4&1000008&1519,-2
14019,10520669,19,14,4&1000008&1517,-3
14020,10520670,20,14,4&1000008&1515,-4
14021,10520671,21,14,4&1000008&1513,-6
14022,10520672,22,14,4&1000008&1511,-8
14023,10520673,23,14,4&1000008&1509,-12
14024,10520674,24,14,4&1000008&1507,-16
14025,10520675,25,14,4&1000008&1505,-20
14026,10520676,26,14,4&1000008&1503,-24
14027,10520677,27,14,4&1000008&1501,-28
14028,10520678,28,14,4&1000008&1499,-32
14029,10520679,29,14,4&1000008&1497,-36
14030,10520680,30,14,4&1000008&1495,-40
14031,10520681,31,14,4&1000008&1493,-44
14032,10520682,32,14,4&1000008&1491,-48
14033,10520683,33,14,4&1000008&1489,-52
14034,10520684,34,14,4&1000008&1487,-56
14035,10520685,35,14,4&1000008&1485,-60
14036,10520686,36,14,4&1000008&1483,-64
14037,10520687,37,14,4&1000008&1481,-68
14038,10520688,38,14,4&1000008&1479,-72
14039,10520689,39,14,4&1000008&1477,-76
14040,10520690,40,14,4&1000008&1475,-80
14041,10520691,41,14,4&1000008&1473,-84
14042,10520692,42,14,4&1000008&1471,-88
14043,10520693,43,14,4&1000008&1469,-92
14044,10520694,44,14,4&1000008&1467,-96
14045,10520695,45,14,4&1000008&1465,-100
14046,10520696,46,14,4&1000008&1463,-104
14047,10520697,47,14,4&1000008&1461,-108
14048,10520698,48,14,4&1000008&1459,-112
14049,10520699,49,14,4&1000008&1457,-116
14050,10520700,50,14,4&1000008&1455,-120
