行为id,下一个行为（-1为结束）,行为归纳,BGM,跳过简述
321820,321830,2|14603,-1,-1
321830,321840,1|29620,-1,-1
321840,321850,1|29630,-1,-1
321850,321860,2|403,-1,-1
321860,321870,1|29640,-1,-1
321870,321880,1|29650,-1,-1
321880,321890,1|29660,-1,-1
321890,321900,2|14603,-1,-1
321900,321910,1|29670,-1,-1
321910,321920,2|403,-1,-1
321920,321930,1|29680,-1,-1
321930,321940,1|29690,-1,-1
321940,321950,2|14603,-1,-1
321950,321960,1|29700,-1,-1
321960,321970,2|603,-1,-1
321970,321980,1|29710,-1,-1
321980,321990,2|403,-1,-1
321990,322000,1|29720,-1,-1
322000,322010,2|405,-1,-1
322010,322020,1|29730,-1,-1
322020,322030,2|403,-1,-1
322030,322040,1|29740,-1,-1
322040,322050,2|503,-1,-1
322050,322060,1|29750,-1,-1
322060,322070,2|403,-1,-1
322070,322080,1|29760,-1,-1
322080,322081,2|404,-1,-1
322081,322090,2|80066,-1,-1
322090,322100,1|29770,-1,-1
322100,322110,2|303,-1,-1
322110,322120,1|29780,-1,-1
322120,322121,2|305,-1,-1
322121,322122,1|29790,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/amb-magic-dark,-1
322122,322130,2|14603,-1,-1
322130,322140,1|29800,-1,-1
322140,322150,2|403,-1,-1
322150,322160,1|29810,-1,-1
322160,322170,2|503,-1,-1
322170,322180,1|29820,-1,-1
322180,322190,2|603,-1,-1
322190,-1,1|29830,-1,-1
325010,325020,2|80066,-1,32.0
325020,325021,2|403,-1,-1
325021,325022,1|29841,PlayBgm|event:/GameBgm/empty,-1
325022,325030,2|603,-1,-1
325030,325040,1|29850,-1,-1
325040,325050,2|503,-1,-1
325050,325060,1|29860,-1,-1
325060,325070,2|505,-1,-1
325070,325080,1|29870,-1,-1
325080,325090,1|29880,-1,-1
325090,325100,2|14603,-1,-1
325100,325110,1|29890,PlayBgm|event:/GameBgm/MusicBook-The Styx,-1
325110,325120,2|403,-1,-1
325120,325130,1|29900,PlayBgm|event:/GameBgm/MusicBook-Burried History,-1
325130,325140,2|603,-1,-1
325140,325150,1|29910,-1,-1
325150,325160,2|103,-1,-1
325160,325170,1|29920,-1,-1
325170,325180,2|303,-1,-1
325180,325190,1|29930,-1,-1
325190,325200,2|103,-1,-1
325200,325210,1|29940,-1,-1
325210,325220,2|603,-1,-1
325220,325230,1|29950,-1,-1
325230,325240,2|103,-1,-1
325240,325250,1|29960,-1,-1
325250,325260,2|14603,-1,-1
325260,325270,1|29970,-1,-1
325270,325280,2|603,-1,-1
325280,325290,1|29980,-1,-1
325290,325300,2|14603,-1,-1
325300,325310,1|29990,-1,-1
325310,325320,2|603,-1,-1
325320,325330,1|30000,-1,-1
325330,325340,1|30010,-1,-1
325340,325350,2|503,-1,-1
325350,325360,1|30020,-1,-1
325360,325370,2|403,-1,-1
325370,325380,1|30030,-1,-1
325380,325390,2|503,-1,-1
325390,-1,1|30040,-1,-1
340010,340020,2|80066,-1,34.0
340020,340030,1|30060,PlayBgm|event:/GameBgm/MusicBook-Beware|;|PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/amb-city,-1
340030,340040,1|30070,-1,-1
340040,340050,2|103,-1,-1
340050,340060,1|30080,-1,-1
340060,340070,1|30090,-1,-1
340070,340080,2|303,-1,-1
340080,340090,1|30100,-1,-1
340090,340100,1|30110,-1,-1
340100,340110,1|30120,-1,-1
340110,340120,2|103,-1,-1
340120,340130,1|30130,-1,-1
340130,340140,2|11703,-1,-1
340140,340150,1|30140,-1,-1
340150,340160,2|103,-1,-1
340160,340170,1|30150,-1,-1
340170,340180,2|303,-1,-1
340180,340190,1|30160,-1,-1
340190,340200,2|103,-1,-1
340200,340210,1|30170,-1,-1
340210,340220,2|303,-1,-1
340220,340230,1|30180,-1,-1
340230,340240,2|503,-1,-1
340240,340250,1|30190,-1,-1
340250,340260,2|303,-1,-1
340260,340270,1|30200,-1,-1
340270,340280,2|103,-1,-1
340280,340290,1|30210,-1,-1
340290,340300,2|403,-1,-1
340300,340310,1|30220,-1,-1
340310,340320,2|303,-1,-1
340320,340330,1|30230,-1,-1
340330,340340,2|103,-1,-1
340340,340350,1|30240,-1,-1
340350,340360,2|403,-1,-1
340360,340370,1|30250,-1,-1
340370,340380,2|14603,-1,-1
340380,340390,3|165|166,-1,-1
340390,340410,1|30270,-1,-1
340400,340421,1|30310,-1,-1
340410,340420,2|403,-1,-1
340420,340440,1|30280,-1,-1
340421,340422,2|403,-1,-1
340422,340440,1|30311,-1,-1
340440,340450,2|103,-1,-1
340450,340460,1|30320,-1,-1
340460,340470,2|403,-1,-1
340470,340471,1|30330,-1,-1
340471,340480,2|404,-1,-1
340480,340481,1|30340,-1,-1
340481,340490,2|403,-1,-1
340490,340500,1|30350,-1,-1
340500,340510,1|30360,PlayBgm|event:/GameBgm/MusicBook-Burried History,-1
340510,340520,1|30370,-1,-1
340520,340530,1|30380,-1,-1
340530,340540,1|30390,-1,-1
340540,340550,2|303,-1,-1
340550,340560,1|30400,-1,-1
340560,340570,2|403,-1,-1
340570,340580,1|30410,-1,-1
340580,340590,2|103,-1,-1
340590,340600,1|30420,-1,-1
340600,340610,2|403,-1,-1
340610,340620,1|30430,-1,-1
340620,340630,1|30440,-1,-1
340630,340640,2|103,-1,-1
340640,340650,1|30450,-1,-1
340650,340660,2|403,-1,-1
340660,340670,1|30460,-1,-1
340670,340680,2|303,-1,-1
340680,340690,1|30470,-1,-1
340690,340700,2|403,-1,-1
340700,340710,1|30480,-1,-1
340710,340720,1|30490,-1,-1
340720,340740,2|103,-1,-1
340740,340750,1|30510,-1,-1
340750,340760,2|403,-1,-1
340760,340770,1|30520,-1,-1
340770,340780,1|30530,-1,-1
340780,340790,1|30540,-1,-1
340790,340800,2|103,-1,-1
340800,340810,1|30550,-1,-1
340810,340820,2|403,-1,-1
340820,340840,1|30560,-1,-1
340840,340850,2|303,-1,-1
340850,340860,1|30580,-1,-1
340860,340870,2|403,-1,-1
340870,340880,1|30590,-1,-1
340880,340890,2|404,-1,-1
340890,340900,1|30600,StopBgm|PlayBgm|event:/GameBgm/MusicBook-Burried History,-1
340900,340910,2|503,-1,-1
340910,340920,1|30610,-1,-1
340920,340930,2|403,-1,-1
340930,340940,1|30620,-1,-1
340940,340950,2|503,-1,-1
340950,340960,1|30630,-1,-1
340960,340970,2|403,-1,-1
340970,340980,1|30640,-1,-1
340980,340990,2|404,-1,-1
340990,341000,1|30650,-1,-1
341000,341010,1|30660,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/magic-cast-light,-1
341010,341020,2|503,-1,-1
341020,341030,1|30670,-1,-1
341030,341040,2|403,-1,-1
341040,341041,1|30680,-1,-1
341041,341050,1|30681,-1,-1
341050,341060,2|14603,-1,-1
341060,341070,1|30690,-1,-1
341070,341080,2|503,-1,-1
341080,341090,1|30700,-1,-1
341090,341100,2|14603,-1,-1
341100,341101,1|30710,-1,-1
341101,341110,2|14604,-1,-1
341110,341120,1|30720,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/dark-wind-fear-loop,-1
341120,341130,2|103,-1,-1
341130,341140,1|30730,-1,-1
341140,341150,2|14603,-1,-1
341150,341160,1|30740,-1,-1
341160,341170,2|503,-1,-1
341170,341180,1|30750,-1,-1
341180,341190,2|14603,-1,-1
341190,341200,1|30760,-1,-1
341200,341210,2|103,-1,-1
341210,341220,1|30770,-1,-1
341220,341230,2|14603,-1,-1
341230,341240,1|30780,-1,-1
341240,341250,2|303,-1,-1
341250,341260,1|30790,-1,-1
341260,341270,2|14603,-1,-1
341270,341280,1|30800,-1,-1
341280,341290,2|403,-1,-1
341290,341300,1|30810,-1,-1
341300,341310,2|503,-1,-1
341310,341320,1|30820,-1,-1
341320,341330,2|403,-1,-1
341330,341340,1|30830,-1,-1
341340,341350,1|30840,-1,-1
341350,341360,2|603,-1,-1
341360,341370,1|30850,-1,-1
341370,341380,1|30860,-1,-1
341380,341381,2|14603,-1,-1
341381,341390,1|30861,-1,-1
341390,341400,1|30870,-1,-1
341400,341410,1|30880,-1,-1
341410,341420,2|603,-1,-1
341420,341421,1|30890,-1,-1
341421,341430,2|605,-1,-1
341430,341431,1|30891,-1,-1
341431,341440,2|503,-1,-1
341440,341450,1|30900,-1,-1
341450,341460,2|103,-1,-1
341460,341470,1|30910,-1,-1
341470,341480,2|14603,-1,-1
341480,341490,1|30920,-1,-1
341490,341500,2|303,-1,-1
341500,341510,1|30930,-1,-1
341510,341520,2|403,-1,-1
341520,341530,1|30940,-1,-1
341530,341540,2|404,-1,-1
341540,341541,1|30950,-1,-1
341541,341550,1|30960,-1,-1
341550,341560,2|14603,-1,-1
341560,341570,1|30970,-1,-1
341570,341580,2|103,-1,-1
341580,341590,1|30980,-1,-1
341590,341600,2|11803,-1,-1
341600,341610,1|30990,-1,-1
341610,341620,2|503,-1,-1
341620,-1,1|31000,-1,-1
342010,342020,2|80066,-1,34.0
342020,342030,2|603,-1,-1
342030,342040,1|31070,-1,-1
342040,342050,2|503,-1,-1
342050,342060,1|31080,-1,-1
342060,342070,2|603,-1,-1
342070,342080,1|31090,-1,-1
342080,342090,1|31100,-1,-1
342090,342100,2|503,-1,-1
342100,342110,1|31110,-1,-1
342110,342111,2|505,-1,-1
342111,342120,1|31120,-1,-1
342120,342130,2|14603,-1,-1
342130,342140,1|31130,-1,-1
342140,342150,2|503,-1,-1
342150,342160,1|31010,-1,-1
342160,342170,2|14603,-1,-1
342170,342171,1|31020,-1,-1
342171,342172,2|303,-1,-1
342172,342173,1|31030,-1,-1
342173,342174,2|403,-1,-1
342174,342175,1|31140,-1,-1
342175,342176,2|14603,-1,-1
342176,342177,1|31150,-1,-1
342177,342178,2|503,-1,-1
342178,342179,1|31160,-1,-1
342179,342180,2|303,-1,-1
342180,342181,1|31040,-1,-1
342181,342182,2|14603,-1,-1
342182,-1,1|31050,-1,-1
342200,345010,2|80066,-1,34.0
345010,345020,2|103,-1,-1
345020,345030,1|31180,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/amb-city,-1
345030,345040,2|603,-1,-1
345040,345050,1|31190,-1,-1
345050,345060,1|31200,-1,-1
345060,345070,2|403,-1,-1
345070,345080,1|31210,-1,-1
345080,345090,2|14603,-1,-1
345090,345100,3|167|168,-1,-1
345100,345120,2|603,-1,-1
345110,345170,2|603,-1,-1
345120,345130,1|31240,-1,-1
345130,345140,1|31250,-1,-1
345140,345160,2|14603,-1,-1
345160,345210,1|31260,-1,-1
345170,345180,1|31290,-1,-1
345180,345200,2|14603,-1,-1
345200,345210,1|31300,-1,-1
345210,345220,2|403,-1,-1
345220,345230,1|31310,-1,-1
345230,345240,2|14603,-1,-1
345240,345250,1|31320,-1,-1
345250,345260,2|503,-1,-1
345260,345270,1|31330,-1,-1
345270,345280,1|31340,-1,-1
345280,345290,2|14603,-1,-1
345290,345300,1|31350,-1,-1
345300,345310,2|503,-1,-1
345310,345320,1|31360,-1,-1
345320,345330,2|403,-1,-1
345330,345340,1|31370,-1,-1
345340,345350,1|31380,-1,-1
345350,345360,2|503,-1,-1
345360,345370,1|31390,-1,-1
345370,345380,2|103,-1,-1
345380,345390,1|31400,-1,-1
345390,345400,1|31410,-1,-1
345400,345410,2|503,-1,-1
345410,345420,1|31420,-1,-1
345420,345430,2|403,-1,-1
345430,345440,1|31430,-1,-1
345440,345450,2|303,-1,-1
345450,345460,1|31440,-1,-1
345460,345470,1|31450,-1,-1
345470,345480,2|103,-1,-1
345480,345490,1|31460,-1,-1
345490,345500,2|403,-1,-1
345500,345510,1|31470,-1,-1
345510,345520,2|14603,-1,-1
345520,345530,1|31480,-1,-1
345530,345540,2|11903,-1,-1
345540,345550,1|31490,-1,-1
345550,345560,2|603,-1,-1
345560,345570,1|31500,-1,-1
345570,345580,2|303,-1,-1
345580,345590,1|31510,-1,-1
345590,345600,2|103,-1,-1
345600,345610,1|31520,-1,-1
345610,345620,2|403,-1,-1
345620,345630,1|31530,-1,-1
345630,345640,2|303,-1,-1
345640,345650,1|31540,-1,-1
345650,345660,2|403,-1,-1
345660,345670,1|31550,-1,-1
345670,345680,2|14603,-1,-1
345680,345690,1|31560,-1,-1
345690,345700,2|14604,-1,-1
345700,-1,1|31570,-1,-1
360010,360020,2|80082,-1,36.0
360020,360030,2|303,-1,-1
360030,360040,1|31590,PlayBgm|event:/GameBgm/MusicBook-Beware|;|PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/amb-city,-1
360040,360050,2|403,-1,-1
360050,360060,1|31600,-1,-1
360060,360070,2|103,-1,-1
360070,360080,1|31610,-1,-1
360080,360090,2|403,-1,-1
360090,360100,1|31620,-1,-1
360100,360110,2|103,-1,-1
360110,360120,1|31630,-1,-1
360120,360130,2|403,-1,-1
360130,360140,1|31640,-1,-1
360140,360150,2|503,-1,-1
360150,360160,1|31650,-1,-1
360160,360170,2|103,-1,-1
360170,360180,1|31660,-1,-1
360180,360190,2|403,-1,-1
360190,360200,1|31670,-1,-1
360200,360210,2|303,-1,-1
360210,360220,1|31680,-1,-1
360220,360230,2|403,-1,-1
360230,360240,1|31690,-1,-1
360240,360260,1|31710,-1,-1
360260,360270,2|14603,-1,-1
360270,360280,1|31720,-1,-1
360280,360290,2|103,-1,-1
360290,360300,1|31730,-1,-1
360300,360310,2|603,-1,-1
360310,360320,1|31740,-1,-1
360320,360321,2|14603,-1,-1
360321,360322,1|31741,-1,-1
360322,360330,2|15303,-1,-1
360330,360340,1|31750,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/magic-cast-cake,-1
360340,360350,2|103,-1,-1
360350,360360,1|31760,-1,-1
360360,360370,2|14603,-1,-1
360370,360380,1|31770,-1,-1
360380,360390,2|103,-1,-1
360390,360391,1|31780,-1,-1
360391,360400,2|104,-1,-1
360400,360410,1|31790,-1,-1
360410,360420,2|14603,-1,-1
360420,360430,1|31800,-1,-1
360430,360440,2|103,-1,-1
360440,360450,1|31810,-1,-1
360450,360460,2|14603,-1,-1
360460,360470,1|31820,-1,-1
360470,360480,2|103,-1,-1
360480,360490,1|31830,-1,-1
360490,360500,2|104,-1,-1
360500,360510,1|31840,-1,-1
360510,360520,2|303,-1,-1
360520,360530,1|31850,-1,-1
360530,360540,2|14603,-1,-1
360540,360550,3|169|170,-1,-1
360550,360570,1|31870,-1,-1
360560,360590,2|303,-1,-1
360570,360580,2|303,-1,-1
360580,360650,1|31880,-1,-1
360590,360610,1|31910,-1,-1
360610,360620,2|14604,-1,-1
360620,360621,1|31920,-1,-1
360621,360630,2|14603,-1,-1
360630,360640,1|31930,-1,-1
360640,360650,2|303,-1,-1
360650,360660,1|31940,-1,-1
360660,360670,2|14603,-1,-1
360670,360680,1|31950,-1,-1
360680,360690,2|4403,-1,-1
360690,360691,1|31960,-1,-1
360691,360700,2|4405,-1,-1
360700,360710,1|31970,-1,-1
360710,360720,2|303,-1,-1
360720,360730,1|31980,-1,-1
360730,360740,2|14603,-1,-1
360740,360750,1|31990,-1,-1
360750,360760,2|303,-1,-1
360760,360770,1|32000,-1,-1
360770,360780,2|14603,-1,-1
360780,360790,1|32010,-1,-1
360790,360800,2|103,-1,-1
360800,360810,1|32020,StopBgm|event:/GameBgm/MusicBook-Beware,-1
360810,360820,2|104,-1,-1
360820,360830,1|32030,-1,-1
360830,360840,2|403,-1,-1
360840,360850,1|32040,-1,-1
360850,360860,2|603,-1,-1
360860,360870,1|32050,-1,-1
360870,360880,2|503,-1,-1
360880,360890,1|32060,-1,-1
360890,360900,2|14603,-1,-1
360900,360910,1|32070,-1,-1
360910,360920,2|403,-1,-1
360920,360930,1|32080,-1,-1
360930,360940,2|404,-1,-1
360940,360950,1|32090,-1,-1
360950,360960,2|503,-1,-1
360960,360970,1|32100,-1,-1
360970,360980,2|403,-1,-1
360980,360990,1|32110,-1,-1
360990,361000,2|404,-1,-1
361000,361001,1|32120,PlaySnapshot|snapshot:/InPlotLowerBGM,-1
361001,361010,2|14603,-1,-1
361010,361020,1|32130,-1,-1
361020,361030,2|103,-1,-1
361030,361040,1|32140,-1,-1
361040,361050,2|104,-1,-1
361050,361060,1|32150,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/knife-whoosh,-1
361060,361070,2|503,-1,-1
361070,361080,1|32160,-1,-1
361080,361090,2|403,-1,-1
361090,361100,1|32170,-1,-1
361100,361110,2|14603,-1,-1
361110,361120,1|32180,-1,-1
361120,361130,2|503,-1,-1
361130,361140,1|32190,-1,-1
361140,361150,2|403,StopSnapshot|snapshot:/InPlotLowerBGM,-1
361150,-1,1|32200,-1,-1
365010,365020,2|80082,-1,36.0
365020,365030,2|103,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/amb-city,-1
365030,365040,1|32220,-1,-1
365040,365050,2|11703,-1,-1
365050,365060,1|32230,-1,-1
365060,365070,2|103,-1,-1
365070,365080,1|32240,-1,-1
365080,365090,2|104,-1,-1
365090,365100,1|32250,-1,-1
365100,365110,2|11803,-1,-1
365110,365120,1|32260,-1,-1
365120,365130,2|103,-1,-1
365130,-1,1|32270,-1,-1
380010,380011,2|80082,-1,38.0
380011,380012,2|11803,-1,-1
380012,380013,1|32281,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/amb-city,-1
380013,380014,2|103,-1,-1
380014,380030,1|32282,-1,-1
380030,380040,1|32290,-1,-1
380040,380050,2|303,-1,-1
380050,380060,1|32300,-1,-1
380060,380070,2|103,-1,-1
380070,380080,1|32310,-1,-1
380080,380090,2|14603,-1,-1
380090,380100,1|32320,-1,-1
380100,380110,2|103,-1,-1
380110,380120,1|32330,-1,-1
380120,380130,2|403,-1,-1
380130,380140,1|32340,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/footsteps-running,-1
380140,380150,2|103,-1,-1
380150,-1,1|32350,-1,-1
382010,382020,2|80082,-1,38.0
382020,382030,2|103,-1,-1
382030,382040,1|32370,PlayBgm|event:/GameBgm/empty,-1
382040,382050,1|32380,-1,-1
382050,382060,2|11803,-1,-1
382060,382070,1|32390,-1,-1
382070,382080,1|32400,-1,-1
382080,382090,2|103,-1,-1
382090,382100,1|32410,-1,-1
382100,382110,2|104,-1,-1
382110,382120,1|32420,PlayBgm|event:/GameBgm/musicBook-The Moon,-1
382120,382130,2|103,-1,-1
382130,382140,1|32430,-1,-1
382140,382150,2|11803,-1,-1
382150,382160,1|32440,-1,-1
382160,382170,2|11805,-1,-1
382170,382180,1|32450,-1,-1
382180,382190,2|12103,-1,-1
382190,382200,1|32460,-1,-1
382200,382210,1|32470,-1,-1
382210,382220,2|103,-1,-1
382220,382230,1|32480,-1,-1
382230,382240,2|12103,-1,-1
382240,382250,1|32490,-1,-1
382250,382260,2|12105,-1,-1
382260,382270,1|32500,-1,-1
382270,382280,2|103,-1,-1
382280,382290,1|32510,-1,-1
382290,382300,2|12103,-1,-1
382300,382310,1|32520,-1,-1
382310,382320,2|103,-1,-1
382320,382330,1|32530,-1,-1
382330,382340,2|11803,-1,-1
382340,382350,1|32540,-1,-1
382350,382360,2|103,-1,-1
382360,382370,1|32550,-1,-1
382370,382380,2|15203,-1,-1
382380,382381,1|32560,-1,-1
382381,382390,2|15205,-1,-1
382390,382400,1|32570,-1,-1
382400,382410,2|103,-1,-1
382410,382420,1|32580,-1,-1
382420,382430,2|12103,-1,-1
382430,382440,1|32590,-1,-1
382440,382490,2|103,-1,-1
382490,382500,1|32620,-1,-1
382500,382510,2|12103,-1,-1
382510,382520,1|32630,-1,-1
382520,382530,2|103,-1,-1
382530,382540,1|32640,-1,-1
382540,382550,2|12103,-1,-1
382550,382560,1|32650,-1,-1
382560,382570,2|11803,-1,-1
382570,382580,1|32660,-1,-1
382580,382590,2|103,-1,-1
382590,382600,1|32670,-1,-1
382600,382610,2|11803,-1,-1
382610,382620,1|32680,-1,-1
382620,382630,2|12103,-1,-1
382630,382640,1|32690,-1,-1
382640,382650,2|11803,-1,-1
382650,382660,1|32700,-1,-1
382660,382670,1|32710,-1,-1
382670,382680,2|103,-1,-1
382680,382690,1|32720,-1,-1
382690,382700,2|12103,-1,-1
382700,382710,1|32730,-1,-1
382710,382720,2|103,-1,-1
382720,382730,1|32740,-1,-1
382730,382740,2|12103,-1,-1
382740,382750,1|32750,-1,-1
382750,382760,2|103,-1,-1
382760,382770,1|32760,-1,-1
382770,382780,2|12103,-1,-1
382780,382790,1|32770,-1,-1
382790,382800,2|103,-1,-1
382800,382810,1|32780,-1,-1
382810,382820,2|12103,-1,-1
382820,382830,1|32790,-1,-1
382830,382840,2|103,-1,-1
382840,382850,1|32800,-1,-1
382850,382860,2|12103,-1,-1
382860,382870,1|32810,-1,-1
382870,382880,2|103,-1,-1
382880,382890,1|32820,-1,-1
382890,382900,2|12103,-1,-1
382900,382910,1|32830,-1,-1
382910,382920,2|11703,-1,-1
382920,382930,1|32840,-1,-1
382930,382940,2|12103,-1,-1
382940,382950,1|32850,-1,-1
382950,382960,2|103,-1,-1
382960,382961,1|32860,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/sickle-whoosh,-1
382961,382970,2|40002,-1,-1
382970,382980,2|403,-1,-1
382980,382990,1|32870,-1,-1
382990,383000,2|14603,-1,-1
383000,-1,1|32880,-1,-1
385010,385020,2|80082,-1,38.0
385020,385030,2|12103,-1,-1
385030,385040,1|32900,PlayBgm|event:/GameBgm/MusicBook-Beware|;|PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/amb-city,-1
385040,385050,2|103,-1,-1
385050,385060,1|32910,-1,-1
385060,385070,2|12103,-1,-1
385070,385080,1|32920,-1,-1
385080,385090,2|103,-1,-1
385090,385100,1|32930,-1,-1
385100,385110,1|32940,-1,-1
385110,385120,2|12103,-1,-1
385120,385130,1|32950,-1,-1
385130,385140,2|103,-1,-1
385140,385150,1|32960,-1,-1
385150,385160,2|303,-1,-1
385160,385170,1|32970,-1,-1
385170,385180,2|12103,-1,-1
385180,385190,1|32980,-1,-1
385190,385200,1|32990,-1,-1
385200,385210,2|403,-1,-1
385210,385220,1|33000,-1,-1
385220,385230,2|12103,-1,-1
385230,385240,1|33010,-1,-1
385240,385250,1|33020,-1,-1
385250,385260,1|33030,-1,-1
385260,385270,1|33040,-1,-1
385270,385280,2|403,-1,-1
385280,385290,1|33050,-1,-1
385290,385300,2|103,-1,-1
385300,385310,1|33060,-1,-1
385310,385320,2|12103,-1,-1
385320,385330,1|33070,-1,-1
385330,385340,2|403,-1,-1
385340,385350,1|33080,-1,-1
385350,385360,2|603,-1,-1
385360,385370,1|33090,-1,-1
385370,385380,2|103,-1,-1
385380,385390,1|33100,-1,-1
385390,385400,2|12103,-1,-1
385400,385410,1|33110,-1,-1
385410,385420,1|33120,-1,-1
385420,385430,2|303,-1,-1
385430,385440,1|33130,-1,-1
385440,385450,2|12103,-1,-1
385450,385460,1|33140,-1,-1
385460,385470,2|303,-1,-1
385470,385480,1|33150,-1,-1
385480,385490,2|12103,-1,-1
385490,385500,1|33160,-1,-1
385500,385510,2|14603,-1,-1
385510,385520,1|33170,-1,-1
385520,385530,2|12103,-1,-1
385530,385540,1|33180,-1,-1
385540,385550,2|103,-1,-1
385550,385560,1|33190,-1,-1
385560,385570,2|12103,-1,-1
385570,385580,1|33200,-1,-1
385580,385590,2|14603,-1,-1
385590,385591,1|33210,-1,-1
385591,385600,2|14604,-1,-1
385600,385610,1|33220,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/magic-cast-light,-1
385610,385620,2|12103,-1,-1
385620,385630,1|33230,-1,-1
385630,385640,2|14603,-1,-1
385640,385650,1|33240,-1,-1
385650,385660,2|12103,-1,-1
385660,385670,1|33250,-1,-1
385670,385680,1|33260,-1,-1
385680,385700,2|14603,-1,-1
385700,385710,1|33280,-1,-1
385710,385720,1|33290,-1,-1
385720,385730,1|33300,-1,-1
385730,385740,1|33310,-1,-1
385740,385750,2|12103,-1,-1
385750,385760,1|33320,-1,-1
385760,385770,2|503,-1,-1
385770,385780,1|33330,-1,-1
385780,385790,2|12103,-1,-1
385790,385800,1|33340,-1,-1
385800,385810,2|403,-1,-1
385810,385820,1|33350,-1,-1
385820,385830,2|12103,-1,-1
385830,385840,1|33360,-1,-1
385840,385850,1|33370,-1,-1
385850,385860,2|103,-1,-1
385860,385870,1|33380,-1,-1
385870,385880,2|14603,-1,-1
385880,385890,1|33390,-1,-1
385890,385900,2|12103,-1,-1
385900,385910,1|33400,-1,-1
385910,385920,2|14603,-1,-1
385920,385930,1|33410,-1,-1
385930,385940,2|12103,-1,-1
385940,385950,1|33420,-1,-1
385950,385951,2|12105,-1,-1
385951,385952,1|33430,-1,-1
385952,385953,2|12103,-1,-1
385953,385960,2|40002,-1,-1
385960,385961,1|33440,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/gore-knife-stab,-1
385961,385970,2|60001,-1,-1
385970,385980,2|12105,-1,-1
385980,385990,1|33450,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/sword-stab-fire,-1
385990,386000,2|503,-1,-1
386000,386010,1|33460,-1,-1
386010,386020,2|403,-1,-1
386020,386030,1|33470,-1,-1
386030,386040,2|503,-1,-1
386040,386050,1|33480,-1,-1
386050,386060,2|403,-1,-1
386060,386070,1|33490,-1,-1
386070,386080,2|503,-1,-1
386080,386090,1|33500,-1,-1
386090,386100,2|103,-1,-1
386100,386110,1|33510,-1,-1
386110,386120,2|503,-1,-1
386120,386130,1|33520,-1,-1
386130,386140,2|103,-1,-1
386140,386150,1|33530,-1,-1
386150,386160,2|503,-1,-1
386160,386170,1|33540,-1,-1
386170,386180,2|103,-1,-1
386180,386190,1|33550,-1,-1
386190,386200,2|503,-1,-1
386200,386210,1|33560,-1,-1
386210,386220,1|33570,-1,-1
386220,386230,2|14603,-1,-1
386230,386240,1|33580,-1,-1
386240,386250,3|171|172,-1,-1
386250,386270,1|33600,-1,-1
386260,386290,1|33640,-1,-1
386270,386280,1|33610,-1,-1
386280,386281,1|33620,-1,-1
386281,386300,2|14604,-1,-1
386290,386291,1|33650,-1,-1
386291,386300,2|14604,-1,-1
386300,386310,2|80102,-1,-1
386310,386311,1|33660,-1,-1
386311,386320,2|80209,-1,-1
386320,386330,1|33670,-1,-1
386330,386340,1|33680,PlayBgm|event:/GameBgm/MusicBook-Requiem for Gods,-1
386340,386350,1|33690,-1,-1
386350,386360,1|33700,-1,-1
386360,386370,1|33710,-1,-1
386370,386380,1|33720,-1,-1
386380,386390,1|33730,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/magic-touch-transfer,-1
386390,386400,2|80208,-1,-1
386400,386410,1|33740,-1,-1
386410,386420,1|33741,-1,-1
386420,386430,1|33750,-1,-1
386430,386440,1|33760,-1,-1
386440,386450,1|33770,-1,-1
386450,386460,1|33780,-1,-1
386460,386510,2|80102,-1,-1
386510,386520,2|12603,StopByPath|event:/GameEffect/BackgroundEffect/chapter-3/amb-city,-1
386520,386530,1|33790,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/rain-heavy,-1
386530,386540,1|33800,-1,-1
386540,386550,2|12605,-1,-1
386550,386552,1|33810,StopByPath|event:/GameEffect/BackgroundEffect/prologue/rain-heavy|;|PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/amb-city,-1
386552,386560,2|80082,-1,-1
386560,386570,1|33820,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-3/angel-land-from-sky,-1
386570,386580,1|33830,-1,-1
386580,386600,1|33840,-1,-1
386600,386610,2|103,-1,-1
386610,386620,1|33850,-1,-1
386620,386630,2|1503,-1,-1
